period,series,value
1990,CHN,2.1528878
1991,CHN,2.2370765
1992,CHN,2.3057148
1993,CHN,2.4340296
1994,CHN,2.559043
1995,CHN,2.7465813
1996,CHN,2.8427844
1997,CHN,2.8299394
1998,CHN,2.6824508
1999,CHN,2.817025
2000,CHN,2.8700879
2001,CHN,2.912365
2002,CHN,3.184619
2003,CHN,3.7351773
2004,CHN,4.001966
2005,CHN,4.4899764
2006,CHN,4.921031
2007,CHN,5.2606664
2008,CHN,5.6172485
2009,CHN,5.8706574
2010,CHN,6.370445
2011,CHN,6.998823
2012,CHN,7.131918
2013,CHN,7.2097993
2014,CHN,7.187588
2015,CHN,7.0609546
2016,CHN,6.9428844
2017,CHN,7.080384
2018,CHN,7.2915606
2019,CHN,7.5260706
2020,CHN,7.64075
2021,CHN,7.910899
2022,CHN,8.217776
2023,CHN,8.556261
2024,CHN,8.65839
1990,DEU,13.233256
1991,DEU,12.663626
1992,DEU,11.978324
1993,DEU,11.773517
1994,DEU,11.534621
1995,DEU,11.459825
1996,DEU,11.666093
1997,DEU,11.306132
1998,DEU,11.26054
1999,DEU,10.9630375
2000,DEU,10.990293
2001,DEU,11.1706505
2002,DEU,10.952268
2003,DEU,10.893722
2004,DEU,10.677804
2005,DEU,10.57788
2006,DEU,10.849607
2007,DEU,10.407971
2008,DEU,10.561389
2009,DEU,9.760688
2010,DEU,10.22758
2011,DEU,9.95007
2012,DEU,10.060916
2013,DEU,10.263195
2014,DEU,9.739761
2015,DEU,9.756902
2016,DEU,9.642186
2017,DEU,9.441122
2018,DEU,9.101415
2019,DEU,8.480803
2020,DEU,7.738692
2021,DEU,8.100614
2022,DEU,7.942359
2023,DEU,7.022808
2024,DEU,6.7688236
1990,ESP,5.8688183
1991,ESP,6.104081
1992,ESP,6.283217
1993,ESP,6.03
1994,ESP,6.306981
1995,ESP,6.6179895
1996,ESP,6.276799
1997,ESP,6.5530524
1998,ESP,6.73725
1999,ESP,7.277729
2000,ESP,7.5392795
2001,ESP,7.5409565
2002,ESP,7.9277363
2003,ESP,7.8938184
2004,ESP,8.144856
2005,ESP,8.358881
2006,ESP,8.029218
2007,ESP,8.051333
2008,ESP,7.2517366
2009,ESP,6.350556
2010,ESP,6.032926
2011,ESP,6.02738
2012,ESP,5.9005117
2013,ESP,5.3800054
2014,ESP,5.4292984
2015,ESP,5.7889185
2016,ESP,5.554019
2017,ESP,5.83512
2018,ESP,5.701944
2019,ESP,5.284558
2020,ESP,4.441423
2021,ESP,4.793181
2022,ESP,4.8971643
2023,ESP,4.4970493
2024,ESP,4.599015
1990,FRA,6.9293327
1991,FRA,7.3180947
1992,FRA,7.096411
1993,FRA,6.728049
1994,FRA,6.5845513
1995,FRA,6.6496673
1996,FRA,6.909002
1997,FRA,6.76169
1998,FRA,7.049427
1999,FRA,6.9912124
2000,FRA,6.849684
2001,FRA,6.8707247
2002,FRA,6.746978
2003,FRA,6.799168
2004,FRA,6.7686367
2005,FRA,6.756068
2006,FRA,6.5539103
2007,FRA,6.3502436
2008,FRA,6.2088747
2009,FRA,5.8853593
2010,FRA,5.945996
2011,FRA,5.572035
2012,FRA,5.59021
2013,FRA,5.591334
2014,FRA,5.067184
2015,FRA,5.116293
2016,FRA,5.1545954
2017,FRA,5.182955
2018,FRA,4.93138
2019,FRA,4.812466
2020,FRA,4.271517
2021,FRA,4.649748
2022,FRA,4.4555726
2023,FRA,4.067842
2024,FRA,3.969368
1990,GBR,10.4927225
1991,GBR,10.588317
1992,GBR,10.288521
