period,series,value
1990,empreinte,8.516713
1991,empreinte,8.729163
1992,empreinte,9.277231
1993,empreinte,8.5733595
1994,empreinte,8.407051
1995,empreinte,8.585982
1996,empreinte,8.585284
1997,empreinte,8.15741
1998,empreinte,8.550052
1999,empreinte,8.566968
2000,empreinte,8.633068
2001,empreinte,8.523839
2002,empreinte,8.375346
2003,empreinte,8.498737
2004,empreinte,8.742072
2005,empreinte,8.851764
2006,empreinte,8.769813
2007,empreinte,8.7273035
2008,empreinte,8.651444
2009,empreinte,8.115475
2010,empreinte,8.058999
2011,empreinte,7.9955506
2012,empreinte,7.486152
2013,empreinte,7.507226
2014,empreinte,6.9362226
2015,empreinte,6.6962214
2016,empreinte,6.990235
2017,empreinte,6.939121
2018,empreinte,6.960804
2019,empreinte,6.7343135
2020,empreinte,6.053504
2021,empreinte,6.6611624
2022,empreinte,6.600277
2023,empreinte,6.1314254
1990,territorial,6.9293327
1991,territorial,7.3180947
1992,territorial,7.096411
1993,territorial,6.728049
1994,territorial,6.5845513
1995,territorial,6.6496673
1996,territorial,6.909002
1997,territorial,6.76169
1998,territorial,7.049427
1999,territorial,6.9912124
2000,territorial,6.849684
2001,territorial,6.8707247
2002,territorial,6.746978
2003,territorial,6.799168
2004,territorial,6.7686367
2005,territorial,6.756068
2006,territorial,6.5539103
2007,territorial,6.3502436
2008,territorial,6.2088747
2009,territorial,5.8853593
2010,territorial,5.945996
2011,territorial,5.572035
2012,territorial,5.59021
2013,territorial,5.591334
2014,territorial,5.067184
2015,territorial,5.116293
2016,territorial,5.1545954
2017,territorial,5.182955
2018,territorial,4.93138
2019,territorial,4.812466
2020,territorial,4.271517
2021,territorial,4.649748
2022,territorial,4.4555726
2023,territorial,4.067842
2024,territorial,3.969368
