period,series,value
1990,CHN,2483.53
1991,CHN,2619.14
1992,CHN,2731.29
1993,CHN,2914.28
1994,CHN,3093.89
1995,CHN,3351.2
1996,CHN,3499.31
1997,CHN,3512.35
1998,CHN,3355.34
1999,CHN,3549.95
2000,CHN,3643.81
2001,CHN,3724.11
2002,CHN,4098.18
2003,CHN,4835.25
2004,CHN,5210.96
2005,CHN,5881.99
2006,CHN,6486.18
2007,CHN,6974.66
2008,CHN,7492.4
2009,CHN,7881.49
2010,CHN,8610.05
2011,CHN,9520.15
2012,CHN,9767.31
2013,CHN,9942.37
2014,CHN,9976.03
2015,CHN,9858.04
2016,CHN,9748.17
2017,CHN,10000.01
2018,CHN,10346.79
2019,CHN,10713.52
2020,CHN,10896.52
2021,CHN,11284.4
2022,CHN,11711.81
2023,CHN,12172.01
2024,CHN,12289.04
1990,DEU,1054.8
1991,DEU,1016.93
1992,DEU,969.46
1993,DEU,959.39
1994,DEU,943.23
1995,DEU,939.93
1996,DEU,959.69
1997,DEU,931.51
1998,DEU,923.5
1999,DEU,895.44
2000,DEU,898.98
2001,DEU,915.25
2002,DEU,898.83
2003,DEU,894.5
2004,DEU,876.57
2005,DEU,867.88
2006,DEU,886.43
2007,DEU,846.15
2008,DEU,856.64
2009,DEU,789.98
2010,DEU,826.7
2011,DEU,804.54
2012,DEU,814.09
2013,DEU,831.75
2014,DEU,792.58
2015,DEU,800.82
2016,DEU,797.99
2017,DEU,784.6
2018,DEU,758.77
2019,DEU,708.65
2020,DEU,647.18
2021,DEU,678
2022,DEU,667.84
2023,DEU,593.77
2024,DEU,572.32
1990,ESP,229.38
1991,ESP,239.29
1992,ESP,247.69
1993,ESP,239.1
1994,ESP,251.39
1995,ESP,265.07
1996,ESP,252.56
1997,ESP,264.9
1998,ESP,273.65
1999,ESP,297.02
2000,ESP,309.26
2001,ESP,311.03
2002,ESP,331.03
2003,ESP,335.54
2004,ESP,352.14
2005,ESP,367.45
2006,ESP,358.87
2007,ESP,366.47
2008,ESP,335.28
2009,ESP,296.16
2010,ESP,282.59
2011,ESP,283.28
2012,ESP,277.43
2013,ESP,252.11
2014,ESP,253.66
2015,ESP,270.25
2016,ESP,259.55
2017,ESP,273.48
2018,ESP,268.52
2019,ESP,250.67
2020,ESP,211.76
2021,ESP,228.81
2022,ESP,234.22
2023,ESP,215.46
2024,ESP,220.34
1990,FRA,394.9
1991,FRA,419.12
1992,FRA,408.43
1993,FRA,388.89
1994,FRA,381.9
1995,FRA,386.96
1996,FRA,403.35
1997,FRA,396.02
1998,FRA,414.36
1999,FRA,413.07
2000,FRA,407.44
2001,FRA,411.59
2002,FRA,407.03
2003,FRA,412.99
2004,FRA,414.07
2005,FRA,416.34
2006,FRA,406.67
2007,FRA,396.46
2008,FRA,389.79
2009,FRA,371.4
2010,FRA,377.08
2011,FRA,355.13
2012,FRA,358.1
2013,FRA,360.01
2014,FRA,327.81
2015,FRA,332.13
2016,FRA,335.5
2017,FRA,338.37
2018,FRA,323.1
2019,FRA,316.32
2020,FRA,281.52
2021,FRA,307.27
2022,FRA,295.3
2023,FRA,270.26
2024,FRA,264.16
1990,GBR,601.95
1991,GBR,609.41
1992,GBR,593.85
1993,GBR,579.61
1994,GBR,574.02
1995,GBR,566.16
1996,GBR,586.76
1997,GBR,562.71
1998,GBR,568.54
1999,GBR,561.65
2000,GBR,569.03
2001,GBR,577.97
2002,GBR,560.27
2003,GBR,571.62
2004,GBR,573.43
2005,GBR,570.34
2006,GBR,567.85
2007,GBR,559.57
2008,GBR,544.93
2009,GBR,494.11
2010,GBR,511.9
2011,GBR,469.71
2012,GBR,487.48
2013,GBR,477.61
2014,GBR,438.81
2015,GBR,422.46
2016,GBR,399.43
2017,GBR,387.37
2018,GBR,379.73
2019,GBR,364.75
2020,GBR,326.26
2021,GBR,342.37
2022,GBR,311.12
2023,GBR,307.83
2024,GBR,312.91
1990,IND,577.99
1991,IND,615.39
1992,IND,655.42
1993,IND,677.26
1994,IND,714.04
1995,IND,760.48
1996,IND,823.6
1997,IND,857.98
1998,IND,875.78
1999,IND,961.19
2000,IND,987.07
2001,IND,1001.2
2002,IND,1032.75
2003,IND,1068.4
2004,IND,1134.61
2005,IND,1195.39
2006,IND,1293.32
2007,IND,1393.49
2008,IND,1490.37
2009,IND,1613.33
2010,IND,1678.53
2011,IND,1765.69
2012,IND,1926.99
2013,IND,1995.34
2014,IND,2148.05
2015,IND,2231.82
2016,IND,2352.54
2017,IND,2425.72
2018,IND,2595.23
2019,IND,2611.17
2020,IND,2422.73
2021,IND,2675.78
2022,IND,2831.13
2023,IND,3062.76
2024,IND,3193.48
1990,ITA,438.21
1991,ITA,437.74
1992,ITA,437.94
1993,ITA,430.27
1994,ITA,424.51
1995,ITA,448.6
1996,ITA,442.84
1997,ITA,448.57
1998,ITA,460.82
1999,ITA,465.51
2000,ITA,469.6
2001,ITA,469.68
2002,ITA,477.14
2003,ITA,495.09
2004,ITA,500.69
2005,ITA,501.37
2006,ITA,496.07
2007,ITA,489.79
2008,ITA,478.13
2009,ITA,424.03
2010,ITA,435.67
2011,ITA,423.9
2012,ITA,403.44
2013,ITA,369.46
2014,ITA,349.39
2015,ITA,361.24
2016,ITA,358.13
2017,ITA,352.67
2018,ITA,349.05
2019,ITA,339.64
2020,ITA,302.6
2021,ITA,335.93
2022,ITA,340.11
2023,ITA,312.29
2024,ITA,301.93
1990,USA,5131.76
1991,USA,5076.41
1992,USA,5178.77
1993,USA,5279.52
1994,USA,5361.86
1995,USA,5425.84
1996,USA,5601.09
1997,USA,5673.14
1998,USA,5736.36
1999,USA,5800.28
2000,USA,6023.16
2001,USA,5903.56
2002,USA,5947.82
2003,USA,6006.44
2004,USA,6111.55
2005,USA,6126.9
2006,USA,6045.33
2007,USA,6121.54
2008,USA,5919.22
2009,USA,5486.1
