period,series,value
1990,agriculture,82.3
1991,agriculture,81.3
1992,agriculture,80.4
1993,agriculture,79.2
1994,agriculture,78.5
1995,agriculture,79.1
1996,agriculture,79.6
1997,agriculture,79.6
1998,agriculture,79.5
1999,agriculture,79.8
2000,agriculture,82.1
2001,agriculture,81.8
2002,agriculture,80.4
2003,agriculture,77.1
2004,agriculture,77.6
2005,agriculture,77.2
2006,agriculture,76.6
2007,agriculture,77.3
2008,agriculture,78.9
2009,agriculture,77.8
2010,agriculture,75.6
2011,agriculture,75.3
2012,agriculture,75.1
2013,agriculture,74.2
2014,agriculture,75.9
2015,agriculture,75.7
2016,agriculture,74.8
2017,agriculture,74.5
2018,agriculture,73.4
2019,agriculture,72.3
2020,agriculture,71.1
2021,agriculture,70.5
2022,agriculture,68.1
2023,agriculture,67.4
2024,agriculture,66.8
1990,batiments,98.3
1991,batiments,108.4
1992,batiments,106
1993,batiments,103
1994,batiments,97.3
1995,batiments,97.2
1996,batiments,106.1
1997,batiments,100.2
1998,batiments,104.2
1999,batiments,105.7
2000,batiments,101.4
2001,batiments,106.4
2002,batiments,100.5
2003,batiments,105
2004,batiments,109.6
2005,batiments,107.9
2006,batiments,102.1
2007,batiments,93.8
2008,batiments,100.7
2009,batiments,102.9
2010,batiments,101
2011,batiments,84.5
2012,batiments,91.8
2013,batiments,94.7
2014,batiments,77.9
2015,batiments,81.3
2016,batiments,82.1
2017,batiments,81.3
2018,batiments,77.3
2019,batiments,75
2020,batiments,72.9
2021,batiments,75.9
2022,batiments,63.9
2023,batiments,58.5
2024,batiments,58
1990,dechets,18.6
1991,dechets,19.4
1992,dechets,20.2
1993,dechets,21
1994,dechets,21.4
1995,dechets,21.6
1996,dechets,21.7
1997,dechets,21.7
1998,dechets,22.3
1999,dechets,22.5
2000,dechets,22.9
2001,dechets,23.2
2002,dechets,23.4
2003,dechets,23.6
2004,dechets,23.4
2005,dechets,23.3
2006,dechets,23.3
2007,dechets,23.2
2008,dechets,23.3
2009,dechets,22.7
2010,dechets,22.9
2011,dechets,22
2012,dechets,21.5
2013,dechets,19.7
2014,dechets,18.9
2015,dechets,17.9
2016,dechets,18
2017,dechets,18.1
2018,dechets,17.8
2019,dechets,19
2020,dechets,18.7
