period,series,value
1990,bottom50,7.51
1991,bottom50,7.68
1992,bottom50,8.26
1993,bottom50,7.56
1994,bottom50,7.33
1995,bottom50,7.57
1996,bottom50,7.48
1997,bottom50,7.28
1998,bottom50,7.47
1999,bottom50,7.45
2000,bottom50,7.46
2001,bottom50,7.38
2002,bottom50,7.34
2003,bottom50,7.37
2004,bottom50,7.56
2005,bottom50,7.49
2006,bottom50,7.29
2007,bottom50,7.36
2008,bottom50,7.23
2009,bottom50,6.89
2010,bottom50,6.79
2011,bottom50,6.86
2012,bottom50,6.26
2013,bottom50,6.15
2014,bottom50,5.85
2015,bottom50,5.77
2016,bottom50,5.72
2017,bottom50,5.86
2018,bottom50,5.76
2019,bottom50,5.6
1990,middle40,12.98
1991,middle40,13.15
1992,middle40,14.31
1993,middle40,13.27
1994,middle40,13
1995,middle40,12.91
1996,middle40,12.84
1997,middle40,12.18
1998,middle40,12.64
1999,middle40,12.47
2000,middle40,12.44
2001,middle40,12.23
2002,middle40,12.1
2003,middle40,12.07
2004,middle40,12.39
2005,middle40,12.21
2006,middle40,11.85
2007,middle40,11.96
2008,middle40,11.69
2009,middle40,11.05
2010,middle40,10.93
2011,middle40,11.03
2012,middle40,10.07
2013,middle40,9.88
2014,middle40,9.47
2015,middle40,9.51
2016,middle40,9.4
2017,middle40,9.61
2018,middle40,9.49
2019,middle40,9.22
1990,top1,67.42
1991,top1,68.49
1992,top1,69.57
1993,top1,63.99
1994,top1,66.73
1995,top1,76.19
1996,top1,86.69
1997,top1,84.4
1998,top1,93.65
1999,top1,94.33
2000,top1,96.05
2001,top1,95.6
2002,top1,92.62
2003,top1,95.96
2004,top1,101.34
2005,top1,97.93
2006,top1,96.06
2007,top1,102.67
2008,top1,98.42
2009,top1,84.2
2010,top1,87.73
2011,top1,95.77
2012,top1,83.97
2013,top1,82.39
2014,top1,79.12
2015,top1,66.94
2016,top1,64.88
2017,top1,67.72
2018,top1,65.62
2019,top1,65.09
1990,top10,26.1
1991,top10,26.04
1992,top10,27.67
1993,top10,25.51
1994,top10,25.54
1995,top10,28.23
1996,top10,29.52
1997,top10,27.83
1998,top10,29.71
1999,top10,29.31
2000,top10,30.01
2001,top10,29.17
2002,top10,28.73
2003,top10,28.92
2004,top10,29.93
2005,top10,29.61
2006,top10,29.1
2007,top10,30.31
2008,top10,29.53
2009,top10,26.77
2010,top10,26.98
2011,top10,27.93
2012,top10,25.31
2013,top10,24.82
2014,top10,23.74
2015,top10,22.48
2016,top10,22.07
2017,top10,22.55
2018,top10,22.19
2019,top10,21.73
