period,series,value
2000,CHN,783.51
2001,CHN,762.88
2002,CHN,773.3
2003,CHN,790.92
2004,CHN,778.5
2005,CHN,782.08
2006,CHN,786.64
2007,CHN,785.24
2008,CHN,747.06
2009,CHN,753.13
2010,CHN,740.75
2011,CHN,752.36
2012,CHN,720.28
2013,CHN,717.51
2014,CHN,693.85
2015,CHN,667.85
2016,CHN,651.76
2017,CHN,644.21
2018,CHN,636.89
2019,CHN,619.63
2020,CHN,606.29
2021,CHN,599.05
2022,CHN,586.75
2023,CHN,583.04
2024,CHN,555.4
2025,CHN,525.34
2000,DEU,573.16
2001,DEU,565.48
2002,DEU,569.62
2003,DEU,570.01
2004,DEU,554.71
2005,DEU,546.3
2006,DEU,536.21
2007,DEU,551.81
2008,DEU,525.41
2009,DEU,521.55
2010,DEU,516.65
2011,DEU,529.67
2012,DEU,534.16
2013,DEU,538.04
2014,DEU,521.68
2015,DEU,503.59
2016,DEU,498.3
2017,DEU,469.71
2018,DEU,454.55
2019,DEU,392.51
2020,DEU,355.61
2021,DEU,394.64
2022,DEU,419.74
2023,DEU,362.92
2024,DEU,336.38
2025,DEU,329.65
2000,ESP,470.89
2001,ESP,422.49
2002,ESP,481.89
2003,ESP,429.23
2004,ESP,449.12
2005,ESP,475.06
2006,ESP,432.76
2007,ESP,438.85
2008,ESP,390.23
2009,ESP,355.02
2010,ESP,288.25
2011,ESP,337.28
2012,ESP,351.11
2013,ESP,286.86
2014,ESP,288.99
2015,ESP,328.5
2016,ESP,282.93
2017,ESP,329.17
2018,ESP,290.86
2019,ESP,246.67
2020,ESP,199.1
2021,ESP,193.54
2022,ESP,217.13
2023,ESP,169.68
2024,ESP,146.22
2025,ESP,153.6
2000,FRA,79.77
2001,FRA,68.63
2002,FRA,75.21
2003,FRA,80.86
2004,FRA,77.19
2005,FRA,85.53
2006,FRA,76.57
2007,FRA,80.11
2008,FRA,76.03
2009,FRA,75.6
2010,FRA,78.56
2011,FRA,74.62
2012,FRA,77.59
2013,FRA,76.29
2014,FRA,52.22
2015,FRA,59.17
2016,FRA,68.62
2017,FRA,78.31
2018,FRA,59.92
2019,FRA,59.79
2020,FRA,59.08
2021,FRA,59.8
2022,FRA,78.54
2023,FRA,53.26
2024,FRA,40.48
2025,FRA,41.44
2000,GBR,521.99
2001,GBR,528.99
2002,GBR,520.89
2003,GBR,536.78
2004,GBR,536.02
2005,GBR,535.26
2006,GBR,559.34
2007,GBR,556.06
2008,GBR,554.38
2009,GBR,504.65
2010,GBR,517.2
2011,GBR,499.63
2012,GBR,537.23
2013,GBR,506.92
2014,GBR,462.88
2015,GBR,397.79
2016,GBR,333.45
2017,GBR,302.2
2018,GBR,285.65
2019,GBR,268.41
2020,GBR,242.54
2021,GBR,267.1
2022,GBR,254.98
2023,GBR,235.63
2024,GBR,216.5
2025,GBR,217.41
2000,IND,740.04
2001,IND,747.39
2002,IND,755.76
2003,IND,758.01
2004,IND,723.79
2005,IND,734.03
2006,IND,723.04
2007,IND,717.87
2008,IND,733.08
2009,IND,744.55
2010,IND,739.43
2011,IND,722.11
2012,IND,742.86
2013,IND,738.99
2014,IND,743.22
2015,IND,750.63
2016,IND,751.87
2017,IND,743.09
2018,IND,737.72
2019,IND,722.66
2020,IND,709.06
2021,IND,715.34
2022,IND,705.75
2023,IND,713.36
2024,IND,705.4
2025,IND,670.13
2000,ITA,501.67
2001,ITA,498.68
2002,ITA,523.08
2003,ITA,523.25
2004,ITA,510.98
2005,ITA,510.17
2006,ITA,506.76
2007,ITA,504.75
2008,ITA,485.51
2009,ITA,458.58
2010,ITA,446.45
2011,ITA,445.59
2012,ITA,438.17
2013,ITA,398.96
2014,ITA,379.31
2015,ITA,398.68
2016,ITA,389.58
2017,ITA,392.82
2018,ITA,366.88
2019,ITA,351.32
2020,ITA,334.2
2021,ITA,339.1
2022,ITA,377.84
2023,ITA,323.23
2024,ITA,281.4
2025,ITA,284.78
2000,JPN,424.43
2001,JPN,424.02
2002,JPN,433.73
2003,JPN,476.32
2004,JPN,450.26
2005,JPN,461.8
2006,JPN,447.25
2007,JPN,470.19
2008,JPN,485.22
2009,JPN,460.21
2010,JPN,446.66
2011,JPN,505.34
2012,JPN,594.53
2013,JPN,595.9
2014,JPN,591.53
2015,JPN,578.05
2016,JPN,567.04
2017,JPN,558.03
2018,JPN,541.47
2019,JPN,528.49
2020,JPN,527.75
2021,JPN,514.49
2022,JPN,519.6
2023,JPN,492.45
2024,JPN,483.43
2025,JPN,477.26
2000,POL,954.6
2001,POL,949.56
2002,POL,945.61
2003,POL,949.8
2004,POL,941.26
2005,POL,932.26
2006,POL,931.92
2007,POL,925.44
2008,POL,918.51
2009,POL,904.81
2010,POL,893.03
2011,POL,881.69
2012,POL,860.79
2013,POL,863.23
2014,POL,844.08
2015,POL,826.11
2016,POL,818.55
2017,POL,805.54
2018,POL,809.01
2019,POL,771.66
2020,POL,738.28
2021,POL,756.36
2022,POL,732.48
2023,POL,650.68
2024,POL,608.18
2025,POL,588.6
2000,USA,607.52
2001,USA,609.89
2002,USA,600.66
2003,USA,606.34
2004,USA,602.44
2005,USA,604.39
2006,USA,595.46
2007,USA,598.47
2008,USA,591.33
2009,USA,565.02
2010,USA,570.81
2011,USA,550.48
2012,USA,532.77
2013,USA,533.43
2014,USA,529.41
2015,USA,504.9
2016,USA,483.35
2017,USA,469.02
2018,USA,462.61
2019,USA,439.45
2020,USA,411.73
2021,USA,423.78
2022,USA,410.39
2023,USA,392.89
2024,USA,383.78
2025,USA,384.4
