period,series,value
1950,FRA,12.63
1951,FRA,12.36
1952,FRA,12.48
1953,FRA,12.44
1954,FRA,11.92
1955,FRA,12.64
1956,FRA,11.48
1957,FRA,12.73
1958,FRA,12.74
1959,FRA,13.31
1960,FRA,12.6
1961,FRA,13.35
1962,FRA,11.97
1963,FRA,11.56
1964,FRA,12.46
1965,FRA,12
1966,FRA,12.76
1967,FRA,12.59
1968,FRA,12.37
1969,FRA,12.39
1970,FRA,12.43
1971,FRA,12.3
1972,FRA,12.11
1973,FRA,12.3
1974,FRA,12.55
1975,FRA,12.42
1976,FRA,12.76
1977,FRA,12.57
1978,FRA,12.17
1979,FRA,12.2
1980,FRA,11.97
1981,FRA,12.58
1982,FRA,13.09
1983,FRA,12.92
1984,FRA,12.23
1985,FRA,11.98
1986,FRA,12.29
1987,FRA,12.46
1988,FRA,13.06
1989,FRA,13.51
1990,FRA,13.49
1991,FRA,12.51
1992,FRA,12.89
1993,FRA,12.61
1994,FRA,13.7
1995,FRA,13.37
1996,FRA,12.48
1997,FRA,13.57
1998,FRA,13.11
1999,FRA,13.39
2000,FRA,13.51
2001,FRA,13.21
2002,FRA,13.6
2003,FRA,13.91
2004,FRA,13.2
2005,FRA,13.19
2006,FRA,13.7
2007,FRA,13.41
2008,FRA,13.11
2009,FRA,13.53
2010,FRA,12.61
2011,FRA,14.11
2012,FRA,13.36
2013,FRA,12.96
2014,FRA,14.14
2015,FRA,13.99
2016,FRA,13.61
2017,FRA,13.77
2018,FRA,14.22
2019,FRA,14.08
2020,FRA,14.5
2021,FRA,13.36
2022,FRA,14.76
2023,FRA,14.68
2024,FRA,14.19
2025,FRA,14.22
