period,series,value
2016,apl,6456.2
2017,apl,6448.5
2018,apl,6421.6
2019,apl,6365.1
2020,apl,6501.6
2021,apl,5929.2
2022,apl,5838
2023,apl,5735.6
2024,apl,5682.3
2025,apl,5685.9
2016,prime-activite,2576.7
2017,prime-activite,2739.9
2018,prime-activite,3044.3
2019,prime-activite,4348.4
2020,prime-activite,4421.1
2021,prime-activite,4465.9
2022,prime-activite,4636.7
2023,prime-activite,4544.8
2024,prime-activite,4675.5
2025,prime-activite,4600.5
2016,rsa,1868.2
2017,rsa,1856.8
2018,rsa,1877.3
2019,rsa,1888.9
2020,rsa,2027.9
2021,rsa,1903.6
2022,rsa,1859.6
2023,rsa,1823.8
2024,rsa,1811.2
2025,rsa,1831.8
