period,series,value
2007,DEU,22.8
2008,DEU,22.8
2009,DEU,22.6
2010,DEU,22.3
2011,DEU,22.4
2012,DEU,22.7
2013,DEU,22.1
2014,DEU,22.3
2015,DEU,21.8
2016,DEU,21.1
2017,DEU,20.4
2018,DEU,20.1
2019,DEU,19.2
2020,DEU,18.3
2021,DEU,17.6
2022,DEU,17.7
2023,DEU,17.6
2024,DEU,15.6
2007,ESP,18.1
2008,ESP,16.1
2009,ESP,16.7
2010,ESP,16.2
2011,ESP,17.6
2012,ESP,18.7
2013,ESP,17.8
2014,ESP,14.9
2015,ESP,14.1
2016,ESP,14.8
2017,ESP,13.5
2018,ESP,11.9
2019,ESP,9.6
2020,ESP,9.3
2021,ESP,9.3
2022,ESP,9.2
2023,ESP,7.3
2024,ESP,7.3
2010,EU27,15.8
2011,EU27,16.2
2012,EU27,16.4
2013,EU27,16
2014,EU27,15.7
2015,EU27,15.5
2016,EU27,15.1
2017,EU27,14.6
2018,EU27,14.4
2019,EU27,13.7
2020,EU27,12.7
2021,EU27,12.3
2022,EU27,12.2
2023,EU27,11.7
2024,EU27,11.1
2007,FRA,17.3
2008,FRA,16.9
2009,FRA,15.2
2010,FRA,15.6
2011,FRA,15.7
2012,FRA,15.6
2013,FRA,15.5
2014,FRA,15.5
2015,FRA,15.6
2016,FRA,15.9
2017,FRA,16.3
2018,FRA,16.7
2019,FRA,16
2020,FRA,15
2021,FRA,13.7
2022,FRA,12.8
2023,FRA,12.3
2024,FRA,11.8
2007,ITA,5.1
2008,ITA,4.9
2009,ITA,5.5
2010,ITA,5.3
2011,ITA,5.7
2012,ITA,6.5
2013,ITA,7
2014,ITA,6.1
2015,ITA,5.5
2016,ITA,5.3
2017,ITA,5
2018,ITA,5.5
2019,ITA,4.6
2020,ITA,4
2021,ITA,4.7
2022,ITA,3.8
2023,ITA,2.2
2024,ITA,5.3
