period,series,value
2014,DEU,30.7
2015,DEU,30.1
2016,DEU,29.5
2017,DEU,29.1
2018,DEU,31.1
2019,DEU,29.7
2020,DEU,30.5
2021,DEU,31.2
2022,DEU,29
2023,DEU,29.4
2024,DEU,29.5
2025,DEU,30.1
2014,ESP,34.7
2015,ESP,34.6
2016,ESP,34.5
2017,ESP,34.1
2018,ESP,33.2
2019,ESP,33
2020,ESP,32.1
2021,ESP,33
2022,ESP,32
2023,ESP,31.5
2024,ESP,31.2
2025,ESP,30.8
2014,EU27,30.9
2015,EU27,30.8
2016,EU27,30.6
2017,EU27,30.3
2018,EU27,30.4
2019,EU27,30.1
2020,EU27,30
2021,EU27,30.2
2022,EU27,29.6
2023,EU27,29.6
2024,EU27,29.4
2025,EU27,29.2
2014,FRA,29.2
2015,FRA,29.2
2016,FRA,29.3
2017,FRA,28.8
2018,FRA,28.5
2019,FRA,29.2
2020,FRA,29.2
2021,FRA,29.3
2022,FRA,29.8
2023,FRA,29.7
2024,FRA,30
2025,FRA,30.4
2014,ITA,32.4
2015,ITA,32.4
2016,ITA,33.1
2017,ITA,32.7
2018,ITA,33.4
2019,ITA,32.8
2020,ITA,32.5
2021,ITA,32.9
2022,ITA,32.7
2023,ITA,31.5
2024,ITA,32.2
2025,ITA,31
