period,series,value
1997,DEU,1.5
1998,DEU,0.6
1999,DEU,0.6
2000,DEU,1.4
2001,DEU,1.9
2002,DEU,1.3
2003,DEU,1.1
2004,DEU,1.8
2005,DEU,1.9
2006,DEU,1.8
2007,DEU,2.3
2008,DEU,2.8
2009,DEU,0.2
2010,DEU,1.1
2011,DEU,2.5
2012,DEU,2.2
2013,DEU,1.6
2014,DEU,0.8
2015,DEU,0.7
2016,DEU,0.4
2017,DEU,1.7
2018,DEU,1.9
2019,DEU,1.4
2020,DEU,0.4
2021,DEU,3.2
2022,DEU,8.7
2023,DEU,6
2024,DEU,2.5
2025,DEU,2.3
1997,ESP,1.9
1998,ESP,1.8
1999,ESP,2.2
2000,ESP,3.5
2001,ESP,2.8
2002,ESP,3.6
2003,ESP,3.1
2004,ESP,3.1
2005,ESP,3.4
2006,ESP,3.6
2007,ESP,2.8
2008,ESP,4.1
2009,ESP,-0.2
2010,ESP,2
2011,ESP,3
2012,ESP,2.4
2013,ESP,1.5
2014,ESP,-0.2
2015,ESP,-0.6
2016,ESP,-0.3
2017,ESP,2
2018,ESP,1.7
2019,ESP,0.8
2020,ESP,-0.3
2021,ESP,3
2022,ESP,8.3
2023,ESP,3.4
2024,ESP,2.9
2025,ESP,2.7
2001,EU27,3.6
2002,EU27,2.7
2003,EU27,2.3
2004,EU27,2.5
2005,EU27,2.3
2006,EU27,2.3
2007,EU27,2.4
2008,EU27,3.7
2009,EU27,0.8
2010,EU27,1.8
2011,EU27,2.9
2012,EU27,2.6
2013,EU27,1.3
2014,EU27,0.4
2015,EU27,0.1
2016,EU27,0.2
2017,EU27,1.6
2018,EU27,1.8
2019,EU27,1.4
2020,EU27,0.7
2021,EU27,2.9
2022,EU27,9.2
2023,EU27,6.4
2024,EU27,2.6
2025,EU27,2.5
1997,FRA,1.3
1998,FRA,0.7
1999,FRA,0.6
2000,FRA,1.8
2001,FRA,1.8
2002,FRA,1.9
2003,FRA,2.2
2004,FRA,2.3
2005,FRA,1.9
2006,FRA,1.9
2007,FRA,1.6
2008,FRA,3.2
2009,FRA,0.1
2010,FRA,1.7
2011,FRA,2.3
2012,FRA,2.2
2013,FRA,1
2014,FRA,0.6
2015,FRA,0.1
2016,FRA,0.3
2017,FRA,1.2
2018,FRA,2.1
2019,FRA,1.3
2020,FRA,0.5
2021,FRA,2.1
2022,FRA,5.9
2023,FRA,5.7
2024,FRA,2.3
2025,FRA,0.9
1997,ITA,1.9
1998,ITA,1.9
1999,ITA,1.6
2000,ITA,2.6
2001,ITA,2.3
2002,ITA,2.6
2003,ITA,2.8
2004,ITA,2.3
2005,ITA,2.2
2006,ITA,2.2
2007,ITA,2
2008,ITA,3.5
2009,ITA,0.8
2010,ITA,1.6
2011,ITA,2.9
2012,ITA,3.3
2013,ITA,1.2
2014,ITA,0.2
2015,ITA,0.1
2016,ITA,-0.1
2017,ITA,1.3
2018,ITA,1.2
2019,ITA,0.6
2020,ITA,-0.1
2021,ITA,1.9
2022,ITA,8.7
2023,ITA,5.9
2024,ITA,1.1
2025,ITA,1.7
