period,series,value
1999,aah,693.8
2000,aah,710.9
2001,aah,733.1
2002,aah,751.1
2003,aah,766.4
2004,aah,786.1
2005,aah,801
2006,aah,804
2007,aah,813.2
2008,aah,848.8
2009,aah,883.3
2010,aah,915
2011,aah,956.6
2012,aah,997
2013,aah,1022.3
2014,aah,1040.5
2015,aah,1062.3
2016,aah,1129.1
2017,aah,1163.1
2018,aah,1194.5
2019,aah,1221.5
2020,aah,1237.8
2021,aah,1252.3
2022,aah,1294.7
2023,aah,1352.8
2024,aah,1397.8
1999,aspa,807.8
2000,aspa,765.9
2001,aspa,723.1
2002,aspa,668
2003,aspa,634.2
2004,aspa,621.6
2005,aspa,609.4
2006,aspa,598.5
2007,aspa,586.7
2008,aspa,575.2
2009,aspa,583.2
2010,aspa,576.3
2011,aspa,572.6
2012,aspa,564.4
2013,aspa,557.8
2014,aspa,554.2
2015,aspa,554.4
2016,aspa,552.6
2017,aspa,550.3
2018,aspa,568.1
2019,aspa,601.6
2020,aspa,635.3
2021,aspa,664.2
2022,aspa,691.2
2023,aspa,723
2024,aspa,754.5
1999,ass,491.1
2000,ass,447
2001,ass,413.6
2002,ass,394.7
2003,ass,373.1
2004,ass,369.9
2005,ass,401.6
2006,ass,393.2
2007,ass,348.9
2008,ass,324
2009,ass,348
2010,ass,355.4
2011,ass,369
2012,ass,410.5
2013,ass,452.9
2014,ass,471.7
2015,ass,472.7
2016,ass,454.2
2017,ass,427.1
2018,ass,379.7
2019,ass,351.5
2020,ass,354.7
2021,ass,321.9
2022,ass,275.6
2023,ass,253.1
2024,ass,265
2009,rsa,1313.9
2010,rsa,1373.7
2011,rsa,1589.3
2012,rsa,1687.2
2013,rsa,1812.4
2014,rsa,1898.6
2015,rsa,1945.9
2016,rsa,1893.1
2017,rsa,1883.8
2018,rsa,1903.8
2019,rsa,1916.1
2020,rsa,2058.1
2021,rsa,1930.9
2022,rsa,1886.8
2023,rsa,1849.7
2024,rsa,1840.2
