period,series,value
1996,median,21000
1997,median,21030
1998,median,21470
1999,median,21780
2000,median,22180
2001,median,22730
2002,median,23320
2003,median,23260
2004,median,23140
2005,median,23550
2006,median,23900
2007,median,24400
2008,median,24800
2009,median,24880
2010,median,24770
2011,median,24760
2012,median,24520
2013,median,24500
2014,median,24550
2015,median,24640
2016,median,24870
2017,median,24970
2018,median,25020
2019,median,25680
2020,median,26160
2021,median,26070
2022,median,26030
2023,median,26280
2024,median,26740
