period,series,value
1980,bottom50,8.45
1981,bottom50,8.56
1982,bottom50,8.83
1983,bottom50,8.99
1984,bottom50,9.05
1985,bottom50,9.26
1986,bottom50,9.35
1987,bottom50,9.53
1988,bottom50,9.69
1989,bottom50,9.22
1990,bottom50,8.94
1991,bottom50,8.77
1992,bottom50,7.82
1993,bottom50,7.92
1994,bottom50,7.8
1995,bottom50,6.68
1996,bottom50,6.26
1997,bottom50,6.08
1998,bottom50,5.86
1999,bottom50,5.79
2000,bottom50,5.66
2001,bottom50,5.81
2002,bottom50,6.02
2003,bottom50,6.01
2004,bottom50,6.04
2005,bottom50,6.06
2006,bottom50,5.81
2007,bottom50,5.57
2008,bottom50,5.63
2009,bottom50,5.35
2010,bottom50,4.74
2011,bottom50,5.04
2012,bottom50,5.33
2013,bottom50,5.09
2014,bottom50,4.99
2015,bottom50,4.95
2016,bottom50,4.98
2017,bottom50,4.96
2018,bottom50,4.92
2019,bottom50,4.93
2020,bottom50,4.95
2021,bottom50,4.85
2022,bottom50,4.87
2023,bottom50,4.86
2024,bottom50,4.84
1980,middle40,40
1981,middle40,40.58
1982,middle40,40.99
1983,middle40,41.03
1984,middle40,40.98
1985,middle40,40.63
1986,middle40,40.12
1987,middle40,39.97
1988,middle40,39.64
1989,middle40,39.88
1990,middle40,40.52
1991,middle40,40.3
1992,middle40,40.85
1993,middle40,40.56
1994,middle40,40.69
1995,middle40,39.54
1996,middle40,36.87
1997,middle40,35.69
1998,middle40,34.61
1999,middle40,33.85
2000,middle40,33.84
2001,middle40,34.57
2002,middle40,35.86
2003,middle40,36.68
2004,middle40,37.28
2005,middle40,38.08
2006,middle40,38.04
2007,middle40,37.68
2008,middle40,38.13
2009,middle40,38
2010,middle40,36.92
2011,middle40,37.27
2012,middle40,37.44
2013,middle40,37.03
2014,middle40,36.31
2015,middle40,36.1
2016,middle40,36.31
2017,middle40,36.2
2018,middle40,35.89
2019,middle40,35.94
2020,middle40,36.11
2021,middle40,35.45
2022,middle40,35.52
2023,middle40,35.44
2024,middle40,35.29
1980,top1,17.17
1981,top1,16.66
1982,top1,16.17
1983,top1,15.92
1984,top1,15.85
1985,top1,16.13
1986,top1,16.78
1987,top1,17.06
1988,top1,17.74
1989,top1,17.94
1990,top1,17.71
1991,top1,18.64
1992,top1,18.13
1993,top1,19.38
1994,top1,19.93
1995,top1,20.74
1996,top1,24.66
1997,top1,26.69
1998,top1,28.11
1999,top1,29.87
2000,top1,29.84
2001,top1,28.46
2002,top1,26.65
2003,top1,25.67
2004,top1,25.1
2005,top1,23.83
2006,top1,23.39
2007,top1,23.73
2008,top1,23.07
2009,top1,22.76
2010,top1,24.65
2011,top1,24.27
2012,top1,23.82
2013,top1,24.58
2014,top1,25.79
2015,top1,26.09
2016,top1,25.68
2017,top1,25.86
2018,top1,26.4
2019,top1,26.33
2020,top1,26.02
2021,top1,27.21
2022,top1,27.15
2023,top1,27.36
2024,top1,27.68
1980,top10,51.55
1981,top10,50.86
1982,top10,50.19
1983,top10,49.98
1984,top10,49.97
1985,top10,50.1
1986,top10,50.53
1987,top10,50.49
1988,top10,50.68
1989,top10,50.9
1990,top10,50.54
1991,top10,50.94
1992,top10,51.33
1993,top10,51.52
1994,top10,51.52
1995,top10,53.78
1996,top10,56.88
1997,top10,58.23
1998,top10,59.53
1999,top10,60.35
2000,top10,60.5
2001,top10,59.63
2002,top10,58.12
2003,top10,57.31
2004,top10,56.68
2005,top10,55.86
2006,top10,56.14
2007,top10,56.74
2008,top10,56.25
2009,top10,56.65
2010,top10,58.34
2011,top10,57.68
2012,top10,57.23
2013,top10,57.88
2014,top10,58.7
2015,top10,58.94
2016,top10,58.71
2017,top10,58.83
2018,top10,59.19
2019,top10,59.13
2020,top10,58.94
2021,top10,59.7
2022,top10,59.61
2023,top10,59.7
2024,top10,59.88
