period,series,value
1980,bottom50-apres,28.37
1981,bottom50-apres,28.84
1982,bottom50-apres,29.13
1983,bottom50-apres,29.26
1984,bottom50-apres,29.31
1985,bottom50-apres,29.35
1986,bottom50-apres,29.25
1987,bottom50-apres,29.21
1988,bottom50-apres,29.12
1989,bottom50-apres,28.78
1990,bottom50-apres,28.79
1991,bottom50-apres,29.55
1992,bottom50-apres,29.53
1993,bottom50-apres,29.89
1994,bottom50-apres,29.93
1995,bottom50-apres,30.11
1996,bottom50-apres,30
1997,bottom50-apres,29.77
1998,bottom50-apres,30.75
1999,bottom50-apres,30.88
2000,bottom50-apres,30.68
2001,bottom50-apres,30.79
2002,bottom50-apres,30.52
2003,bottom50-apres,30.36
2004,bottom50-apres,30.08
2005,bottom50-apres,29.98
2006,bottom50-apres,30.38
2007,bottom50-apres,29.99
2008,bottom50-apres,30.07
2009,bottom50-apres,30.53
2010,bottom50-apres,30.71
2011,bottom50-apres,30.86
2012,bottom50-apres,31.63
2013,bottom50-apres,31.92
2014,bottom50-apres,32.17
2015,bottom50-apres,31.73
2016,bottom50-apres,32.09
2017,bottom50-apres,32.07
2018,bottom50-apres,31.89
2019,bottom50-apres,32.13
2020,bottom50-apres,32.79
2021,bottom50-apres,32.18
2022,bottom50-apres,31.96
2023,bottom50-apres,31.6
2024,bottom50-apres,31.54
1980,bottom50-avant,22.66
1981,bottom50-avant,22.76
1982,bottom50-avant,22.85
1983,bottom50-avant,22.77
1984,bottom50-avant,22.59
1985,bottom50-avant,22.61
1986,bottom50-avant,22.39
1987,bottom50-avant,22.3
1988,bottom50-avant,22.25
1989,bottom50-avant,21.76
1990,bottom50-avant,21.53
1991,bottom50-avant,21.94
1992,bottom50-avant,21.68
1993,bottom50-avant,21.5
1994,bottom50-avant,21.28
1995,bottom50-avant,21.31
1996,bottom50-avant,21.05
1997,bottom50-avant,20.73
1998,bottom50-avant,20.54
1999,bottom50-avant,20.61
2000,bottom50-avant,20.54
2001,bottom50-avant,20.67
2002,bottom50-avant,20.37
2003,bottom50-avant,20.19
2004,bottom50-avant,19.94
2005,bottom50-avant,20
2006,bottom50-avant,20.21
2007,bottom50-avant,19.85
2008,bottom50-avant,19.79
2009,bottom50-avant,20.32
2010,bottom50-avant,20.23
2011,bottom50-avant,20.43
2012,bottom50-avant,20.82
2013,bottom50-avant,20.92
2014,bottom50-avant,21.12
2015,bottom50-avant,20.55
2016,bottom50-avant,20.65
2017,bottom50-avant,20.59
2018,bottom50-avant,20.34
2019,bottom50-avant,20.48
2020,bottom50-avant,20.55
2021,bottom50-avant,20.26
2022,bottom50-avant,20.34
2023,bottom50-avant,20.3
2024,bottom50-avant,20.3
1980,middle40-apres,46.67
1981,middle40-apres,46.67
1982,middle40-apres,46.72
1983,middle40-apres,46.59
1984,middle40-apres,46.56
