period,series,value
1996,taux-50,8.2
1997,taux-50,8
1998,taux-50,7.6
1999,taux-50,7.3
2000,taux-50,7.4
2001,taux-50,7
2002,taux-50,6.6
2003,taux-50,7.1
2004,taux-50,6.8
2005,taux-50,7.4
2006,taux-50,7.2
2007,taux-50,7.3
2008,taux-50,7.2
2009,taux-50,7.6
2010,taux-50,8
2011,taux-50,8.2
2012,taux-50,8.4
2013,taux-50,7.8
2014,taux-50,7.9
2015,taux-50,7.9
2016,taux-50,7.9
2017,taux-50,7.9
2018,taux-50,8.2
2019,taux-50,8.1
2020,taux-50,7.5
2021,taux-50,8.3
2022,taux-50,8.1
2023,taux-50,8.4
2024,taux-50,8.8
1996,taux-60,14.3
1997,taux-60,14
1998,taux-60,13.7
1999,taux-60,13.4
2000,taux-60,13.4
2001,taux-60,13.2
2002,taux-60,12.8
2003,taux-60,12.8
2004,taux-60,12.4
2005,taux-60,13
2006,taux-60,13
2007,taux-60,13.3
2008,taux-60,12.9
2009,taux-60,13.4
2010,taux-60,14
2011,taux-60,14.3
2012,taux-60,13.9
2013,taux-60,13.5
2014,taux-60,13.7
2015,taux-60,13.9
2016,taux-60,13.7
2017,taux-60,13.8
2018,taux-60,14.5
2019,taux-60,14.3
2020,taux-60,13.6
2021,taux-60,14.5
2022,taux-60,14.4
2023,taux-60,15.4
2024,taux-60,15.4
