period,series,value
1959,arbitrable,34.62
1960,arbitrable,37.03
1961,arbitrable,38.33
1962,arbitrable,41.67
1963,arbitrable,43.48
1964,arbitrable,45.32
1965,arbitrable,47
1966,arbitrable,48.9
1967,arbitrable,51.09
1968,arbitrable,52.86
1969,arbitrable,54.36
1970,arbitrable,57.85
1971,arbitrable,60.33
1972,arbitrable,63.15
1973,arbitrable,66.15
1974,arbitrable,67.07
1975,arbitrable,69.23
1976,arbitrable,70.24
1977,arbitrable,71.28
1978,arbitrable,75.01
1979,arbitrable,74.33
1980,arbitrable,73.47
1981,arbitrable,74.03
1982,arbitrable,74.96
1983,arbitrable,73.65
1984,arbitrable,71.42
1985,arbitrable,71.07
1986,arbitrable,72.7
1987,arbitrable,73.11
1988,arbitrable,75.34
1989,arbitrable,77.56
1990,arbitrable,80.38
1991,arbitrable,80.49
1992,arbitrable,81.98
1993,arbitrable,81.53
1994,arbitrable,81
1995,arbitrable,82.19
1996,arbitrable,81.99
1997,arbitrable,83.35
1998,arbitrable,85.46
1999,arbitrable,87.41
2000,arbitrable,90.07
2001,arbitrable,92.38
2002,arbitrable,94.74
2003,arbitrable,94.77
2004,arbitrable,96.12
2005,arbitrable,96.84
2006,arbitrable,99.69
2007,arbitrable,102.71
2008,arbitrable,101.67
2009,arbitrable,103.28
2010,arbitrable,103.82
2011,arbitrable,103.34
2012,arbitrable,101.28
2013,arbitrable,98.27
2014,arbitrable,99.66
2015,arbitrable,100
2016,arbitrable,101.33
2017,arbitrable,102.68
2018,arbitrable,102.68
2019,arbitrable,105.22
2020,arbitrable,104.9
2021,arbitrable,107.97
2022,arbitrable,107.34
2023,arbitrable,108.04
2024,arbitrable,111.54
2025,arbitrable,110.01
1959,FRA,31.83
1960,FRA,33.91
1961,FRA,35.13
1962,FRA,38.04
1963,FRA,39.8
1964,FRA,41.43
1965,FRA,42.94
1966,FRA,44.64
1967,FRA,46.65
1968,FRA,48.39
1969,FRA,50.21
1970,FRA,53.23
1971,FRA,55.43
1972,FRA,57.92
1973,FRA,60.69
1974,FRA,62.21
1975,FRA,63.8
1976,FRA,64.96
1977,FRA,66.18
1978,FRA,69.49
1979,FRA,69.47
1980,FRA,69.3
1981,FRA,69.9
1982,FRA,70.74
1983,FRA,70.22
1984,FRA,69.02
1985,FRA,69.15
1986,FRA,70.68
1987,FRA,71.42
1988,FRA,73.31
1989,FRA,75.24
1990,FRA,77.7
1991,FRA,78.19
1992,FRA,79.42
1993,FRA,79.42
1994,FRA,79.34
1995,FRA,80.76
1996,FRA,81.17
1997,FRA,82.32
1998,FRA,84.39
1999,FRA,86.44
2000,FRA,89.06
2001,FRA,91.23
2002,FRA,93.37
2003,FRA,93.76
2004,FRA,95.09
2005,FRA,95.95
2006,FRA,98.27
2007,FRA,100.55
2008,FRA,100.14
2009,FRA,101.23
2010,FRA,101.94
2011,FRA,101.58
2012,FRA,100.64
2013,FRA,98.96
2014,FRA,99.63
2015,FRA,100
2016,FRA,100.97
2017,FRA,102.15
2018,FRA,102.48
2019,FRA,104.51
2020,FRA,104.16
2021,FRA,107.09
2022,FRA,106.79
2023,FRA,107.18
2024,FRA,109.53
2025,FRA,108.78
