period,series,value
2000,DEU-chomage,2.06
2001,DEU-chomage,2.02
2002,DEU-chomage,2.17
2003,DEU-chomage,2.23
2004,DEU-chomage,2.17
2005,DEU-chomage,2.01
2006,DEU-chomage,1.76
2007,DEU-chomage,1.48
2008,DEU-chomage,1.38
2009,DEU-chomage,1.8
2010,DEU-chomage,1.61
2011,DEU-chomage,1.25
2012,DEU-chomage,1.13
2013,DEU-chomage,1.13
2014,DEU-chomage,1.06
2015,DEU-chomage,1.01
2016,DEU-chomage,0.98
2017,DEU-chomage,0.96
2018,DEU-chomage,0.89
2019,DEU-chomage,0.9
2020,DEU-chomage,1.68
2021,DEU-chomage,1.52
2022,DEU-chomage,0.94
2023,DEU-chomage,0.94
2024,DEU-chomage,1.05
2000,DEU-exclusion,0.15
2001,DEU-exclusion,0.13
2002,DEU-exclusion,0.13
2003,DEU-exclusion,0.14
2004,DEU-exclusion,0.15
2005,DEU-exclusion,0.12
2006,DEU-exclusion,0.11
2007,DEU-exclusion,0.11
2008,DEU-exclusion,0.1
2009,DEU-exclusion,0.1
2010,DEU-exclusion,0.1
2011,DEU-exclusion,0.1
2012,DEU-exclusion,0.11
2013,DEU-exclusion,0.12
2014,DEU-exclusion,0.15
2015,DEU-exclusion,0.24
2016,DEU-exclusion,0.36
2017,DEU-exclusion,0.24
2018,DEU-exclusion,0.2
2019,DEU-exclusion,0.19
2020,DEU-exclusion,0.16
2021,DEU-exclusion,0.16
2022,DEU-exclusion,0.2
2023,DEU-exclusion,0.19
2024,DEU-exclusion,0.2
2000,DEU-famille,3.13
2001,DEU-famille,3.02
2002,DEU-famille,3.2
2003,DEU-famille,3.2
2004,DEU-famille,3.14
2005,DEU-famille,2.99
2006,DEU-famille,2.76
2007,DEU-famille,2.67
2008,DEU-famille,2.73
2009,DEU-famille,3.04
2010,DEU-famille,3.1
2011,DEU-famille,3
2012,DEU-famille,3.06
2013,DEU-famille,3.09
2014,DEU-famille,3.08
2015,DEU-famille,3.12
2016,DEU-famille,3.17
