period,series,value
2005-07,brut,1217.88
2005-08,brut,1217.88
2005-09,brut,1217.88
2005-10,brut,1217.88
2005-11,brut,1217.88
2005-12,brut,1217.88
2006-01,brut,1217.88
2006-02,brut,1217.88
2006-03,brut,1217.88
2006-04,brut,1217.88
2006-05,brut,1217.88
2006-06,brut,1217.88
2006-07,brut,1254.28
2006-08,brut,1254.28
2006-09,brut,1254.28
2006-10,brut,1254.28
2006-11,brut,1254.28
2006-12,brut,1254.28
2007-01,brut,1254.28
2007-02,brut,1254.28
2007-03,brut,1254.28
2007-04,brut,1254.28
2007-05,brut,1254.28
2007-06,brut,1254.28
2007-07,brut,1280.07
2007-08,brut,1280.07
2007-09,brut,1280.07
2007-10,brut,1280.07
2007-11,brut,1280.07
2007-12,brut,1280.07
2008-01,brut,1280.07
2008-02,brut,1280.07
2008-03,brut,1280.07
2008-04,brut,1280.07
2008-05,brut,1308.88
2008-06,brut,1308.88
2008-07,brut,1321.02
2008-08,brut,1321.02
2008-09,brut,1321.02
2008-10,brut,1321.02
2008-11,brut,1321.02
2008-12,brut,1321.02
2009-01,brut,1321.02
2009-02,brut,1321.02
2009-03,brut,1321.02
2009-04,brut,1321.02
2009-05,brut,1321.02
2009-06,brut,1321.02
2009-07,brut,1337.7
2009-08,brut,1337.7
2009-09,brut,1337.7
2009-10,brut,1337.7
2009-11,brut,1337.7
2009-12,brut,1337.7
2010-01,brut,1343.77
2010-02,brut,1343.77
2010-03,brut,1343.77
2010-04,brut,1343.77
2010-05,brut,1343.77
2010-06,brut,1343.77
2010-07,brut,1343.77
2010-08,brut,1343.77
2010-09,brut,1343.77
2010-10,brut,1343.77
2010-11,brut,1343.77
2010-12,brut,1343.77
2011-01,brut,1365
2011-02,brut,1365
2011-03,brut,1365
2011-04,brut,1365
2011-05,brut,1365
2011-06,brut,1365
2011-07,brut,1365
2011-08,brut,1365
2011-09,brut,1365
2011-10,brut,1365
2011-11,brut,1365
2011-12,brut,1393.82
2012-01,brut,1398.37
2012-02,brut,1398.37
2012-03,brut,1398.37
2012-04,brut,1398.37
2012-05,brut,1398.37
2012-06,brut,1398.37
2012-07,brut,1425.67
2012-08,brut,1425.67
2012-09,brut,1425.67
2012-10,brut,1425.67
2012-11,brut,1425.67
2012-12,brut,1425.67
2013-01,brut,1430.22
2013-02,brut,1430.22
2013-03,brut,1430.22
2013-04,brut,1430.22
2013-05,brut,1430.22
2013-06,brut,1430.22
2013-07,brut,1430.22
2013-08,brut,1430.22
2013-09,brut,1430.22
2013-10,brut,1430.22
2013-11,brut,1430.22
2013-12,brut,1430.22
