period,series,value
2009,DEU-femmes,67.8
2010,DEU-femmes,68.8
2011,DEU-femmes,70.3
2012,DEU-femmes,70.7
2013,DEU-femmes,71.5
2014,DEU-femmes,72.2
2015,DEU-femmes,72.7
2016,DEU-femmes,73.6
2017,DEU-femmes,74.3
2018,DEU-femmes,75
2019,DEU-femmes,75.7
2020,DEU-femmes,74.6
2021,DEU-femmes,75.9
2022,DEU-femmes,77
2023,DEU-femmes,77.4
2024,DEU-femmes,77.5
2025,DEU-femmes,77.7
2009,DEU-hommes,78.5
2010,DEU-hommes,79.3
2011,DEU-hommes,80.6
2012,DEU-hommes,81
2013,DEU-hommes,81
2014,DEU-hommes,81.2
2015,DEU-hommes,81.2
2016,DEU-hommes,81.6
2017,DEU-hommes,82.1
2018,DEU-hommes,82.8
2019,DEU-hommes,83.6
2020,DEU-hommes,82
2021,DEU-hommes,83.2
2022,DEU-hommes,84.5
2023,DEU-hommes,84.8
2024,DEU-hommes,84.6
2025,DEU-hommes,84.5
2009,ESP-femmes,56.8
2010,ESP-femmes,56.3
2011,ESP-femmes,56.1
2012,ESP-femmes,54.6
2013,ESP-femmes,53.8
2014,ESP-femmes,54.8
2015,ESP-femmes,56.4
2016,ESP-femmes,58.1
2017,ESP-femmes,59.6
2018,ESP-femmes,61
2019,ESP-femmes,62.1
2020,ESP-femmes,60
2021,ESP-femmes,62.1
2022,ESP-femmes,63.7
2023,ESP-femmes,65.4
2024,ESP-femmes,66.5
2025,ESP-femmes,67.6
2009,ESP-hommes,71
2010,ESP-hommes,69.2
2011,ESP-hommes,67.7
2012,ESP-hommes,64.6
2013,ESP-hommes,63.4
2014,ESP-hommes,65
2015,ESP-hommes,67.6
2016,ESP-hommes,69.6
2017,ESP-hommes,71.5
2018,ESP-hommes,73.1
2019,ESP-hommes,74
2020,ESP-hommes,71.4
2021,ESP-hommes,72.9
2022,ESP-hommes,74.9
2023,ESP-hommes,75.7
2024,ESP-hommes,76.3
2025,ESP-hommes,77.1
2009,EU27-femmes,60.6
2010,EU27-femmes,60.7
2011,EU27-femmes,60.9
2012,EU27-femmes,61
2013,EU27-femmes,61.1
2014,EU27-femmes,62
2015,EU27-femmes,63
2016,EU27-femmes,64.1
2017,EU27-femmes,65.2
2018,EU27-femmes,66.3
2019,EU27-femmes,67.1
2020,EU27-femmes,66.2
2021,EU27-femmes,67.6
2022,EU27-femmes,69.3
2023,EU27-femmes,70.2
2024,EU27-femmes,70.7
2025,EU27-femmes,71.3
2009,EU27-hommes,74
2010,EU27-hommes,73.4
2011,EU27-hommes,73.4
2012,EU27-hommes,72.8
2013,EU27-hommes,72.4
2014,EU27-hommes,73.1
2015,EU27-hommes,74.1
2016,EU27-hommes,75.2
2017,EU27-hommes,76.5
2018,EU27-hommes,77.6
2019,EU27-hommes,78.3
2020,EU27-hommes,77.2
2021,EU27-hommes,78.5
2022,EU27-hommes,79.9
2023,EU27-hommes,80.4
2024,EU27-hommes,80.7
2025,EU27-hommes,80.9
2003,FRA-femmes,64.5
2004,FRA-femmes,64.5
2005,FRA-femmes,64.7
2006,FRA-femmes,64.9
2007,FRA-femmes,65.8
2008,FRA-femmes,66.4
2009,FRA-femmes,65.8
2010,FRA-femmes,65.7
2011,FRA-femmes,65.5
2012,FRA-femmes,65.9
2013,FRA-femmes,66.3
2014,FRA-femmes,66.9
2015,FRA-femmes,67.3
2016,FRA-femmes,67.6
2017,FRA-femmes,68
2018,FRA-femmes,68.7
2019,FRA-femmes,69.3
2020,FRA-femmes,69.2
2021,FRA-femmes,70.1
2022,FRA-femmes,71.1
2023,FRA-femmes,71.6
2024,FRA-femmes,72
2025,FRA-femmes,72.6
2003,FRA-hommes,75.7
2004,FRA-hommes,75.4
2005,FRA-hommes,74.9
2006,FRA-hommes,74.6
2007,FRA-hommes,74.7
2008,FRA-hommes,75.2
2009,FRA-hommes,73.8
2010,FRA-hommes,73.6
2011,FRA-hommes,73.6
2012,FRA-hommes,73.5
2013,FRA-hommes,73.3
2014,FRA-hommes,73.1
2015,FRA-hommes,73.3
2016,FRA-hommes,73.8
2017,FRA-hommes,74.7
2018,FRA-hommes,75.2
2019,FRA-hommes,75.3
2020,FRA-hommes,74.9
2021,FRA-hommes,76.3
2022,FRA-hommes,77
2023,FRA-hommes,77.2
2024,FRA-hommes,78.1
2025,FRA-hommes,78.3
2009,ITA-femmes,49.5
2010,ITA-femmes,49.2
2011,ITA-femmes,49.6
2012,ITA-femmes,50.1
2013,ITA-femmes,49.6
2014,ITA-femmes,50.1
2015,ITA-femmes,50.5
2016,ITA-femmes,51.6
2017,ITA-femmes,52.5
2018,ITA-femmes,53.2
2019,ITA-femmes,53.9
2020,ITA-femmes,52.1
2021,ITA-femmes,53.2
2022,ITA-femmes,55
2023,ITA-femmes,56.5
2024,ITA-femmes,57.4
2025,ITA-femmes,58
2009,ITA-hommes,72.9
2010,ITA-hommes,71.9
2011,ITA-hommes,71.7
2012,ITA-hommes,70.6
2013,ITA-hommes,68.8
2014,ITA-hommes,69
2015,ITA-hommes,70.2
2016,ITA-hommes,71.5
2017,ITA-hommes,72.2
2018,ITA-hommes,72.9
2019,ITA-hommes,73.3
2020,ITA-hommes,71.8
2021,ITA-hommes,72.4
2022,ITA-hommes,74.7
2023,ITA-hommes,76
2024,ITA-hommes,76.8
2025,ITA-hommes,77.1
