period,series,value
1990,DEU,46.527
1991,DEU,51.568
1992,DEU,54.514
1993,DEU,55.429
1994,DEU,56.686
1995,DEU,56.749
1996,DEU,58.669
1997,DEU,59.336
1998,DEU,60.969
1999,DEU,59.243
2000,DEU,59.441
2001,DEU,60.891
2002,DEU,60.126
2003,DEU,60.54
2004,DEU,61.158
2005,DEU,60.74
2006,DEU,60.981
2007,DEU,58.516
2008,DEU,60.769
2009,DEU,61.103
2010,DEU,59.992
2011,DEU,61.801
2012,DEU,61.215
2013,DEU,62.411
2014,DEU,61.779
2015,DEU,62.132
2016,DEU,63.752
2017,DEU,63.959
2018,DEU,63.478
2019,DEU,67.055
2020,DEU,63.676
2021,DEU,63.395
2022,DEU,68.652
2023,DEU,66.831
2024,DEU,66.812
1990,ESP,62.728
1991,ESP,63.286
1992,ESP,66.213
1993,ESP,65.318
1994,ESP,67.598
1995,ESP,71.893
1996,ESP,70.628
1997,ESP,71.517
1998,ESP,74.514
1999,ESP,76.749
2000,ESP,76.797
2001,ESP,74.797
2002,ESP,78.642
2003,ESP,76.738
2004,ESP,77.652
2005,ESP,81.534
2006,ESP,81.304
2007,ESP,79.56
2008,ESP,81.605
2009,ESP,79.549
2010,ESP,77.003
2011,ESP,76.012
2012,ESP,72.798
2013,ESP,69.997
2014,ESP,72.557
2015,ESP,72.741
2016,ESP,71.486
2017,ESP,73.886
2018,ESP,73.613
2019,ESP,75.034
2020,ESP,67.892
2021,ESP,69.38
2022,ESP,74.202
2023,ESP,68.261
2024,ESP,68.871
1990,EU27,50.024
1991,EU27,50.459
1992,EU27,51.742
1993,EU27,50.278
1994,EU27,51.317
1995,EU27,52.152
1996,EU27,52.691
1997,EU27,53.559
1998,EU27,55.381
1999,EU27,55.026
2000,EU27,56.285
2001,EU27,55.769
2002,EU27,56.256
2003,EU27,56.878
2004,EU27,56.854
2005,EU27,57.819
2006,EU27,58.244
2007,EU27,57.219
2008,EU27,58.37
2009,EU27,57.172
2010,EU27,55.745
2011,EU27,56.331
2012,EU27,54.882
2013,EU27,53.897
2014,EU27,54.4
2015,EU27,55.999
2016,EU27,56.12
2017,EU27,57.494
2018,EU27,58.112
2019,EU27,60.49
2020,EU27,57.459
2021,EU27,55.501
2022,EU27,62.513
2023,EU27,58.342
2024,EU27,57.286
1990,FRA,52.196
1991,FRA,52.272
1992,FRA,51.824
1993,FRA,47.734
1994,FRA,47.421
1995,FRA,47.707
1996,FRA,48.231
1997,FRA,48.767
1998,FRA,50.983
1999,FRA,51.302
2000,FRA,51.275
2001,FRA,50.429
2002,FRA,50.817
2003,FRA,50.665
2004,FRA,50.86
2005,FRA,51.698
2006,FRA,51.518
2007,FRA,50.42
2008,FRA,50.748
2009,FRA,50.652
2010,FRA,48.668
2011,FRA,49.012
2012,FRA,48.133
2013,FRA,47.934
2014,FRA,46.215
2015,FRA,45.895
2016,FRA,47.327
2017,FRA,48.703
2018,FRA,46.735
2019,FRA,47.584
2020,FRA,44.424
2021,FRA,44.036
2022,FRA,51.819
2023,FRA,44.773
2024,FRA,41.672
1990,ITA,84.401
1991,ITA,81.909
1992,ITA,84.041
1993,ITA,80.458
1994,ITA,80.774
1995,ITA,82.027
1996,ITA,81.952
1997,ITA,80.728
1998,ITA,81.836
1999,ITA,82.957
2000,ITA,86.523
2001,ITA,83.244
2002,ITA,85.589
2003,ITA,82.995
2004,ITA,84.36
2005,ITA,83.348
2006,ITA,85.867
2007,ITA,83.002
2008,ITA,82.804
2009,ITA,80.777
2010,ITA,82.571
2011,ITA,81.353
2012,ITA,79.109
2013,ITA,76.736
2014,ITA,75.811
2015,ITA,77.03
2016,ITA,77.653
2017,ITA,76.979
2018,ITA,76.338
2019,ITA,77.484
2020,ITA,73.454
2021,ITA,73.416
2022,ITA,79.49
2023,ITA,75.356
2024,ITA,73.884
