period,series,value
1995,DEU,1.3
1996,DEU,1.2
1997,DEU,1.2
1998,DEU,1.1
1999,DEU,1.1
2000,DEU,1.1
2001,DEU,1.1
2002,DEU,1.1
2003,DEU,1.1
2004,DEU,1
2005,DEU,1.1
2006,DEU,1.1
2007,DEU,0.9
2008,DEU,0.9
2009,DEU,1.1
2010,DEU,1
2011,DEU,1
2012,DEU,1.1
2013,DEU,1
2014,DEU,0.9
2015,DEU,0.9
2016,DEU,1
2017,DEU,1
2018,DEU,1.1
2019,DEU,1.1
2020,DEU,1.1
2021,DEU,1.1
2022,DEU,1.2
2023,DEU,1.2
2024,DEU,1.4
1995,ESP,1.4
1996,ESP,1.3
1997,ESP,1.2
1998,ESP,1.2
1999,ESP,1.1
2000,ESP,1.1
2001,ESP,1.1
2002,ESP,1.1
2003,ESP,1
2004,ESP,1.1
2005,ESP,1.1
2006,ESP,1
2007,ESP,1
2008,ESP,1
2009,ESP,1
2010,ESP,1
2011,ESP,1
2012,ESP,0.9
2013,ESP,1
2014,ESP,0.9
2015,ESP,1
2016,ESP,1
2017,ESP,0.9
2018,ESP,0.8
2019,ESP,0.8
2020,ESP,0.9
2021,ESP,0.9
2022,ESP,1.1
2023,ESP,0.9
2024,ESP,0.9
2010,EU27,1.4
2011,EU27,1.3
2012,EU27,1.2
2013,EU27,1.2
2014,EU27,1.1
2015,EU27,1.2
2016,EU27,1.2
2017,EU27,1.2
2018,EU27,1.2
2019,EU27,1.2
2020,EU27,1.3
2021,EU27,1.3
2022,EU27,1.3
2023,EU27,1.3
2024,EU27,1.5
1995,FRA,2.5
1996,FRA,2.5
1997,FRA,2.3
1998,FRA,2
1999,FRA,2
2000,FRA,1.9
2001,FRA,2
2002,FRA,2
2003,FRA,1.8
2004,FRA,1.8
2005,FRA,1.8
2006,FRA,1.8
2007,FRA,1.8
2008,FRA,1.8
2009,FRA,1.9
2010,FRA,2
2011,FRA,1.8
2012,FRA,1.8
2013,FRA,1.8
2014,FRA,1.7
2015,FRA,1.7
2016,FRA,2
2017,FRA,1.8
2018,FRA,1.8
2019,FRA,1.7
2020,FRA,1.9
2021,FRA,1.7
2022,FRA,1.8
2023,FRA,1.8
2024,FRA,1.9
1995,ITA,1.2
1996,ITA,1.2
1997,ITA,1.2
1998,ITA,1.1
1999,ITA,1.1
2000,ITA,1.1
2001,ITA,1.2
2002,ITA,1.1
2003,ITA,1.2
2004,ITA,1.3
2005,ITA,1.3
2006,ITA,1.2
2007,ITA,1.2
2008,ITA,1.3
2009,ITA,1.5
2010,ITA,1.4
2011,ITA,1.4
2012,ITA,1.3
2013,ITA,1.2
2014,ITA,1.2
2015,ITA,1.2
2016,ITA,1.3
2017,ITA,1.3
2018,ITA,1.2
2019,ITA,1.3
2020,ITA,1.4
2021,ITA,1.4
2022,ITA,1.2
2023,ITA,1.2
2024,ITA,1.3
1995,POL,2.4
1996,POL,2.4
1997,POL,2.3
1998,POL,2.2
1999,POL,1.4
2000,POL,1.4
2001,POL,1.6
2002,POL,1.6
2003,POL,1.6
2004,POL,1.6
2005,POL,1.5
2006,POL,1.6
2007,POL,1.9
2008,POL,1.9
2009,POL,1.5
2010,POL,1.6
2011,POL,1.6
2012,POL,1.5
2013,POL,1.7
2014,POL,1.5
2015,POL,1.5
2016,POL,1.6
2017,POL,1.7
2018,POL,1.6
2019,POL,1.6
2020,POL,1.7
2021,POL,1.6
2022,POL,1.7
2023,POL,2.2
2024,POL,2.9
