period,series,value
1989,CHN,2.4471014
1990,CHN,2.4540162
1991,CHN,2.3112435
1992,CHN,2.4737363
1993,CHN,1.988267
1994,CHN,1.740445
1995,CHN,1.6777685
1996,CHN,1.6436425
1997,CHN,1.6222696
1998,CHN,1.6421968
1999,CHN,1.8547847
2000,CHN,1.8171228
2001,CHN,1.960203
2002,CHN,2.0327375
2003,CHN,1.9682847
2004,CHN,1.9103243
2005,CHN,1.846344
2006,CHN,1.8432183
2007,CHN,1.7240736
2008,CHN,1.689198
2009,CHN,1.8614566
2010,CHN,1.7040219
2011,CHN,1.6330858
2012,CHN,1.6731972
2013,CHN,1.6839621
2014,CHN,1.7060157
2015,CHN,1.7422395
2016,CHN,1.7344987
2017,CHN,1.6802504
2018,CHN,1.6436669
2019,CHN,1.6505247
2020,CHN,1.7205417
2021,CHN,1.571637
2022,CHN,1.5918125
2023,CHN,1.6215131
2024,CHN,1.6640184
2025,CHN,1.7247233
1960,DEU,3.7523952
1961,DEU,3.7225776
1962,DEU,4.4751353
1963,DEU,4.8765836
1964,DEU,4.3639855
1965,DEU,4.072117
1966,DEU,3.8911831
1967,DEU,4.0587826
1968,DEU,3.3906038
1969,DEU,3.3828754
1970,DEU,2.9986718
1971,DEU,3.046034
1972,DEU,3.1528308
1973,DEU,3.1449773
1974,DEU,3.246031
1975,DEU,3.2680035
1976,DEU,3.121038
1977,DEU,3.0242157
1978,DEU,3.035315
1979,DEU,2.950448
1980,DEU,2.9476285
1981,DEU,3.0277853
1982,DEU,3.0202363
1983,DEU,3.0129485
1984,DEU,2.912666
1985,DEU,2.8540936
1986,DEU,2.7773998
1987,DEU,2.7594538
1988,DEU,2.6286733
1989,DEU,2.5206966
1990,DEU,2.5067637
1991,DEU,1.9738225
1992,DEU,1.8360797
1993,DEU,1.6772598
1994,DEU,1.5366037
1995,DEU,1.4872725
1996,DEU,1.4573717
1997,DEU,1.4027076
1998,DEU,1.381657
1999,DEU,1.3803478
2000,DEU,1.3442158
2001,DEU,1.3078983
2002,DEU,1.3134403
2003,DEU,1.2986964
2004,DEU,1.2507281
2005,DEU,1.2327558
2006,DEU,1.1789864
2007,DEU,1.1527923
2008,DEU,1.1890537
2009,DEU,1.2852535
2010,DEU,1.2421901
2011,DEU,1.1827247
2012,DEU,1.217738
2013,DEU,1.1624622
2014,DEU,1.127964
2015,DEU,1.1149198
2016,DEU,1.129443
2017,DEU,1.1305821
2018,DEU,1.1471719
2019,DEU,1.239307
2020,DEU,1.3555577
2021,DEU,1.2977482
2022,DEU,1.3360198
2023,DEU,1.5033264
2024,DEU,1.8385782
2025,DEU,2.2685108
1960,FRA,5.428486
1961,FRA,5.2956076
1962,FRA,5.1588717
1963,FRA,4.7400856
1964,FRA,4.5402503
1965,FRA,4.3953195
1966,FRA,4.290103
1967,FRA,4.295246
1968,FRA,4.136846
1969,FRA,3.6797516
1970,FRA,3.4585576
1971,FRA,3.316093
1972,FRA,3.2303047
1973,FRA,3.1437192
1974,FRA,3.0864406
1975,FRA,3.1971455
1976,FRA,3.1561396
1977,FRA,3.2315686
1978,FRA,3.151487
1979,FRA,3.1393952
1980,FRA,3.155205
1981,FRA,3.2461326
1982,FRA,3.223839
1983,FRA,3.2371316
1984,FRA,3.187369
1985,FRA,3.1439326
1986,FRA,3.0857651
1987,FRA,3.1204517
1988,FRA,3.0003407
1989,FRA,2.9178348
1990,FRA,2.8446398
1991,FRA,2.849219
1992,FRA,2.7275681
1993,FRA,2.7216845
1994,FRA,2.6907322
1995,FRA,2.515422
1996,FRA,2.4376633
1997,FRA,2.3939571
1998,FRA,2.246809
1999,FRA,2.1981533
2000,FRA,2.092189
2001,FRA,2.041484
2002,FRA,2.0585728
2003,FRA,2.106471
2004,FRA,2.1141663
2005,FRA,2.028137
2006,FRA,1.9773774
2007,FRA,1.9109577
2008,FRA,1.899345
2009,FRA,2.0987778
2010,FRA,1.9686438
2011,FRA,1.8879462
2012,FRA,1.8715441
2013,FRA,1.8471165
2014,FRA,1.8595291
2015,FRA,1.8697327
2016,FRA,1.8517182
2017,FRA,1.8523088
2018,FRA,1.8460426
2019,FRA,1.8528852
2020,FRA,2.0216746
2021,FRA,1.9802222
2022,FRA,1.9587812
2023,FRA,1.9481759
2024,FRA,2.0115757
2025,FRA,2.0266297
1960,GBR,7.0924864
1961,GBR,6.9213877
1962,GBR,6.944166
1963,GBR,6.800743
1964,GBR,6.5960565
1965,GBR,6.4369783
1966,GBR,6.249037
1967,GBR,6.235704
1968,GBR,5.9411054
1969,GBR,5.502196
1970,GBR,5.1974134
1971,GBR,5.0763307
1972,GBR,5.1710477
1973,GBR,4.9061613
1974,GBR,5.069427
1975,GBR,5.3396034
1976,GBR,5.1755033
1977,GBR,4.923278
1978,GBR,4.733043
1979,GBR,4.6797576
1980,GBR,5.0199037
1981,GBR,4.983763
1982,GBR,5.381326
1983,GBR,5.3968854
1984,GBR,5.5080795
1985,GBR,5.320705
1986,GBR,5.059824
1987,GBR,4.6866684
1988,GBR,4.2142878
1989,GBR,4.040954
1990,GBR,3.983218
1991,GBR,4.116802
1992,GBR,3.864718
1993,GBR,3.5906494
1994,GBR,3.3819337
1995,GBR,2.8383746
1996,GBR,2.7056732
1997,GBR,2.542016
1998,GBR,2.482131
1999,GBR,2.4067643
2000,GBR,2.3537693
2001,GBR,2.3856244
2002,GBR,2.471147
2003,GBR,2.5392988
2004,GBR,2.4795952
2005,GBR,2.4164903
2006,GBR,2.3612688
2007,GBR,2.3655722
2008,GBR,2.4755387
2009,GBR,2.634951
2010,GBR,2.5625038
2011,GBR,2.4880333
2012,GBR,2.4065928
2013,GBR,2.2824404
2014,GBR,2.1698623
2015,GBR,2.036618
2016,GBR,1.9715134
2017,GBR,1.9363234
2018,GBR,1.9273136
2019,GBR,1.9684762
2020,GBR,2.1414232
2021,GBR,2.0391788
2022,GBR,2.011767
2023,GBR,2.1518152
2024,GBR,2.4367192
2025,GBR,2.353264
1960,ITA,2.713826
1961,ITA,2.573869
1962,ITA,2.6338384
1963,ITA,2.7534378
1964,ITA,2.7273557
1965,ITA,2.7475803
1966,ITA,2.98872
1967,ITA,2.767747
1968,ITA,2.6489615
1969,ITA,2.4224007
1970,ITA,2.0582101
1971,ITA,2.238971
1972,ITA,2.391176
1973,ITA,2.1958175
1974,ITA,2.0706267
1975,ITA,1.9752321
1976,ITA,1.8281437
1977,ITA,1.8908086
1978,ITA,1.879755
1979,ITA,1.8739594
1980,ITA,1.7636433
1981,ITA,1.8211124
1982,ITA,2.005373
1983,ITA,2.0165014
1984,ITA,2.0086079
1985,ITA,1.9363688
1986,ITA,1.9771427
1987,ITA,2.0603535
1988,ITA,2.0728576
1989,ITA,2.0264273
1990,ITA,1.8807985
1991,ITA,1.8588526
1992,ITA,1.751977
1993,ITA,1.7867681
1994,ITA,1.7137427
1995,ITA,1.4596372
1996,ITA,1.5814278
1997,ITA,1.6189351
1998,ITA,1.6362128
1999,ITA,1.6752256
2000,ITA,1.7333974
2001,ITA,1.6668744
2002,ITA,1.6939425
2003,ITA,1.6983995
2004,ITA,1.6722894
2005,ITA,1.5951613
2006,ITA,1.5143431
2007,ITA,1.4409182
2008,ITA,1.5300512
2009,ITA,1.5474892
2010,ITA,1.4943131
2011,ITA,1.4682922
2012,ITA,1.4194623
2013,ITA,1.3916775
2014,ITA,1.2507772
2015,ITA,1.1790273
2016,ITA,1.2965312
2017,ITA,1.2847285
2018,ITA,1.3203641
2019,ITA,1.2479804
2020,ITA,1.6623954
2021,ITA,1.6080586
2022,ITA,1.6019037
2023,ITA,1.5339528
2024,ITA,1.5897659
2025,ITA,1.8887272
1980,POL,2.6523297
1981,POL,2.9131856
1982,POL,3.2455823
1983,POL,2.9029462
1984,POL,3.0550373
1985,POL,3.0157971
1986,POL,2.9414036
1987,POL,2.762692
1988,POL,2.592055
1989,POL,1.8171215
1990,POL,2.6124856
1991,POL,2.25165
1992,POL,2.2309995
1993,POL,2.4691873
1994,POL,2.2732322
1995,POL,1.9037995
1996,POL,1.9173924
1997,POL,1.9964947
1998,POL,1.9916575
1999,POL,1.8901422
2000,POL,1.8190453
2001,POL,1.8927041
2002,POL,1.8909742
2003,POL,1.8989036
2004,POL,1.8646935
2005,POL,1.9206518
2006,POL,1.9136928
2007,POL,1.9987978
2008,POL,1.7455571
2009,POL,1.7926875
2010,POL,1.8385183
2011,POL,1.7913148
2012,POL,1.8040465
2013,POL,1.7900583
2014,POL,1.9082274
2015,POL,2.1274238
2016,POL,1.9358937
2017,POL,1.8882873
2018,POL,2.0247283
2019,POL,1.9533832
2020,POL,2.2630537
2021,POL,2.2171633
2022,POL,2.204589
2023,POL,3.2567225
2024,POL,3.754716
2025,POL,4.4969378
1992,RUS,4.427032
1993,RUS,4.1813245
1994,RUS,4.5237007
1995,RUS,3.78443
1996,RUS,3.756559
1997,RUS,4.0398097
1998,RUS,2.732649
1999,RUS,3.073288
2000,RUS,3.30703
2001,RUS,3.5463192
2002,RUS,3.7562773
2003,RUS,3.670838
2004,RUS,3.3003535
2005,RUS,3.3312373
2006,RUS,3.2463572
2007,RUS,3.118542
2008,RUS,3.149486
2009,RUS,3.9240632
2010,RUS,3.5850856
2011,RUS,3.433044
2012,RUS,3.6892402
2013,RUS,3.8540428
2014,RUS,4.112993
2015,RUS,4.871515
2016,RUS,5.4251475
2017,RUS,4.2489963
2018,RUS,3.7198224
2019,RUS,3.8474202
2020,RUS,4.144717
2021,RUS,3.6036875
2022,RUS,4.555855
2023,RUS,5.271703
2024,RUS,6.874153
2025,RUS,7.5014844
1960,USA,8.993124
1961,USA,9.156032
1962,USA,9.331673
1963,USA,8.831891
1964,USA,8.051281
1965,USA,7.5872474
1966,USA,8.4353
1967,USA,9.417796
1968,USA,9.268455
1969,USA,8.633265
1970,USA,8.032743
1971,USA,6.9430695
1972,USA,6.5197573
1973,USA,5.8938704
1974,USA,5.9541116
1975,USA,5.6226788
1976,USA,5.1910715
1977,USA,5.155617
1978,USA,4.943087
1979,USA,4.9519916
1980,USA,5.1535378
1981,USA,5.646541
1982,USA,6.8140574
1983,USA,6.321144
1984,USA,6.2364163
1985,USA,6.453219
1986,USA,6.6265225
1987,USA,6.4202743
1988,USA,6.0712776
1989,USA,5.8712063
1990,USA,5.6051755
1991,USA,4.8834295
1992,USA,4.9704666
1993,USA,4.6043506
1994,USA,4.215265
1995,USA,3.8602457
1996,USA,3.5549824
1997,USA,3.4055624
1998,USA,3.2015584
1999,USA,3.0856767
2000,USA,3.1122422
2001,USA,3.1238098
2002,USA,3.447618
2003,USA,3.827161
2004,USA,4.0163126
2005,USA,4.089232
2006,USA,4.0413423
2007,USA,4.0733504
2008,USA,4.4465957
2009,USA,4.875768
2010,USA,4.904023
2011,USA,4.822442
2012,USA,4.46171
2013,USA,4.0237055
2014,USA,3.6789184
2015,USA,3.4644928
2016,USA,3.4026022
2017,USA,3.2977235
2018,USA,3.3040006
2019,USA,3.409214
2020,USA,3.6415763
2021,USA,3.3981383
2022,USA,3.3034158
2023,USA,3.2936525
2024,USA,3.4299288
2025,USA,3.1173081
