period,series,value
1990,CHN,21.6
1991,CHN,23
1992,CHN,28
1993,CHN,25.7
1994,CHN,24.8
1995,CHN,25.7
1996,CHN,27.2
1997,CHN,29.1
1998,CHN,31.7
1999,CHN,38.7
2000,CHN,41.9
2001,CHN,49.6
2002,CHN,57
2003,CHN,61.7
2004,CHN,68
2005,CHN,74.6
2006,CHN,85.9
2007,CHN,94.4
2008,CHN,103.3
2009,CHN,125.4
2010,CHN,131.5
2011,CHN,141.2
2012,CHN,155.7
2013,CHN,168.4
2014,CHN,181.8
2015,CHN,196.1
2016,CHN,207.4
2017,CHN,220.1
2018,CHN,233
2019,CHN,244.4
2020,CHN,255.9
2021,CHN,262.6
2022,CHN,274.2
2023,CHN,292.2
2024,CHN,311.9
2025,CHN,335
1990,DEU,70.6
1991,DEU,65.4
1992,DEU,62.2
1993,DEU,55.9
1994,DEU,52.1
1995,DEU,51.3
1996,DEU,50.3
1997,DEU,48.4
1998,DEU,48.6
1999,DEU,49.5
2000,DEU,48.8
2001,DEU,48
2002,DEU,48.1
2003,DEU,47.4
2004,DEU,46
2005,DEU,45.3
2006,DEU,44.5
2007,DEU,44.5
2008,DEU,45.6
2009,DEU,47.3
2010,DEU,47.4
2011,DEU,46.5
2012,DEU,47.8
2013,DEU,46
2014,DEU,46.1
2015,DEU,46.9
2016,DEU,48.9
2017,DEU,50.3
2018,DEU,51.7
2019,DEU,56.7
2020,DEU,60.4
2021,DEU,59.9
2022,DEU,62.5
2023,DEU,70.2
2024,DEU,86.1
2025,DEU,106.7
1990,FRA,57.1
1991,FRA,57.5
1992,FRA,55.7
1993,FRA,55.1
1994,FRA,55.3
1995,FRA,52.6
1996,FRA,51.4
1997,FRA,51.5
1998,FRA,50.2
1999,FRA,50.6
2000,FRA,50
2001,FRA,49.9
2002,FRA,50.9
2003,FRA,52.4
2004,FRA,53.9
2005,FRA,52.8
2006,FRA,53
2007,FRA,53
2008,FRA,52.6
2009,FRA,56.5
2010,FRA,53.8
2011,FRA,52.2
2012,FRA,51.4
2013,FRA,51.1
2014,FRA,52
2015,FRA,53.4
2016,FRA,53.5
2017,FRA,54.4
2018,FRA,54.7
2019,FRA,56.1
2020,FRA,58
2021,FRA,60.5
2022,FRA,60.2
2023,FRA,60.8
2024,FRA,63.6
2025,FRA,64.5
1990,GBR,75.2
1991,GBR,76.1
1992,GBR,71
1993,GBR,67.8
1994,GBR,65.9
1995,GBR,61.8
1996,GBR,61.2
1997,GBR,59.1
1998,GBR,59.3
1999,GBR,58.9
2000,GBR,60.1
2001,GBR,62.5
2002,GBR,66.2
2003,GBR,71
2004,GBR,71.8
2005,GBR,72.5
2006,GBR,72.8
2007,GBR,74.8
2008,GBR,78.1
2009,GBR,79.3
2010,GBR,78
2011,GBR,75.4
2012,GBR,73.3
2013,GBR,70.6
2014,GBR,69.3
2015,GBR,66.7
2016,GBR,66.4
2017,GBR,66.6
2018,GBR,67.1
2019,GBR,69.8
2020,GBR,71
2021,GBR,72.1
2022,GBR,73.2
2023,GBR,78.2
2024,GBR,89.8
2025,GBR,88
1990,ITA,32.2
1991,ITA,32.7
1992,ITA,31.7
1993,ITA,31.9
1994,ITA,31.1
1995,ITA,28.4
1996,ITA,31.3
1997,ITA,32.8
1998,ITA,33.9
1999,ITA,35.2
2000,ITA,37.6
2001,ITA,37
2002,ITA,38
2003,ITA,38.3
2004,ITA,38.4
2005,ITA,37
2006,ITA,35.8
2007,ITA,34.7
2008,ITA,36.2
2009,ITA,35
2010,ITA,34
2011,ITA,33.3
2012,ITA,30.8
2013,ITA,29.6
2014,ITA,26.8
2015,ITA,25.6
2016,ITA,28.9
2017,ITA,29
2018,ITA,30
2019,ITA,28.6
2020,ITA,35.3
2021,ITA,37
2022,ITA,37
2023,ITA,35.9
2024,ITA,37.8
2025,ITA,45.4
1990,POL,8.6
1991,POL,6.1
1992,POL,5.9
1993,POL,6.4
1994,POL,6.4
1995,POL,6.5
1996,POL,6.8
1997,POL,7.5
1998,POL,7.7
1999,POL,7.6
2000,POL,7.4
2001,POL,7.6
2002,POL,7.8
2003,POL,8.1
