period,series,value
1990,DEU,545
1991,DEU,457
1992,DEU,442
1993,DEU,398
1994,DEU,362
1995,DEU,365
1996,DEU,383.5
1997,DEU,347.1
1998,DEU,333.5
1999,DEU,331
2000,DEU,221.1
2001,DEU,308.4
2002,DEU,296
2003,DEU,284.5
2004,DEU,284
2005,DEU,285
2006,DEU,246
2007,DEU,244
2008,DEU,244
2009,DEU,251.5
2010,DEU,251.5
2011,DEU,196
2012,DEU,186.5
2013,DEU,181.6
2014,DEU,178.6
2015,DEU,177.3
2016,DEU,179.1
2017,DEU,180
2018,DEU,181.4
2019,DEU,184
2020,DEU,183
1990,FRA,550
1991,FRA,542
1992,FRA,522
1993,FRA,506
1994,FRA,506
1995,FRA,502.4
1996,FRA,491.3
1997,FRA,473.1
1998,FRA,452.2
1999,FRA,411.6
2000,FRA,389.4
2001,FRA,374.4
2002,FRA,361.8
2003,FRA,360.4
2004,FRA,358
2005,FRA,359
2006,FRA,354
2007,FRA,353
2008,FRA,353
2009,FRA,342
2010,FRA,342
2011,FRA,332.3
2012,FRA,325.6
2013,FRA,318.4
2014,FRA,312.4
2015,FRA,306.4
2016,FRA,306.1
2017,FRA,307
2018,FRA,304.8
2019,FRA,304
2020,FRA,304
1990,GBR,308
1991,GBR,301
1992,GBR,293
1993,GBR,271
1994,GBR,257
1995,GBR,233
1996,GBR,221
1997,GBR,218
1998,GBR,218
1999,GBR,218
2000,GBR,212.5
2001,GBR,211.4
2002,GBR,210.4
2003,GBR,212.6
2004,GBR,205
2005,GBR,217
2006,GBR,181
2007,GBR,160
2008,GBR,160
2009,GBR,178.5
2010,GBR,174
2011,GBR,165.7
2012,GBR,169.2
2013,GBR,159.2
2014,GBR,154.7
2015,GBR,152.4
2016,GBR,150.3
2017,GBR,148
2018,GBR,148.5
2019,GBR,149
2020,GBR,153
1990,ITA,493
1991,ITA,473
1992,ITA,471
1993,ITA,450
1994,ITA,436
1995,ITA,585
1996,ITA,580.9
1997,ITA,580.9
1998,ITA,554.1
1999,ITA,521.2
2000,ITA,503.1
2001,ITA,482.6
2002,ITA,471.1
2003,ITA,454.3
2004,ITA,445
2005,ITA,445
2006,ITA,440
2007,ITA,436
2008,ITA,436
2009,ITA,326.9
2010,ITA,359.4
2011,ITA,367.6
2012,ITA,359.5
2013,ITA,359.5
2014,ITA,356.9
2015,ITA,356.9
2016,ITA,356.9
2017,ITA,347
2018,ITA,341.5
2019,ITA,342
2020,ITA,338
1990,POL,313
1991,POL,305
1992,POL,270
1993,POL,260
1994,POL,255
1995,POL,302
1996,POL,272.9
1997,POL,265.2
1998,POL,264.1
1999,POL,264.1
2000,POL,238.8
2001,POL,228
2002,POL,184.4
2003,POL,184.4
2004,POL,162
2005,POL,162
2006,POL,148
2007,POL,142
2008,POL,143
2009,POL,121.4
2010,POL,121.4
2011,POL,118.1
2012,POL,172.7
2013,POL,172.7
2014,POL,172.7
2015,POL,172.7
2016,POL,178.4
2017,POL,191
2018,POL,196.7
2019,POL,189
2020,POL,189
