period,series,value
2000,DEU-femmes,60.3
2001,DEU-femmes,60.2
2002,DEU-femmes,60.2
2003,DEU-femmes,60.3
2004,DEU-femmes,60.6
2005,DEU-femmes,60.7
2006,DEU-femmes,60.8
2007,DEU-femmes,60.8
2008,DEU-femmes,60.3
2009,DEU-femmes,60.5
2010,DEU-femmes,61.2
2011,DEU-femmes,61.5
2012,DEU-femmes,61.7
2013,DEU-femmes,62.2
2014,DEU-femmes,62.7
2015,DEU-femmes,62.7
2016,DEU-femmes,63.2
2017,DEU-femmes,63.4
2018,DEU-femmes,63.6
2000,DEU-hommes,61
2001,DEU-hommes,61.2
2002,DEU-hommes,61
2003,DEU-hommes,61.1
2004,DEU-hommes,61.3
2005,DEU-hommes,61.8
2006,DEU-hommes,61.8
2007,DEU-hommes,62
2008,DEU-hommes,61.1
2009,DEU-hommes,61.8
2010,DEU-hommes,62
2011,DEU-hommes,62
2012,DEU-hommes,62.1
2013,DEU-hommes,62.4
2014,DEU-hommes,62.7
2015,DEU-hommes,62.8
2016,DEU-hommes,63.3
2017,DEU-hommes,63.6
2018,DEU-hommes,64
2000,ESP-femmes,61.8
2001,ESP-femmes,61.9
2002,ESP-femmes,61.2
2003,ESP-femmes,62.2
2004,ESP-femmes,63
2005,ESP-femmes,63.1
2006,ESP-femmes,63
2007,ESP-femmes,62.9
2008,ESP-femmes,63
2009,ESP-femmes,63.2
2010,ESP-femmes,63
2011,ESP-femmes,63.5
2012,ESP-femmes,63.2
2013,ESP-femmes,63.5
2014,ESP-femmes,63.1
2015,ESP-femmes,62.7
2016,ESP-femmes,62.6
2017,ESP-femmes,61.6
2018,ESP-femmes,61.3
2000,ESP-hommes,61.6
2001,ESP-hommes,61.7
2002,ESP-hommes,61.3
2003,ESP-hommes,61.3
2004,ESP-hommes,61.1
2005,ESP-hommes,60.9
2006,ESP-hommes,61.2
2007,ESP-hommes,61.4
2008,ESP-hommes,61.6
2009,ESP-hommes,61.7
2010,ESP-hommes,62.3
2011,ESP-hommes,62.3
2012,ESP-hommes,62.3
2013,ESP-hommes,62.2
2014,ESP-hommes,62.2
2015,ESP-hommes,62.2
2016,ESP-hommes,62.2
2017,ESP-hommes,62.2
2018,ESP-hommes,62.1
2000,FRA-femmes,58.6
2001,FRA-femmes,58.4
2002,FRA-femmes,58.4
2003,FRA-femmes,58.7
2004,FRA-femmes,59
2005,FRA-femmes,59.3
2006,FRA-femmes,59.3
2007,FRA-femmes,59.5
2008,FRA-femmes,59.4
2009,FRA-femmes,59.6
2010,FRA-femmes,59.5
2011,FRA-femmes,59.4
2012,FRA-femmes,59.9
2013,FRA-femmes,59.8
2014,FRA-femmes,59.9
2015,FRA-femmes,59.9
2016,FRA-femmes,60.3
2017,FRA-femmes,60.6
2018,FRA-femmes,60.8
2000,FRA-hommes,59
2001,FRA-hommes,59
2002,FRA-hommes,58.8
2003,FRA-hommes,58.9
2004,FRA-hommes,58.9
2005,FRA-hommes,58.8
2006,FRA-hommes,58.7
2007,FRA-hommes,58.9
2008,FRA-hommes,59.1
2009,FRA-hommes,59
2010,FRA-hommes,59.3
2011,FRA-hommes,59
2012,FRA-hommes,59.7
2013,FRA-hommes,59.6
2014,FRA-hommes,59.4
2015,FRA-hommes,59.5
2016,FRA-hommes,60
2017,FRA-hommes,60.5
2018,FRA-hommes,60.8
2000,GBR-femmes,60.9
2001,GBR-femmes,60.8
2002,GBR-femmes,61.3
2003,GBR-femmes,61.6
2004,GBR-femmes,61.2
2005,GBR-femmes,61.5
2006,GBR-femmes,61.6
2007,GBR-femmes,61.8
2008,GBR-femmes,61.9
2009,GBR-femmes,62.3
2010,GBR-femmes,61.9
2011,GBR-femmes,62.2
2012,GBR-femmes,62.3
2013,GBR-femmes,62.1
2014,GBR-femmes,62.3
2015,GBR-femmes,63
2016,GBR-femmes,63
2017,GBR-femmes,63.3
2018,GBR-femmes,63.6
2000,GBR-hommes,62.5
2001,GBR-hommes,62.6
2002,GBR-hommes,63.1
2003,GBR-hommes,63.6
2004,GBR-hommes,63
2005,GBR-hommes,63.1
2006,GBR-hommes,63.7
2007,GBR-hommes,63.4
2008,GBR-hommes,63.7
2009,GBR-hommes,64.4
2010,GBR-hommes,64.1
2011,GBR-hommes,63.6
2012,GBR-hommes,63.7
2013,GBR-hommes,64.3
2014,GBR-hommes,63.7
2015,GBR-hommes,64.1
2016,GBR-hommes,64.6
2017,GBR-hommes,64.5
2018,GBR-hommes,64.7
2000,ITA-femmes,58.4
2001,ITA-femmes,59
2002,ITA-femmes,60
2003,ITA-femmes,59.2
2004,ITA-femmes,59.4
2005,ITA-femmes,58.9
2006,ITA-femmes,58.7
2007,ITA-femmes,58.7
2008,ITA-femmes,58.6
2009,ITA-femmes,58.5
2010,ITA-femmes,59
2011,ITA-femmes,59.2
2012,ITA-femmes,60.6
2013,ITA-femmes,60.3
2014,ITA-femmes,61.1
2015,ITA-femmes,60.6
2016,ITA-femmes,61.3
2017,ITA-femmes,61
2018,ITA-femmes,61.5
2000,ITA-hommes,60.4
2001,ITA-hommes,60.3
2002,ITA-hommes,61.6
2003,ITA-hommes,61.9
2004,ITA-hommes,61.4
2005,ITA-hommes,61.6
2006,ITA-hommes,62
2007,ITA-hommes,61.9
