period,series,value
2008,DEU,26
2009,DEU,33.8
2010,DEU,50.5
2011,DEU,57
2012,DEU,80.2
2013,DEU,135.9
2014,DEU,213.7
2015,DEU,541
2016,DEU,877.2
2017,DEU,239.9
2018,DEU,195.3
2019,DEU,171.5
2020,DEU,123.4
2021,DEU,178.2
2022,DEU,261.8
2023,DEU,395.2
2024,DEU,275.1
2025,DEU,135.6
2010,ESP,5.5
2011,ESP,6.4
2012,ESP,5
2013,ESP,9.2
2014,ESP,11.8
2015,ESP,31.5
2016,ESP,33.5
2017,ESP,70.9
2018,ESP,112.7
2019,ESP,244.5
2020,ESP,182.4
2021,ESP,130.8
2022,ESP,243.1
2023,ESP,331.9
2024,ESP,338.6
2025,ESP,285.8
2014,EU27,120
2015,EU27,274.5
2016,EU27,262.7
2017,EU27,139.5
2018,EU27,126.8
2019,EU27,140.9
2020,EU27,93.1
2021,EU27,120.3
2022,EU27,195.6
2023,EU27,234
2024,EU27,202.8
2025,EU27,148.9
2009,FRA,65.2
2010,FRA,74.1
2011,FRA,80.1
2012,FRA,82.9
2013,FRA,91.9
2014,FRA,88.7
2015,FRA,106
2016,FRA,115.1
2017,FRA,137.4
2018,FRA,188.5
2019,FRA,205.2
2020,FRA,120.9
2021,FRA,152.9
2022,FRA,201.6
2023,FRA,211.7
2024,FRA,188.9
2025,FRA,168.8
2008,ITA,50.9
2009,ITA,29.2
2010,ITA,16.8
2011,ITA,67.2
2012,ITA,28.6
2013,ITA,42.6
2014,ITA,105.5
2015,ITA,137.5
2016,ITA,201.6
2017,ITA,210.9
2018,ITA,89.2
2019,ITA,58.6
2020,ITA,35.9
2021,ITA,76.4
2022,ITA,130.8
2023,ITA,221.4
2024,ITA,256.3
2025,ITA,218.3
