period,series,value
2008,DEU,21365
2009,DEU,27650
2010,DEU,41330
2011,DEU,45740
2012,DEU,64540
2013,DEU,109580
2014,DEU,173070
2015,DEU,441900
2016,DEU,722365
2017,DEU,198310
2018,DEU,161930
2019,DEU,142510
2020,DEU,102580
2021,DEU,148235
2022,DEU,217775
2023,DEU,329120
2024,DEU,229750
2025,DEU,113235
2010,ESP,2550
2011,ESP,2975
2012,ESP,2355
2013,ESP,4290
2014,ESP,5460
2015,ESP,14610
2016,ESP,15570
2017,ESP,33040
2018,ESP,52745
2019,ESP,115190
2020,ESP,86385
2021,ESP,62065
2022,ESP,116150
2023,ESP,160470
2024,ESP,165465
2025,ESP,141055
2014,EU27,530970
2015,EU27,1217185
2016,EU27,1167075
2017,EU27,620465
2018,EU27,564905
2019,EU27,629230
2020,EU27,415475
2021,EU27,536270
2022,EU27,874035
2023,EU27,1049905
2024,EU27,912835
2025,EU27,672350
2009,FRA,42070
2010,FRA,48030
2011,FRA,52140
2012,FRA,54280
2013,FRA,60475
2014,FRA,58845
2015,FRA,70570
2016,FRA,76790
2017,FRA,91965
2018,FRA,126580
2019,FRA,138290
2020,FRA,81735
2021,FRA,103810
2022,FRA,137605
2023,FRA,145160
2024,FRA,129910
2025,FRA,116475
2008,ITA,30145
2009,ITA,17395
2010,ITA,10050
2011,ITA,40335
2012,ITA,17185
2013,ITA,25720
2014,ITA,63655
2015,ITA,82790
2016,ITA,121185
2017,ITA,126560
2018,ITA,53440
2019,ITA,35005
2020,ITA,21340
2021,ITA,45200
2022,ITA,77200
2023,ITA,130565
2024,ITA,151120
2025,ITA,128655
