period,series,value
2002,FRA,11.7761
2003,FRA,11.8774
2004,FRA,11.9571
2005,FRA,12.1331
2006,FRA,12.1535
2007,FRA,12.3052
2008,FRA,12.4264
2009,FRA,13.3176
2010,FRA,13.3576
2011,FRA,13.4865
2012,FRA,13.7936
2013,FRA,13.9591
2014,FRA,14.0719
2015,FRA,13.996
2016,FRA,13.991
2017,FRA,13.8792
2018,FRA,13.8395
2019,FRA,13.6622
2020,FRA,14.7013
2021,FRA,13.786
2022,FRA,13.6312
2023,FRA,13.5328
2024,FRA,13.864
2025,FRA,14.1164
2025,FRA-projection,14.1164
2026,FRA-projection,14.1262
2027,FRA-projection,14.2247
2028,FRA-projection,14.2294
2029,FRA-projection,14.1018
2030,FRA-projection,14.0744
2031,FRA-projection,14.0327
2032,FRA-projection,13.9997
2033,FRA-projection,13.9583
2034,FRA-projection,13.9741
2035,FRA-projection,13.9888
2036,FRA-projection,14.0024
2037,FRA-projection,14.0278
2038,FRA-projection,14.0372
2039,FRA-projection,14.0427
2040,FRA-projection,14.0439
2041,FRA-projection,14.0548
2042,FRA-projection,14.0693
2043,FRA-projection,14.0976
2044,FRA-projection,14.1327
2045,FRA-projection,14.1647
2046,FRA-projection,14.1967
2047,FRA-projection,14.2242
2048,FRA-projection,14.2664
2049,FRA-projection,14.3154
2050,FRA-projection,14.3652
2051,FRA-projection,14.4147
2052,FRA-projection,14.457
2053,FRA-projection,14.5054
2054,FRA-projection,14.5514
2055,FRA-projection,14.5846
2056,FRA-projection,14.6209
2057,FRA-projection,14.6508
2058,FRA-projection,14.6808
2059,FRA-projection,14.7042
2060,FRA-projection,14.7366
2061,FRA-projection,14.7787
2062,FRA-projection,14.8232
2063,FRA-projection,14.8782
2064,FRA-projection,14.9537
2065,FRA-projection,15.0374
2066,FRA-projection,15.1089
2067,FRA-projection,15.1682
2068,FRA-projection,15.2235
2069,FRA-projection,15.2678
2070,FRA-projection,15.3
