period,series,value
1950,CHN,43.8289
1951,CHN,44.5567
1952,CHN,45.3416
1953,CHN,45.9092
1954,CHN,46.763
1955,CHN,47.2366
1956,CHN,47.8067
1957,CHN,48.3776
1958,CHN,48.8336
1959,CHN,40.1699
1960,CHN,33.419
1961,CHN,40.1583
1962,CHN,50.9594
1963,CHN,51.6698
1964,CHN,52.3425
1965,CHN,53.0009
1966,CHN,53.6624
1967,CHN,54.4005
1968,CHN,55.1908
1969,CHN,55.9878
1970,CHN,56.8241
1971,CHN,57.7312
1972,CHN,58.5789
1973,CHN,59.4961
1974,CHN,60.2408
1975,CHN,60.952
1976,CHN,61.225
1977,CHN,62.458
1978,CHN,63.1016
1979,CHN,63.7043
1980,CHN,64.2433
1981,CHN,64.7779
1982,CHN,65.2494
1983,CHN,65.7285
1984,CHN,66.1478
1985,CHN,66.5319
1986,CHN,66.8873
1987,CHN,67.263
1988,CHN,67.6071
1989,CHN,67.9303
1990,CHN,68.1547
1991,CHN,68.6099
1992,CHN,69.0587
1993,CHN,69.4924
1994,CHN,69.8355
1995,CHN,70.3631
1996,CHN,70.8225
1997,CHN,71.2271
1998,CHN,71.6014
1999,CHN,71.9519
2000,CHN,72.2885
2001,CHN,72.6755
2002,CHN,73.0339
2003,CHN,73.3853
2004,CHN,73.7274
2005,CHN,74.085
2006,CHN,74.4037
2007,CHN,74.7886
2008,CHN,74.8333
2009,CHN,75.3174
2010,CHN,75.6679
2011,CHN,75.8891
2012,CHN,76.2
2013,CHN,76.4521
2014,CHN,76.7143
2015,CHN,76.9755
2016,CHN,77.214
2017,CHN,77.2353
2018,CHN,77.709
2019,CHN,77.9396
2020,CHN,78.0191
2021,CHN,78.1166
2022,CHN,78.2021
2023,CHN,77.9529
1950,DEU,66.8112
1951,DEU,67.1418
1952,DEU,67.4591
1953,DEU,67.7647
1954,DEU,68.0585
1955,DEU,68.3412
1956,DEU,68.5853
1957,DEU,68.4992
1958,DEU,69.2328
1959,DEU,69.3345
1960,DEU,69.2509
1961,DEU,69.837
1962,DEU,69.9991
1963,DEU,70.1167
1964,DEU,70.6493
1965,DEU,70.6251
1966,DEU,70.7413
1967,DEU,70.9581
1968,DEU,70.6078
1969,DEU,70.4581
1970,DEU,70.6782
1971,DEU,70.9119
1972,DEU,71.1482
1973,DEU,71.362
1974,DEU,71.6776
1975,DEU,71.5162
1976,DEU,71.9791
1977,DEU,72.5901
1978,DEU,72.5703
1979,DEU,72.9181
1980,DEU,73.0883
1981,DEU,73.331
1982,DEU,73.6277
1983,DEU,73.9176
1984,DEU,74.3796
1985,DEU,74.4919
1986,DEU,74.6953
1987,DEU,75.1073
1988,DEU,75.2806
1989,DEU,75.467
1990,DEU,75.3414
1991,DEU,75.5597
1992,DEU,76.0035
1993,DEU,76.0803
1994,DEU,76.3799
1995,DEU,76.5515
1996,DEU,76.7833
1997,DEU,77.2182
1998,DEU,77.5759
1999,DEU,77.7977
2000,DEU,78.0563
2001,DEU,78.4023
2002,DEU,78.4749
2003,DEU,78.5361
2004,DEU,79.1186
2005,DEU,79.254
2006,DEU,79.5862
2007,DEU,79.7306
2008,DEU,79.8161
2009,DEU,79.9151
2010,DEU,80.0814
2011,DEU,80.3549
2012,DEU,80.5017
2013,DEU,80.454
2014,DEU,80.9056
2015,DEU,80.5658
2016,DEU,80.8371
2017,DEU,80.9371
2018,DEU,80.8747
2019,DEU,81.1893
2020,DEU,81.0036
2021,DEU,81.1059
2022,DEU,80.5796
2023,DEU,81.3777
1950,ESP,61.7542
1951,ESP,61.4821
1952,ESP,64.8283
1953,ESP,65.7308
1954,ESP,66.9111
1955,ESP,66.6811
1956,ESP,66.7509
1957,ESP,66.5702
1958,ESP,68.7834
1959,ESP,68.6908
1960,ESP,69.2066
1961,ESP,69.5682
1962,ESP,69.6292
1963,ESP,69.7665
1964,ESP,70.4937
1965,ESP,70.9
1966,ESP,71.1603
1967,ESP,71.3491
1968,ESP,71.6743
1969,ESP,71.1386
1970,ESP,72.1491
1971,ESP,71.7353
1972,ESP,72.9533
1973,ESP,72.7324
1974,ESP,73.0928
1975,ESP,73.4918
1976,ESP,73.8069
1977,ESP,74.3066
1978,ESP,74.496
1979,ESP,74.9895
1980,ESP,75.5259
1981,ESP,75.7061
1982,ESP,76.3188
1983,ESP,76.0966
1984,ESP,76.4822
1985,ESP,76.4105
1986,ESP,76.7034
1987,ESP,76.9564
1988,ESP,76.9491
1989,ESP,76.998
1990,ESP,77.0004
1991,ESP,77.1285
1992,ESP,77.5888
1993,ESP,77.728
1994,ESP,78.1141
1995,ESP,78.2002
1996,ESP,78.3389
