period,series,value
1990,DEU-femmes,19
1991,DEU-femmes,17.9
1992,DEU-femmes,18.3
1993,DEU-femmes,18.3
1994,DEU-femmes,18.6
1995,DEU-femmes,18.7
1996,DEU-femmes,18.8
1997,DEU-femmes,19.1
1998,DEU-femmes,19.3
1999,DEU-femmes,19.4
2000,DEU-femmes,19.6
2001,DEU-femmes,19.8
2002,DEU-femmes,19.6
2003,DEU-femmes,19.5
2004,DEU-femmes,20.1
2005,DEU-femmes,20.1
2006,DEU-femmes,20.5
2007,DEU-femmes,20.7
2008,DEU-femmes,20.7
2009,DEU-femmes,20.8
2010,DEU-femmes,20.9
2011,DEU-femmes,21.1
2012,DEU-femmes,21
2013,DEU-femmes,20.9
2014,DEU-femmes,21.1
2015,DEU-femmes,20.8
2016,DEU-femmes,21.1
2017,DEU-femmes,21.1
2018,DEU-femmes,21
2019,DEU-femmes,21.3
2020,DEU-femmes,21.1
2021,DEU-femmes,20.9
2022,DEU-femmes,20.7
2023,DEU-femmes,20.9
2024,DEU-femmes,21.2
1990,DEU-hommes,15.1
1991,DEU-hommes,14.2
1992,DEU-hommes,14.5
1993,DEU-hommes,14.5
1994,DEU-hommes,14.7
1995,DEU-hommes,14.8
1996,DEU-hommes,14.9
1997,DEU-hommes,15.2
1998,DEU-hommes,15.4
1999,DEU-hommes,15.6
2000,DEU-hommes,15.8
2001,DEU-hommes,16.1
2002,DEU-hommes,16.2
2003,DEU-hommes,16.2
2004,DEU-hommes,16.7
2005,DEU-hommes,16.9
2006,DEU-hommes,17.2
2007,DEU-hommes,17.4
2008,DEU-hommes,17.5
2009,DEU-hommes,17.6
2010,DEU-hommes,17.8
2011,DEU-hommes,17.7
2012,DEU-hommes,17.8
2013,DEU-hommes,17.8
2014,DEU-hommes,17.9
2015,DEU-hommes,17.7
2016,DEU-hommes,17.9
2017,DEU-hommes,17.9
2018,DEU-hommes,17.9
2019,DEU-hommes,18.1
2020,DEU-hommes,17.8
2021,DEU-hommes,17.6
2022,DEU-hommes,17.4
2023,DEU-hommes,17.7
2024,DEU-hommes,18
1990,ESP-femmes,19.2
1991,ESP-femmes,19.4
1992,ESP-femmes,19.8
1993,ESP-femmes,19.8
1994,ESP-femmes,20.1
1995,ESP-femmes,20.1
1996,ESP-femmes,20.2
1997,ESP-femmes,20.5
1998,ESP-femmes,20.3
1999,ESP-femmes,20.3
2000,ESP-femmes,20.7
2001,ESP-femmes,21
2002,ESP-femmes,21
2003,ESP-femmes,20.8
2004,ESP-femmes,21.4
2005,ESP-femmes,21.2
2006,ESP-femmes,21.9
2007,ESP-femmes,21.9
2008,ESP-femmes,22.1
2009,ESP-femmes,22.5
2010,ESP-femmes,22.9
2011,ESP-femmes,23
2012,ESP-femmes,22.8
2013,ESP-femmes,23.4
2014,ESP-femmes,22.9
2015,ESP-femmes,22.6
2016,ESP-femmes,23
2017,ESP-femmes,22.9
2018,ESP-femmes,23
2019,ESP-femmes,23.4
2020,ESP-femmes,22.3
2021,ESP-femmes,23
2022,ESP-femmes,22.9
2023,ESP-femmes,23.5
2024,ESP-femmes,23.7
1990,ESP-hommes,15.5
1991,ESP-hommes,15.6
1992,ESP-hommes,15.9
1993,ESP-hommes,15.9
1994,ESP-hommes,16.1
1995,ESP-hommes,16.1
1996,ESP-hommes,16.2
1997,ESP-hommes,16.3
1998,ESP-hommes,16.2
1999,ESP-hommes,16.1
2000,ESP-hommes,16.6
2001,ESP-hommes,16.8
2002,ESP-hommes,16.9
2003,ESP-hommes,16.8
2004,ESP-hommes,17.2
2005,ESP-hommes,17.2
2006,ESP-hommes,17.8
2007,ESP-hommes,17.7
2008,ESP-hommes,18.1
2009,ESP-hommes,18.3
2010,ESP-hommes,18.6
2011,ESP-hommes,18.8
2012,ESP-hommes,18.7
2013,ESP-hommes,19.2
2014,ESP-hommes,19
2015,ESP-hommes,18.7
2016,ESP-hommes,19.1
2017,ESP-hommes,19
2018,ESP-hommes,19.1
2019,ESP-hommes,19.4
2020,ESP-hommes,18.2
2021,ESP-hommes,18.9
2022,ESP-hommes,19
2023,ESP-hommes,19.6
2024,ESP-hommes,19.8
2002,EU27-femmes,19.5
2003,EU27-femmes,19.4
2004,EU27-femmes,20
2005,EU27-femmes,20
2006,EU27-femmes,20.4
2007,EU27-femmes,20.6
2008,EU27-femmes,20.7
2009,EU27-femmes,20.9
2010,EU27-femmes,21
2011,EU27-femmes,21.3
2012,EU27-femmes,21.1
2013,EU27-femmes,21.4
2014,EU27-femmes,21.3
2015,EU27-femmes,21.3
2016,EU27-femmes,21.4
2017,EU27-femmes,21.3
2018,EU27-femmes,21.4
2019,EU27-femmes,21.6
2020,EU27-femmes,20.9
2021,EU27-femmes,20.7
2022,EU27-femmes,21
2023,EU27-femmes,21.6
2024,EU27-femmes,21.8
2002,EU27-hommes,15.8
2003,EU27-hommes,15.8
2004,EU27-hommes,16.3
2005,EU27-hommes,16.3
2006,EU27-hommes,16.7
2007,EU27-hommes,16.9
2008,EU27-hommes,17
2009,EU27-hommes,17.2
2010,EU27-hommes,17.4
2011,EU27-hommes,17.6
2012,EU27-hommes,17.5
2013,EU27-hommes,17.8
2014,EU27-hommes,17.8
2015,EU27-hommes,17.8
2016,EU27-hommes,17.9
2017,EU27-hommes,17.9
2018,EU27-hommes,18
2019,EU27-hommes,18.1
2020,EU27-hommes,17.3
2021,EU27-hommes,17.2
2022,EU27-hommes,17.6
2023,EU27-hommes,18.2
2024,EU27-hommes,18.4
1998,FRA-femmes,21.2
1999,FRA-femmes,21.2
2000,FRA-femmes,21.4
2001,FRA-femmes,21.5
2002,FRA-femmes,21.4
2003,FRA-femmes,21.1
2004,FRA-femmes,22.1
2005,FRA-femmes,22
2006,FRA-femmes,22.7
2007,FRA-femmes,23
2008,FRA-femmes,23
2009,FRA-femmes,23.2
2010,FRA-femmes,23.4
2011,FRA-femmes,23.8
2012,FRA-femmes,23.4
2013,FRA-femmes,23.6
2014,FRA-femmes,23.3
2015,FRA-femmes,23
2016,FRA-femmes,23.2
2017,FRA-femmes,23.3
2018,FRA-femmes,23.4
2019,FRA-femmes,23.5
2020,FRA-femmes,22.9
2021,FRA-femmes,23.1
2022,FRA-femmes,23
2023,FRA-femmes,23.5
2024,FRA-femmes,23.6
1998,FRA-hommes,16.5
1999,FRA-hommes,16.6
2000,FRA-hommes,16.8
2001,FRA-hommes,17
2002,FRA-hommes,17
2003,FRA-hommes,17
2004,FRA-hommes,17.7
2005,FRA-hommes,17.7
2006,FRA-hommes,18.2
2007,FRA-hommes,18.4
2008,FRA-hommes,18.5
2009,FRA-hommes,18.7
2010,FRA-hommes,18.9
2011,FRA-hommes,19.3
2012,FRA-hommes,19.1
2013,FRA-hommes,19.3
2014,FRA-hommes,19.3
2015,FRA-hommes,19.1
2016,FRA-hommes,19.3
2017,FRA-hommes,19.4
2018,FRA-hommes,19.5
2019,FRA-hommes,19.6
2020,FRA-hommes,18.9
2021,FRA-hommes,19
2022,FRA-hommes,19.2
2023,FRA-hommes,19.7
2024,FRA-hommes,19.9
1993,GBR-femmes,17.9
1994,GBR-femmes,18.4
1995,GBR-femmes,18.2
1996,GBR-femmes,18.4
1997,GBR-femmes,18.5
1998,GBR-femmes,18.6
1999,GBR-femmes,18.6
2000,GBR-femmes,19
2001,GBR-femmes,19.2
2002,GBR-femmes,19.1
2003,GBR-femmes,19.1
2004,GBR-femmes,19.6
2005,GBR-femmes,19.7
2006,GBR-femmes,20.1
2007,GBR-femmes,20.2
2008,GBR-femmes,20.2
2009,GBR-femmes,20.7
2010,GBR-femmes,20.8
2011,GBR-femmes,21.1
2012,GBR-femmes,20.9
2013,GBR-femmes,20.9
2014,GBR-femmes,21.3
2015,GBR-femmes,20.8
2016,GBR-femmes,21.1
2017,GBR-femmes,21.1
2018,GBR-femmes,21.1
1993,GBR-hommes,14.2
1994,GBR-hommes,14.7
1995,GBR-hommes,14.6
1996,GBR-hommes,14.9
1997,GBR-hommes,15.1
1998,GBR-hommes,15.3
1999,GBR-hommes,15.4
