period,series,value
2005,DEU-65-femmes,5.9
2006,DEU-65-femmes,7.5
2007,DEU-65-femmes,7.7
2008,DEU-65-femmes,6.7
2009,DEU-65-femmes,6.7
2010,DEU-65-femmes,7.1
2011,DEU-65-femmes,7.2
2012,DEU-65-femmes,6.8
2013,DEU-65-femmes,7
2014,DEU-65-femmes,6.7
2015,DEU-65-femmes,12.3
2016,DEU-65-femmes,12.4
2017,DEU-65-femmes,12.4
2018,DEU-65-femmes,12.2
2019,DEU-65-femmes,12.8
2020,DEU-65-femmes,11.7
2021,DEU-65-femmes,11.4
2022,DEU-65-femmes,8.6
2023,DEU-65-femmes,9
2024,DEU-65-femmes,8.8
2005,DEU-65-hommes,6.4
2006,DEU-65-hommes,7.8
2007,DEU-65-hommes,7.8
2008,DEU-65-hommes,6.3
2009,DEU-65-hommes,6.5
2010,DEU-65-hommes,6.9
2011,DEU-65-hommes,6.6
2012,DEU-65-hommes,6.6
2013,DEU-65-hommes,6.9
2014,DEU-65-hommes,6.8
2015,DEU-65-hommes,11.4
2016,DEU-65-hommes,11.5
2017,DEU-65-hommes,11.4
2018,DEU-65-hommes,11.5
2019,DEU-65-hommes,11.5
2020,DEU-65-hommes,10.4
2021,DEU-65-hommes,10.2
2022,DEU-65-hommes,8.2
2023,DEU-65-hommes,8.4
2024,DEU-65-hommes,8.3
2005,DEU-naissance-femmes,54.8
2006,DEU-naissance-femmes,58.3
2007,DEU-naissance-femmes,58.6
2008,DEU-naissance-femmes,57.7
2009,DEU-naissance-femmes,58.1
2010,DEU-naissance-femmes,58.7
2011,DEU-naissance-femmes,58.6
2012,DEU-naissance-femmes,57.9
2013,DEU-naissance-femmes,57
2014,DEU-naissance-femmes,56.5
2015,DEU-naissance-femmes,67.5
2016,DEU-naissance-femmes,67.3
2017,DEU-naissance-femmes,66.7
2018,DEU-naissance-femmes,66.3
2019,DEU-naissance-femmes,67.1
2020,DEU-naissance-femmes,66.8
2021,DEU-naissance-femmes,66.5
2022,DEU-naissance-femmes,61.2
2023,DEU-naissance-femmes,63
2024,DEU-naissance-femmes,62.6
2005,DEU-naissance-hommes,54.5
2006,DEU-naissance-hommes,58.7
2007,DEU-naissance-hommes,59
2008,DEU-naissance-hommes,56.4
2009,DEU-naissance-hommes,57.1
2010,DEU-naissance-hommes,57.9
2011,DEU-naissance-hommes,57.8
2012,DEU-naissance-hommes,57.3
2013,DEU-naissance-hommes,57.7
2014,DEU-naissance-hommes,56.4
2015,DEU-naissance-hommes,65.3
2016,DEU-naissance-hommes,65.3
2017,DEU-naissance-hommes,65.1
2018,DEU-naissance-hommes,65.1
2019,DEU-naissance-hommes,65.4
2020,DEU-naissance-hommes,64.7
2021,DEU-naissance-hommes,64.7
2022,DEU-naissance-hommes,60.9
2023,DEU-naissance-hommes,62.1
2024,DEU-naissance-hommes,62.1
2004,ESP-65-femmes,9.6
2005,ESP-65-femmes,9.2
2006,ESP-65-femmes,9.6
2007,ESP-65-femmes,10
2008,ESP-65-femmes,8.8
2009,ESP-65-femmes,8.5
2010,ESP-65-femmes,9.1
2011,ESP-65-femmes,9.2
2012,ESP-65-femmes,9
2013,ESP-65-femmes,9
2014,ESP-65-femmes,9.4
2015,ESP-65-femmes,8.9
2016,ESP-65-femmes,10.4
2017,ESP-65-femmes,12.4
2018,ESP-65-femmes,11.3
2019,ESP-65-femmes,12.3
2020,ESP-65-femmes,11.5
2021,ESP-65-femmes,10.3
2022,ESP-65-femmes,9.5
2023,ESP-65-femmes,10.2
2024,ESP-65-femmes,12.5
2004,ESP-65-hommes,9.8
2005,ESP-65-hommes,9.6
2006,ESP-65-hommes,10.1
2007,ESP-65-hommes,10.4
2008,ESP-65-hommes,9.9
2009,ESP-65-hommes,9.3
2010,ESP-65-hommes,9.6
2011,ESP-65-hommes,9.8
2012,ESP-65-hommes,9.2
2013,ESP-65-hommes,9.7
2014,ESP-65-hommes,10.1
2015,ESP-65-hommes,9.5
2016,ESP-65-hommes,10.4
2017,ESP-65-hommes,12.3
2018,ESP-65-hommes,11.5
2019,ESP-65-hommes,12.4
2020,ESP-65-hommes,11.6
2021,ESP-65-hommes,10.7
2022,ESP-65-hommes,9.8
2023,ESP-65-hommes,10.3
2024,ESP-65-hommes,12.4
2004,ESP-naissance-femmes,62.6
2005,ESP-naissance-femmes,63.5
2006,ESP-naissance-femmes,63.6
2007,ESP-naissance-femmes,63.2
2008,ESP-naissance-femmes,63.7
2009,ESP-naissance-femmes,62.2
2010,ESP-naissance-femmes,63.8
2011,ESP-naissance-femmes,65.6
2012,ESP-naissance-femmes,65.8
2013,ESP-naissance-femmes,63.9
2014,ESP-naissance-femmes,65
2015,ESP-naissance-femmes,64.1
2016,ESP-naissance-femmes,66.5
2017,ESP-naissance-femmes,69.9
2018,ESP-naissance-femmes,68
2019,ESP-naissance-femmes,70.4
2020,ESP-naissance-femmes,66.3
2021,ESP-naissance-femmes,62.6
2022,ESP-naissance-femmes,60.6
2023,ESP-naissance-femmes,61.8
2024,ESP-naissance-femmes,68.6
2004,ESP-naissance-hommes,62.6
2005,ESP-naissance-hommes,63.2
2006,ESP-naissance-hommes,64
2007,ESP-naissance-hommes,63.5
2008,ESP-naissance-hommes,64
2009,ESP-naissance-hommes,63.1
2010,ESP-naissance-hommes,64.5
2011,ESP-naissance-hommes,65.4
2012,ESP-naissance-hommes,64.8
2013,ESP-naissance-hommes,64.7
2014,ESP-naissance-hommes,65
2015,ESP-naissance-hommes,63.9
2016,ESP-naissance-hommes,65.9
2017,ESP-naissance-hommes,69
2018,ESP-naissance-hommes,68
2019,ESP-naissance-hommes,69.4
2020,ESP-naissance-hommes,66.3
2021,ESP-naissance-hommes,63
2022,ESP-naissance-hommes,61.7
2023,ESP-naissance-hommes,62.4
2024,ESP-naissance-hommes,68.6
2004,EU27-65-femmes,9.7
2005,EU27-65-femmes,8.4
2006,EU27-65-femmes,8.7
2007,EU27-65-femmes,8.6
2008,EU27-65-femmes,8.1
2009,EU27-65-femmes,8
2010,EU27-65-femmes,8.5
2011,EU27-65-femmes,8.2
2012,EU27-65-femmes,8.2
2013,EU27-65-femmes,8.3
2014,EU27-65-femmes,8.3
2015,EU27-65-femmes,9.3
2016,EU27-65-femmes,10
2017,EU27-65-femmes,10
2018,EU27-65-femmes,10
2019,EU27-65-femmes,10.4
2020,EU27-65-femmes,10.1
2021,EU27-65-femmes,9.9
2022,EU27-65-femmes,9.2
2023,EU27-65-femmes,9.6
2024,EU27-65-femmes,10.5
2004,EU27-65-hommes,9.1
2005,EU27-65-hommes,8.1
2006,EU27-65-hommes,8.5
2007,EU27-65-hommes,8.5
2008,EU27-65-hommes,7.9
2009,EU27-65-hommes,8
2010,EU27-65-hommes,8.4
2011,EU27-65-hommes,8.2
2012,EU27-65-hommes,8.1
2013,EU27-65-hommes,8.3
2014,EU27-65-hommes,8.4
2015,EU27-65-hommes,9.2
2016,EU27-65-hommes,9.7
2017,EU27-65-hommes,9.7
2018,EU27-65-hommes,9.8
2019,EU27-65-hommes,10.2
2020,EU27-65-hommes,9.5
2021,EU27-65-hommes,9.5
2022,EU27-65-hommes,8.9
2023,EU27-65-hommes,9.2
2024,EU27-65-hommes,10
2004,EU27-naissance-femmes,63.7
2005,EU27-naissance-femmes,61.6
2006,EU27-naissance-femmes,62.1
2007,EU27-naissance-femmes,62.1
2008,EU27-naissance-femmes,61.6
2009,EU27-naissance-femmes,61.3
2010,EU27-naissance-femmes,62.2
2011,EU27-naissance-femmes,61.7
2012,EU27-naissance-femmes,61.7
2013,EU27-naissance-femmes,61.1
2014,EU27-naissance-femmes,61.4
2015,EU27-naissance-femmes,63.3
2016,EU27-naissance-femmes,64.4
2017,EU27-naissance-femmes,64.3
2018,EU27-naissance-femmes,64.2
2019,EU27-naissance-femmes,65.1
2020,EU27-naissance-femmes,64.5
2021,EU27-naissance-femmes,64.2
2022,EU27-naissance-femmes,62.8
2023,EU27-naissance-femmes,63.3
2024,EU27-naissance-femmes,65.5
2004,EU27-naissance-hommes,62
2005,EU27-naissance-hommes,60.2
2006,EU27-naissance-hommes,61.2
2007,EU27-naissance-hommes,61.3
2008,EU27-naissance-hommes,60.5
2009,EU27-naissance-hommes,60.6
2010,EU27-naissance-hommes,61.3
2011,EU27-naissance-hommes,61.1
2012,EU27-naissance-hommes,61
2013,EU27-naissance-hommes,60.9
2014,EU27-naissance-hommes,61.1
2015,EU27-naissance-hommes,62.4
2016,EU27-naissance-hommes,63.6
2017,EU27-naissance-hommes,63.5
2018,EU27-naissance-hommes,63.7
2019,EU27-naissance-hommes,64.2
2020,EU27-naissance-hommes,63.5
2021,EU27-naissance-hommes,63.1
2022,EU27-naissance-hommes,62.4
2023,EU27-naissance-hommes,62.8
2024,EU27-naissance-hommes,64.8
2004,FRA-65-femmes,10
2005,FRA-65-femmes,9.7
2006,FRA-65-femmes,9.6
2007,FRA-65-femmes,9.9
2008,FRA-65-femmes,10.1
2009,FRA-65-femmes,9.5
2010,FRA-65-femmes,9.8
2011,FRA-65-femmes,9.9
2012,FRA-65-femmes,10.4
2013,FRA-65-femmes,10.6
2014,FRA-65-femmes,10.7
2015,FRA-65-femmes,10.7
2016,FRA-65-femmes,10.6
2017,FRA-65-femmes,10.9
2018,FRA-65-femmes,11.3
2019,FRA-65-femmes,11.6
2020,FRA-65-femmes,11.8
2021,FRA-65-femmes,12.6
2022,FRA-65-femmes,11.7
2023,FRA-65-femmes,12
2024,FRA-65-femmes,11.5
2004,FRA-65-hommes,8.5
2005,FRA-65-hommes,8.5
2006,FRA-65-hommes,8.7
2007,FRA-65-hommes,8.9
2008,FRA-65-hommes,8.7
2009,FRA-65-hommes,9
2010,FRA-65-hommes,9
2011,FRA-65-hommes,9.7
2012,FRA-65-hommes,9.4
2013,FRA-65-hommes,9.9
2014,FRA-65-hommes,10.4
2015,FRA-65-hommes,9.8
2016,FRA-65-hommes,9.5
2017,FRA-65-hommes,9.3
2018,FRA-65-hommes,10.2
2019,FRA-65-hommes,10.4
2020,FRA-65-hommes,10.2
2021,FRA-65-hommes,11.3
2022,FRA-65-hommes,10.2
2023,FRA-65-hommes,10.5
2024,FRA-65-hommes,10.3
2004,FRA-naissance-femmes,64.3
2005,FRA-naissance-femmes,64.6
2006,FRA-naissance-femmes,64.4
2007,FRA-naissance-femmes,64.4
2008,FRA-naissance-femmes,64.5
2009,FRA-naissance-femmes,63.5
2010,FRA-naissance-femmes,63.4
2011,FRA-naissance-femmes,63.6
2012,FRA-naissance-femmes,63.8
2013,FRA-naissance-femmes,64.3
2014,FRA-naissance-femmes,64.2
2015,FRA-naissance-femmes,64.6
2016,FRA-naissance-femmes,64.1
2017,FRA-naissance-femmes,64.9
2018,FRA-naissance-femmes,64.5
2019,FRA-naissance-femmes,64.6
2020,FRA-naissance-femmes,65.3
2021,FRA-naissance-femmes,66.9
2022,FRA-naissance-femmes,65.2
2023,FRA-naissance-femmes,64.1
2024,FRA-naissance-femmes,63.7
2004,FRA-naissance-hommes,61.5
2005,FRA-naissance-hommes,62.3
2006,FRA-naissance-hommes,62.8
2007,FRA-naissance-hommes,62.8
2008,FRA-naissance-hommes,62.8
2009,FRA-naissance-hommes,62.8
2010,FRA-naissance-hommes,61.8
2011,FRA-naissance-hommes,62.7
2012,FRA-naissance-hommes,62.6
2013,FRA-naissance-hommes,63
2014,FRA-naissance-hommes,63.4
2015,FRA-naissance-hommes,62.6
2016,FRA-naissance-hommes,62.6
2017,FRA-naissance-hommes,62.5
2018,FRA-naissance-hommes,63.4
2019,FRA-naissance-hommes,63.7
2020,FRA-naissance-hommes,63.9
2021,FRA-naissance-hommes,65.5
2022,FRA-naissance-hommes,63.7
2023,FRA-naissance-hommes,63.5
2024,FRA-naissance-hommes,63.5
2004,ITA-65-femmes,12.4
2005,ITA-65-femmes,10.2
2006,ITA-65-femmes,8.6
2007,ITA-65-femmes,7.5
2008,ITA-65-femmes,7.1
2009,ITA-65-femmes,7.2
