period,series,value
1960,DEU,2.381
1961,DEU,2.465
1962,DEU,2.462
1963,DEU,2.523
1964,DEU,2.525
1965,DEU,2.487
1966,DEU,2.503
1967,DEU,2.439
1968,DEU,2.341
1969,DEU,2.2
1970,DEU,2.024
1971,DEU,1.951
1972,DEU,1.726
1973,DEU,1.551
1974,DEU,1.521
1975,DEU,1.477
1976,DEU,1.494
1977,DEU,1.498
1978,DEU,1.489
1979,DEU,1.494
1980,DEU,1.556
1981,DEU,1.529
1982,DEU,1.504
1983,DEU,1.43
1984,DEU,1.389
1985,DEU,1.378
1986,DEU,1.417
1987,DEU,1.438
1988,DEU,1.464
1989,DEU,1.433
1990,DEU,1.46
1991,DEU,1.344
1992,DEU,1.305
1993,DEU,1.288
1994,DEU,1.254
1995,DEU,1.262
1996,DEU,1.33
1997,DEU,1.377
1998,DEU,1.364
1999,DEU,1.37
2000,DEU,1.386
2001,DEU,1.354
2002,DEU,1.344
2003,DEU,1.343
2004,DEU,1.361
2005,DEU,1.344
2006,DEU,1.339
2007,DEU,1.378
2008,DEU,1.387
2009,DEU,1.367
2010,DEU,1.4
2011,DEU,1.385
2012,DEU,1.405
2013,DEU,1.415
2014,DEU,1.469
2015,DEU,1.501
2016,DEU,1.591
2017,DEU,1.57
2018,DEU,1.566
2019,DEU,1.541
2020,DEU,1.531
2021,DEU,1.577
2022,DEU,1.46
2023,DEU,1.441
1960,ESP,2.808
1961,ESP,2.778
1962,ESP,2.804
1963,ESP,2.876
1964,ESP,2.998
1965,ESP,2.926
1966,ESP,2.913
1967,ESP,2.971
1968,ESP,2.923
1969,ESP,2.901
1970,ESP,2.884
1971,ESP,2.898
1972,ESP,2.869
1973,ESP,2.841
1974,ESP,2.871
1975,ESP,2.773
1976,ESP,2.764
1977,ESP,2.653
1978,ESP,2.539
1979,ESP,2.368
1980,ESP,2.212
1981,ESP,2.04
1982,ESP,1.936
1983,ESP,1.799
1984,ESP,1.722
1985,ESP,1.637
1986,ESP,1.554
1987,ESP,1.492
1988,ESP,1.444
1989,ESP,1.396
1990,ESP,1.358
1991,ESP,1.325
1992,ESP,1.306
1993,ESP,1.253
1994,ESP,1.19
1995,ESP,1.153
1996,ESP,1.139
1997,ESP,1.145
1998,ESP,1.131
1999,ESP,1.165
2000,ESP,1.21
2001,ESP,1.231
2002,ESP,1.251
2003,ESP,1.293
2004,ESP,1.313
2005,ESP,1.329
2006,ESP,1.36
2007,ESP,1.379
2008,ESP,1.436
2009,ESP,1.381
2010,ESP,1.366
2011,ESP,1.34
2012,ESP,1.318
2013,ESP,1.277
2014,ESP,1.315
2015,ESP,1.33
2016,ESP,1.332
2017,ESP,1.305
2018,ESP,1.26
2019,ESP,1.23
2020,ESP,1.186
2021,ESP,1.188
2022,ESP,1.205
2023,ESP,1.213
1960,FRA,2.735
1961,FRA,2.829
1962,FRA,2.788
1963,FRA,2.873
1964,FRA,2.88
1965,FRA,2.826
1966,FRA,2.781
1967,FRA,2.649
1968,FRA,2.571
1969,FRA,2.526
1970,FRA,2.481
1971,FRA,2.499
1972,FRA,2.427
1973,FRA,2.32
1974,FRA,2.125
1975,FRA,1.935
1976,FRA,1.832
1977,FRA,1.868
1978,FRA,1.83
1979,FRA,1.863
1980,FRA,1.951
1981,FRA,1.947
1982,FRA,1.917
1983,FRA,1.79
1984,FRA,1.806
1985,FRA,1.816
1986,FRA,1.832
1987,FRA,1.804
1988,FRA,1.808
1989,FRA,1.791
1990,FRA,1.782
1991,FRA,1.773
1992,FRA,1.735
1993,FRA,1.661
1994,FRA,1.665
1995,FRA,1.718
1996,FRA,1.74
1997,FRA,1.73
1998,FRA,1.764
1999,FRA,1.793
2000,FRA,1.876
2001,FRA,1.879
2002,FRA,1.865
2003,FRA,1.873
2004,FRA,1.898
2005,FRA,1.916
2006,FRA,1.974
2007,FRA,1.952
2008,FRA,1.987
2009,FRA,1.99
2010,FRA,2.017
2011,FRA,1.995
2012,FRA,1.99
2013,FRA,1.973
2014,FRA,1.974
2015,FRA,1.927
2016,FRA,1.892
2017,FRA,1.859
2018,FRA,1.837
2019,FRA,1.826
2020,FRA,1.785
2021,FRA,1.799
2022,FRA,1.76
2023,FRA,1.639
1960,GBR,2.704
1961,GBR,2.789
1962,GBR,2.866
1963,GBR,2.91
1964,GBR,2.931
1965,GBR,2.867
1966,GBR,2.777
1967,GBR,2.678
1968,GBR,2.592
1969,GBR,2.502
1970,GBR,2.421
1971,GBR,2.343
1972,GBR,2.182
1973,GBR,2.036
1974,GBR,1.915
1975,GBR,1.807
1976,GBR,1.738
1977,GBR,1.689
1978,GBR,1.753
1979,GBR,1.857
1980,GBR,1.888
1981,GBR,1.817
1982,GBR,1.778
1983,GBR,1.766
1984,GBR,1.766
1985,GBR,1.788
1986,GBR,1.782
1987,GBR,1.808
1988,GBR,1.82
1989,GBR,1.794
1990,GBR,1.829
1991,GBR,1.817
1992,GBR,1.793
1993,GBR,1.758
1994,GBR,1.737
1995,GBR,1.709
1996,GBR,1.722
1997,GBR,1.722
1998,GBR,1.711
1999,GBR,1.682
2000,GBR,1.641
2001,GBR,1.624
2002,GBR,1.633
2003,GBR,1.698
2004,GBR,1.747
2005,GBR,1.761
2006,GBR,1.812
2007,GBR,1.863
2008,GBR,1.905
2009,GBR,1.893
2010,GBR,1.918
2011,GBR,1.911
2012,GBR,1.909
2013,GBR,1.83
2014,GBR,1.811
2015,GBR,1.801
2016,GBR,1.785
2017,GBR,1.735
2018,GBR,1.676
2019,GBR,1.632
2020,GBR,1.571
2021,GBR,1.583
2022,GBR,1.56
2023,GBR,1.56
1960,ITA,2.384
1961,ITA,2.42
1962,ITA,2.451
1963,ITA,2.52
1964,ITA,2.662
1965,ITA,2.617
1966,ITA,2.588
1967,ITA,2.509
1968,ITA,2.49
1969,ITA,2.47
1970,ITA,2.396
1971,ITA,2.398
1972,ITA,2.351
1973,ITA,2.315
1974,ITA,2.292
1975,ITA,2.177
1976,ITA,2.056
1977,ITA,1.939
1978,ITA,1.841
1979,ITA,1.733
1980,ITA,1.647
1981,ITA,1.582
1982,ITA,1.561
1983,ITA,1.506
1984,ITA,1.458
1985,ITA,1.416
1986,ITA,1.351
1987,ITA,1.33
1988,ITA,1.355
1989,ITA,1.328
1990,ITA,1.331
1991,ITA,1.303
1992,ITA,1.296
1993,ITA,1.249
1994,ITA,1.208
1995,ITA,1.188
1996,ITA,1.197
1997,ITA,1.21
1998,ITA,1.21
1999,ITA,1.228
2000,ITA,1.249
2001,ITA,1.247
2002,ITA,1.264
2003,ITA,1.285
2004,ITA,1.337
2005,ITA,1.332
2006,ITA,1.364
2007,ITA,1.393
2008,ITA,1.435
2009,ITA,1.439
2010,ITA,1.443
2011,ITA,1.427
2012,ITA,1.416
2013,ITA,1.38
2014,ITA,1.364
2015,ITA,1.344
2016,ITA,1.336
2017,ITA,1.317
2018,ITA,1.286
2019,ITA,1.259
2020,ITA,1.242
2021,ITA,1.252
2022,ITA,1.24
2023,ITA,1.198
1960,KOR,5.994
1961,KOR,5.803
1962,KOR,5.562
1963,KOR,5.334
1964,KOR,5.068
1965,KOR,4.887
1966,KOR,4.782
1967,KOR,4.615
1968,KOR,4.51
1969,KOR,4.447
1970,KOR,4.459
1971,KOR,4.259
1972,KOR,4.02
1973,KOR,3.803
1974,KOR,3.555
1975,KOR,3.313
1976,KOR,3.119
1977,KOR,2.954
1978,KOR,2.699
1979,KOR,2.748
1980,KOR,2.734
1981,KOR,2.669
1982,KOR,2.431
1983,KOR,2.102
1984,KOR,1.832
1985,KOR,1.705
1986,KOR,1.623
1987,KOR,1.571
1988,KOR,1.558
1989,KOR,1.564
1990,KOR,1.603
1991,KOR,1.702
1992,KOR,1.738
1993,KOR,1.683
1994,KOR,1.67
1995,KOR,1.646
1996,KOR,1.599
1997,KOR,1.555
1998,KOR,1.497
1999,KOR,1.469
2000,KOR,1.467
2001,KOR,1.342
2002,KOR,1.227
2003,KOR,1.199
2004,KOR,1.164
2005,KOR,1.115
2006,KOR,1.145
2007,KOR,1.215
2008,KOR,1.19
2009,KOR,1.178
2010,KOR,1.226
2011,KOR,1.258
2012,KOR,1.274
2013,KOR,1.206
2014,KOR,1.197
2015,KOR,1.202
2016,KOR,1.14
2017,KOR,1.035
2018,KOR,0.951
2019,KOR,0.881
2020,KOR,0.812
2021,KOR,0.783
2022,KOR,0.78
2023,KOR,0.72
1960,USA,3.732
1961,USA,3.691
1962,USA,3.533
1963,USA,3.39
1964,USA,3.258
1965,USA,2.983
1966,USA,2.769
1967,USA,2.605
1968,USA,2.508
1969,USA,2.504
1970,USA,2.515
1971,USA,2.318
1972,USA,2.057
1973,USA,1.921
1974,USA,1.872
1975,USA,1.815
1976,USA,1.785
1977,USA,1.826
1978,USA,1.804
1979,USA,1.843
1980,USA,1.861
1981,USA,1.847
1982,USA,1.855
1983,USA,1.827
1984,USA,1.827
1985,USA,1.854
1986,USA,1.852
1987,USA,1.885
1988,USA,1.942
1989,USA,2.014
1990,USA,2.072
1991,USA,2.059
1992,USA,2.039
1993,USA,2.01
1994,USA,1.988
1995,USA,1.965
1996,USA,1.96
1997,USA,1.956
1998,USA,1.98
1999,USA,1.99
2000,USA,2.03
2001,USA,2.011
2002,USA,2.003
2003,USA,2.025
2004,USA,2.031
2005,USA,2.04
2006,USA,2.087
2007,USA,2.096
2008,USA,2.053
2009,USA,1.987
2010,USA,1.916
2011,USA,1.879
2012,USA,1.862
2013,USA,1.84
2014,USA,1.848
2015,USA,1.832
2016,USA,1.804
2017,USA,1.753
2018,USA,1.715
2019,USA,1.684
2020,USA,1.616
2021,USA,1.634
2022,USA,1.665
2023,USA,1.624
1960,WLD,4.696
1961,WLD,4.571
1962,WLD,5.022
1963,WLD,5.308
1964,WLD,5.123
1965,WLD,5.071
1966,WLD,4.961
1967,WLD,4.852
1968,WLD,4.963
1969,WLD,4.866
1970,WLD,4.825
1971,WLD,4.679
1972,WLD,4.545
1973,WLD,4.416
1974,WLD,4.259
1975,WLD,4.08
1976,WLD,3.974
1977,WLD,3.85
1978,WLD,3.787
1979,WLD,3.771
1980,WLD,3.744
1981,WLD,3.711
1982,WLD,3.712
1983,WLD,3.581
1984,WLD,3.553
1985,WLD,3.515
1986,WLD,3.504
1987,WLD,3.476
1988,WLD,3.39
1989,WLD,3.347
1990,WLD,3.31
1991,WLD,3.131
1992,WLD,3.044
1993,WLD,2.98
1994,WLD,2.933
1995,WLD,2.889
1996,WLD,2.846
1997,WLD,2.809
1998,WLD,2.776
1999,WLD,2.75
2000,WLD,2.754
2001,WLD,2.714
2002,WLD,2.684
2003,WLD,2.659
2004,WLD,2.647
2005,WLD,2.63
2006,WLD,2.625
2007,WLD,2.623
2008,WLD,2.626
2009,WLD,2.621
2010,WLD,2.602
2011,WLD,2.588
2012,WLD,2.607
2013,WLD,2.572
2014,WLD,2.564
2015,WLD,2.537
2016,WLD,2.536
2017,WLD,2.504
2018,WLD,2.437
2019,WLD,2.397
2020,WLD,2.322
2021,WLD,2.291
2022,WLD,2.265
2023,WLD,2.251
