period,series,value
1921,part-immigres,3.7
1926,part-immigres,5.7
1931,part-immigres,6.6
1936,part-immigres,5.6
1946,part-immigres,5
1954,part-immigres,5.4
1962,part-immigres,6.2
1968,part-immigres,6.5
1975,part-immigres,7.4
1982,part-immigres,7.4
1990,part-immigres,7.3
1999,part-immigres,7.3
2006,part-immigres,8.1
2007,part-immigres,8.3
2008,part-immigres,8.4
2009,part-immigres,8.4
2010,part-immigres,8.5
2011,part-immigres,8.6
2012,part-immigres,8.8
2013,part-immigres,8.9
2014,part-immigres,9.1
2015,part-immigres,9.3
2016,part-immigres,9.4
2017,part-immigres,9.7
2018,part-immigres,9.8
2019,part-immigres,10
2020,part-immigres,10.2
2021,part-immigres,10.2
2022,part-immigres,10.3
2023,part-immigres,10.7
2024,part-immigres,11.3
2025,part-immigres,11.6
