period,series,value
1990,DEU,7
1991,DEU,6.9
1992,DEU,6.2
1993,DEU,5.8
1994,DEU,5.6
1995,DEU,5.3
1996,DEU,5
1997,DEU,4.9
1998,DEU,4.7
1999,DEU,4.5
2000,DEU,4.4
2001,DEU,4.3
2002,DEU,4.2
2003,DEU,4.2
2004,DEU,4.1
2005,DEU,3.9
2006,DEU,3.8
2007,DEU,3.9
2008,DEU,3.5
2009,DEU,3.5
2010,DEU,3.4
2011,DEU,3.6
2012,DEU,3.3
2013,DEU,3.3
2014,DEU,3.2
2015,DEU,3.3
2016,DEU,3.4
2017,DEU,3.3
2018,DEU,3.2
2019,DEU,3.2
2020,DEU,3.1
2021,DEU,3
2022,DEU,3.2
2023,DEU,3.2
2024,DEU,3.3
1990,ESP,7.6
1991,ESP,7.2
1992,ESP,7.1
1993,ESP,6.7
1994,ESP,6
1995,ESP,5.5
1996,ESP,5.5
1997,ESP,5
1998,ESP,4.9
1999,ESP,4.5
2000,ESP,4.4
2001,ESP,4
2002,ESP,4.1
2003,ESP,3.9
2004,ESP,3.9
2005,ESP,3.7
2006,ESP,3.5
2007,ESP,3.4
2008,ESP,3.3
2009,ESP,3.2
2010,ESP,3.2
2011,ESP,3.1
2012,ESP,3.1
2013,ESP,2.7
2014,ESP,2.8
2015,ESP,2.7
2016,ESP,2.7
2017,ESP,2.7
2018,ESP,2.7
2019,ESP,2.6
2020,ESP,2.6
2021,ESP,2.5
2022,ESP,2.6
2023,ESP,2.6
2024,ESP,3
1990,EU27,10.7
1991,EU27,10.2
1992,EU27,9.7
1993,EU27,9.1
1994,EU27,8.6
1995,EU27,7.7
1996,EU27,7.4
1997,EU27,6.9
1998,EU27,6.6
1999,EU27,6.2
2000,EU27,6
2001,EU27,5.8
2002,EU27,5.5
2003,EU27,5.2
2004,EU27,5.1
2005,EU27,4.8
2006,EU27,4.6
2007,EU27,4.4
2008,EU27,4.2
2009,EU27,4.2
2010,EU27,4
2011,EU27,3.8
2012,EU27,3.8
2013,EU27,3.7
2014,EU27,3.6
2015,EU27,3.6
2016,EU27,3.6
2017,EU27,3.5
2018,EU27,3.4
2019,EU27,3.4
2020,EU27,3.3
2021,EU27,3.2
2022,EU27,3.3
2023,EU27,3.3
2024,EU27,3.5
1996,FRA,5
1997,FRA,4.9
1998,FRA,4.8
1999,FRA,4.4
2000,FRA,4.5
2001,FRA,4.6
2002,FRA,4.2
2003,FRA,4.2
2004,FRA,4
2005,FRA,3.8
2006,FRA,3.8
2007,FRA,3.8
2008,FRA,3.8
2009,FRA,3.9
2010,FRA,3.6
2011,FRA,3.5
2012,FRA,3.5
2013,FRA,3.6
2014,FRA,3.5
2015,FRA,3.7
2016,FRA,3.7
2017,FRA,3.9
2018,FRA,3.8
2019,FRA,3.8
2020,FRA,3.6
2021,FRA,3.7
2022,FRA,4
2023,FRA,4
2024,FRA,4.1
1990,ITA,8.1
1991,ITA,8
1992,ITA,7.8
1993,ITA,7
1994,ITA,6.4
1995,ITA,6.1
1996,ITA,6
1997,ITA,5.5
1998,ITA,5.1
1999,ITA,4.9
2000,ITA,4.3
2001,ITA,4.4
2002,ITA,4.1
2003,ITA,3.8
2004,ITA,3.4
2005,ITA,3.3
2006,ITA,3.2
2007,ITA,3.1
2008,ITA,3.1
2009,ITA,3.2
2010,ITA,3
2011,ITA,2.9
2012,ITA,2.9
2013,ITA,2.9
2014,ITA,2.8
2015,ITA,2.9
2016,ITA,2.8
2017,ITA,2.7
2018,ITA,2.8
2019,ITA,2.4
2020,ITA,2.4
2021,ITA,2.3
2022,ITA,2.3
2023,ITA,2.5
2024,ITA,2.5
