period,series,value
1946,deces,545.9
1947,deces,538.2
1948,deces,513.2
1949,deces,573.6
1950,deces,534.5
1951,deces,565.8
1952,deces,524.8
1953,deces,557
1954,deces,518.9
1955,deces,526.3
1956,deces,545.7
1957,deces,532.1
1958,deces,500.6
1959,deces,509.1
1960,deces,521
1961,deces,500.3
1962,deces,541.1
1963,deces,557.9
1964,deces,520
1965,deces,543.7
1966,deces,528.8
1967,deces,543
1968,deces,553.4
1969,deces,573.3
1970,deces,542.3
1971,deces,554.2
1972,deces,549.9
1973,deces,558.8
1974,deces,552.6
1975,deces,560.4
1976,deces,557.1
1977,deces,536.2
1978,deces,546.9
1979,deces,541.8
1980,deces,547.1
1981,deces,554.8
1982,deces,543.1
1983,deces,559.7
1984,deces,542.5
1985,deces,552.5
1986,deces,546.9
1987,deces,527.5
1988,deces,524.6
1989,deces,529.3
1990,deces,526.2
1991,deces,524.7
1992,deces,521.5
1993,deces,532.3
1994,deces,520
1995,deces,531.6
1996,deces,535.8
1997,deces,530.3
1998,deces,534
1999,deces,537.7
2000,deces,530.9
2001,deces,531.1
2002,deces,535.1
2003,deces,552.3
2004,deces,509.4
2005,deces,527.5
2006,deces,516.4
2007,deces,521
2008,deces,532.1
2009,deces,538.1
2010,deces,540.5
2011,deces,534.8
2012,deces,559.2
2013,deces,558.4
2014,deces,547
2015,deces,581.8
2016,deces,581.1
2017,deces,593.6
2018,deces,596.6
2019,deces,599.4
2020,deces,654.6
2021,deces,644.2
2022,deces,658.4
2023,deces,624
2024,deces,627.5
2025,deces,635
1946,naissances,843.9
1947,naissances,870.5
1948,naissances,870.8
1949,naissances,872.7
1950,naissances,862.3
1951,naissances,826.7
1952,naissances,822.2
1953,naissances,804.7
1954,naissances,810.8
1955,naissances,805.9
1956,naissances,806.9
1957,naissances,816.5
1958,naissances,812.2
1959,naissances,829.2
1960,naissances,819.8
1961,naissances,838.6
1962,naissances,832.4
1963,naissances,868.9
1964,naissances,877.8
1965,naissances,865.7
1966,naissances,863.5
1967,naissances,840.6
1968,naissances,835.8
1969,naissances,842.2
1970,naissances,850.4
1971,naissances,881.3
1972,naissances,877.5
1973,naissances,857.2
1974,naissances,801.2
1975,naissances,745.1
1976,naissances,720.4
1977,naissances,744.7
1978,naissances,737.1
1979,naissances,757.4
1980,naissances,800.4
1981,naissances,805.5
1982,naissances,797.2
1983,naissances,748.5
1984,naissances,759.9
1985,naissances,768.4
1986,naissances,778.5
1987,naissances,767.8
1988,naissances,771.3
1989,naissances,765.5
1990,naissances,762.4
1991,naissances,759.1
1992,naissances,743.7
1993,naissances,711.6
1994,naissances,711
1995,naissances,729.6
1996,naissances,734.3
1997,naissances,726.8
1998,naissances,738.1
1999,naissances,744.8
2000,naissances,774.8
2001,naissances,770.9
2002,naissances,761.6
2003,naissances,761.5
2004,naissances,767.8
2005,naissances,774.4
2006,naissances,796.9
2007,naissances,786
2008,naissances,796
2009,naissances,793.4
2010,naissances,802.2
2011,naissances,793
2012,naissances,790.3
2013,naissances,781.6
2014,naissances,781.2
2015,naissances,760.4
2016,naissances,744.7
2017,naissances,730.2
2018,naissances,719.7
2019,naissances,714
2020,naissances,696.7
2021,naissances,701.8
2022,naissances,686.6
2023,naissances,639.5
2024,naissances,626.8
2025,naissances,611
1946,solde-naturel,298
1947,solde-naturel,332.3
1948,solde-naturel,357.6
1949,solde-naturel,299.1
1950,solde-naturel,327.8
1951,solde-naturel,260.9
1952,solde-naturel,297.4
1953,solde-naturel,247.7
1954,solde-naturel,291.9
1955,solde-naturel,279.6
1956,solde-naturel,261.2
1957,solde-naturel,284.4
1958,solde-naturel,311.6
1959,solde-naturel,320.1
1960,solde-naturel,298.9
1961,solde-naturel,338.3
1962,solde-naturel,291.2
1963,solde-naturel,311
1964,solde-naturel,357.8
1965,solde-naturel,322
1966,solde-naturel,334.7
1967,solde-naturel,297.5
1968,solde-naturel,282.4
1969,solde-naturel,268.9
1970,solde-naturel,308.1
1971,solde-naturel,327.1
1972,solde-naturel,327.6
1973,solde-naturel,298.4
1974,solde-naturel,248.7
1975,solde-naturel,184.7
1976,solde-naturel,163.3
1977,solde-naturel,208.5
1978,solde-naturel,190.1
1979,solde-naturel,215.5
1980,solde-naturel,253.3
1981,solde-naturel,250.7
1982,solde-naturel,254.1
1983,solde-naturel,188.9
1984,solde-naturel,217.4
1985,solde-naturel,215.9
1986,solde-naturel,231.5
1987,solde-naturel,240.4
1988,solde-naturel,246.7
1989,solde-naturel,236.2
1990,solde-naturel,236.2
1991,solde-naturel,234.4
1992,solde-naturel,222.1
1993,solde-naturel,179.3
1994,solde-naturel,191
1995,solde-naturel,198
1996,solde-naturel,198.6
1997,solde-naturel,196.4
1998,solde-naturel,204.1
1999,solde-naturel,207.1
2000,solde-naturel,243.9
2001,solde-naturel,239.9
2002,solde-naturel,226.5
2003,solde-naturel,209.1
2004,solde-naturel,258.4
2005,solde-naturel,246.8
2006,solde-naturel,280.5
2007,solde-naturel,265
2008,solde-naturel,263.9
2009,solde-naturel,255.3
2010,solde-naturel,261.8
2011,solde-naturel,258.2
2012,solde-naturel,231.1
2013,solde-naturel,223.2
2014,solde-naturel,234.2
2015,solde-naturel,178.7
2016,solde-naturel,163.6
2017,solde-naturel,136.6
2018,solde-naturel,123.2
2019,solde-naturel,114.6
2020,solde-naturel,42.1
2021,solde-naturel,57.6
2022,solde-naturel,28.1
2023,solde-naturel,15.6
2024,solde-naturel,-0.7
2025,solde-naturel,-24
