period,series,value
2002,FRA,2.1387
2003,FRA,2.0983
2004,FRA,2.0526
2005,FRA,2.0145
2006,FRA,1.9854
2007,FRA,1.9588
2008,FRA,1.9147
2009,FRA,1.8465
2010,FRA,1.8071
2011,FRA,1.7882
2012,FRA,1.7789
2013,FRA,1.7628
2014,FRA,1.7453
2015,FRA,1.7304
2016,FRA,1.7262
2017,FRA,1.732
2018,FRA,1.7301
2019,FRA,1.7262
2020,FRA,1.716
2021,FRA,1.7562
2022,FRA,1.7802
2023,FRA,1.7785
2024,FRA,1.7743
2024,FRA-projection,1.7743
2025,FRA-projection,1.7699
2026,FRA-projection,1.7592
2027,FRA-projection,1.7515
2028,FRA-projection,1.747
2029,FRA-projection,1.7498
2030,FRA-projection,1.7504
2031,FRA-projection,1.7424
2032,FRA-projection,1.7366
2033,FRA-projection,1.7226
2034,FRA-projection,1.7056
2035,FRA-projection,1.6907
2036,FRA-projection,1.6764
2037,FRA-projection,1.6635
2038,FRA-projection,1.6537
2039,FRA-projection,1.6466
2040,FRA-projection,1.6396
2041,FRA-projection,1.6308
2042,FRA-projection,1.6233
2043,FRA-projection,1.6135
2044,FRA-projection,1.6025
2045,FRA-projection,1.5926
2046,FRA-projection,1.5807
2047,FRA-projection,1.5692
2048,FRA-projection,1.5584
2049,FRA-projection,1.5495
2050,FRA-projection,1.5393
2051,FRA-projection,1.5284
2052,FRA-projection,1.517
2053,FRA-projection,1.5036
2054,FRA-projection,1.4955
2055,FRA-projection,1.4873
2056,FRA-projection,1.4782
2057,FRA-projection,1.4701
2058,FRA-projection,1.4614
2059,FRA-projection,1.454
2060,FRA-projection,1.4443
2061,FRA-projection,1.4351
2062,FRA-projection,1.4218
2063,FRA-projection,1.413
2064,FRA-projection,1.3978
2065,FRA-projection,1.3824
2066,FRA-projection,1.3665
2067,FRA-projection,1.3514
2068,FRA-projection,1.3347
2069,FRA-projection,1.319
2070,FRA-projection,1.3045
