period,series,value
1990,DEU,22
1991,DEU,21.7
1992,DEU,21.8
1993,DEU,21.9
1994,DEU,22.2
1995,DEU,22.5
1996,DEU,22.8
1997,DEU,23
1998,DEU,23.2
1999,DEU,23.3
2000,DEU,23.9
2001,DEU,24.5
2002,DEU,25.2
2003,DEU,25.9
2004,DEU,26.8
2005,DEU,27.8
2006,DEU,28.9
2007,DEU,29.9
2008,DEU,30.4
2009,DEU,30.9
2010,DEU,31.4
2011,DEU,31.4
2012,DEU,31.4
2013,DEU,31.5
2014,DEU,31.6
2015,DEU,32
2016,DEU,32
2017,DEU,32.4
2018,DEU,32.8
2019,DEU,33.2
2020,DEU,33.7
2021,DEU,34.2
2022,DEU,34.7
2023,DEU,34.9
2024,DEU,35.2
2025,DEU,35.9
1990,ESP,20.2
1991,ESP,20.6
1992,ESP,20.9
1993,ESP,21.2
1994,ESP,21.6
1995,ESP,22
1996,ESP,22.4
1997,ESP,22.8
1998,ESP,23.3
1999,ESP,23.7
2000,ESP,24.1
2001,ESP,24.5
2002,ESP,24.8
2003,ESP,24.7
2004,ESP,24.4
2005,ESP,24
2006,ESP,24.2
2007,ESP,24
2008,ESP,23.8
2009,ESP,24.1
2010,ESP,24.6
2011,ESP,25.2
2012,ESP,25.7
2013,ESP,26.3
2014,ESP,27.2
2015,ESP,27.8
2016,ESP,28.2
2017,ESP,28.6
2018,ESP,29
2019,ESP,29.2
2020,ESP,29.5
2021,ESP,29.7
2022,ESP,30.2
2023,ESP,30.4
2024,ESP,30.8
2025,ESP,31.2
2001,EU27,23.4
2002,EU27,23.8
2003,EU27,24.1
2004,EU27,24.4
2005,EU27,24.7
2006,EU27,25.1
2007,EU27,25.4
2008,EU27,25.7
2009,EU27,26
2010,EU27,26.3
2011,EU27,26.6
2012,EU27,27.1
2014,EU27,28.4
2015,EU27,29
2016,EU27,29.6
2017,EU27,30.2
2018,EU27,30.8
2019,EU27,31.4
2020,EU27,32
2021,EU27,32.6
2022,EU27,33.1
2023,EU27,33.4
2024,EU27,33.9
2025,EU27,34.5
1991,FRA,21.2
1992,FRA,21.6
1993,FRA,22
1994,FRA,22.4
1995,FRA,22.7
1996,FRA,23.1
1997,FRA,23.5
1998,FRA,23.8
1999,FRA,24
2000,FRA,24.3
2001,FRA,24.5
2002,FRA,24.7
2003,FRA,24.8
2004,FRA,24.9
2005,FRA,25.1
2006,FRA,25.1
2007,FRA,25.1
2008,FRA,25.2
2009,FRA,25.4
2010,FRA,25.6
2011,FRA,25.9
2012,FRA,26.7
2013,FRA,27.5
2014,FRA,28.3
2015,FRA,29.2
2016,FRA,30.1
2017,FRA,30.9
2018,FRA,31.6
2019,FRA,32.3
2020,FRA,33
2021,FRA,33.4
2022,FRA,33.8
2023,FRA,34.3
2024,FRA,34.9
2025,FRA,35.5
1990,ITA,21.5
1991,ITA,22
1992,ITA,22.4
1993,ITA,22.9
1994,ITA,23.4
1995,ITA,24
1996,ITA,24.7
1997,ITA,25.2
1998,ITA,25.8
1999,ITA,26.3
2000,ITA,26.8
2001,ITA,27.4
2002,ITA,27.9
2003,ITA,28.4
2004,ITA,28.8
2005,ITA,29.4
2006,ITA,30
2007,ITA,30.5
2008,ITA,30.6
2009,ITA,30.8
2010,ITA,31.1
2011,ITA,31.2
2012,ITA,32
2013,ITA,32.6
2014,ITA,33.3
2015,ITA,34
2016,ITA,34.5
2017,ITA,35
2018,ITA,35.4
2019,ITA,35.8
2020,ITA,36.4
2021,ITA,37
2022,ITA,37.5
2023,ITA,37.8
2024,ITA,38.4
2025,ITA,39
