period,series,value
2011,DEU,12.15
2012,DEU,11.77
2013,DEU,11.9
2014,DEU,11.94
2015,DEU,11.68
2016,DEU,11.3
2017,DEU,10.54
2018,DEU,10.61
2019,DEU,10.18
2020,DEU,10.31
2021,DEU,10.28
2022,DEU,11.21
2023,DEU,11.38
2011,ESP,6.74
2012,ESP,7.44
2013,ESP,8.14
2014,ESP,8.17
2015,ESP,7.51
2016,ESP,7.41
2017,ESP,7.51
2018,ESP,7.18
2019,ESP,7.39
2020,ESP,7.89
2021,ESP,7.93
2022,ESP,8.27
2023,ESP,7.95
2011,EU27,11.77
2012,EU27,11.74
2013,EU27,12.24
2014,EU27,11.82
2015,EU27,11.39
2016,EU27,10.75
2017,EU27,10.49
2018,EU27,10.49
2019,EU27,10.19
2020,EU27,10.26
2021,EU27,10.24
2022,EU27,10.58
2023,EU27,10.37
2011,FRA,16.85
2012,FRA,15.75
2013,FRA,15.5
2014,FRA,14.1
2015,FRA,14.13
2016,FRA,13.22
2017,FRA,12.78
2018,FRA,13.48
2019,FRA,13.36
2020,FRA,13.51
2021,FRA,13.32
2022,FRA,13.58
2023,FRA,13
2011,FRA-femmes,7.99
2012,FRA-femmes,7.38
2013,FRA-femmes,7.26
2014,FRA-femmes,6.67
2015,FRA-femmes,6.28
2016,FRA-femmes,5.86
2017,FRA-femmes,5.99
2018,FRA-femmes,6.32
2019,FRA-femmes,6.15
2020,FRA-femmes,6.4
2021,FRA-femmes,6.17
2022,FRA-femmes,6.37
2023,FRA-femmes,6.11
2011,FRA-hommes,27.54
2012,FRA-hommes,25.86
2013,FRA-hommes,25.35
2014,FRA-hommes,22.98
2015,FRA-hommes,23.43
2016,FRA-hommes,21.97
2017,FRA-hommes,20.8
2018,FRA-hommes,21.99
2019,FRA-hommes,21.85
2020,FRA-hommes,21.89
2021,FRA-hommes,21.71
2022,FRA-hommes,22.08
2023,FRA-hommes,20.99
2011,ITA,6.51
2012,ITA,6.68
2013,ITA,6.64
2014,ITA,6.32
2015,ITA,6.07
2016,ITA,5.85
2017,ITA,5.95
2018,ITA,5.71
2019,ITA,5.62
2020,ITA,5.61
2021,ITA,5.89
2022,ITA,5.93
2023,ITA,5.78
