period,series,value
1995,DEU,4.1
1996,DEU,4.2
1997,DEU,4.2
1998,DEU,4.1
1999,DEU,4.1
2000,DEU,4
2001,DEU,4.1
2002,DEU,4.1
2003,DEU,4.1
2004,DEU,4.1
2005,DEU,4.1
2006,DEU,4
2007,DEU,3.9
2008,DEU,3.9
2009,DEU,4.3
2010,DEU,4.3
2011,DEU,4.2
2012,DEU,4.2
2013,DEU,4.2
2014,DEU,4.2
2015,DEU,4.2
2016,DEU,4.1
2017,DEU,4.1
2018,DEU,4.2
2019,DEU,4.3
2020,DEU,4.6
2021,DEU,4.4
2022,DEU,4.4
2023,DEU,4.5
2024,DEU,4.5
1995,ESP,4.3
1996,ESP,4.3
1997,ESP,4.2
1998,ESP,4.1
1999,ESP,4.2
2000,ESP,4.1
2001,ESP,4
2002,ESP,4
2003,ESP,4
2004,ESP,4.1
2005,ESP,4
2006,ESP,4
2007,ESP,4
2008,ESP,4.2
2009,ESP,4.6
2010,ESP,4.5
2011,ESP,4.4
2012,ESP,4.2
2013,ESP,4.1
2014,ESP,4.1
2015,ESP,4.1
2016,ESP,4
2017,ESP,4
2018,ESP,3.9
2019,ESP,4
2020,ESP,4.6
2021,ESP,4.5
2022,ESP,4.3
2023,ESP,4.2
2024,ESP,4.1
2010,EU27,5
2011,EU27,4.9
2012,EU27,4.8
2013,EU27,4.8
2014,EU27,4.8
2015,EU27,4.7
2016,EU27,4.7
2017,EU27,4.6
2018,EU27,4.6
2019,EU27,4.6
2020,EU27,4.9
2021,EU27,4.7
2022,EU27,4.6
2023,EU27,4.7
2024,EU27,4.7
1995,FRA,5.8
1996,FRA,5.7
1997,FRA,5.7
1998,FRA,5.6
1999,FRA,5.6
2000,FRA,5.6
2001,FRA,5.6
2002,FRA,5.7
2003,FRA,5.7
2004,FRA,5.5
2005,FRA,5.5
2006,FRA,5.4
2007,FRA,5.2
2008,FRA,5.3
2009,FRA,5.6
2010,FRA,5.5
2011,FRA,5.3
2012,FRA,5.3
2013,FRA,5.3
2014,FRA,5.3
2015,FRA,5.3
2016,FRA,5.2
2017,FRA,5.2
2018,FRA,5.1
2019,FRA,5
2020,FRA,5.2
2021,FRA,5.1
2022,FRA,5
2023,FRA,5
2024,FRA,5.1
1995,ITA,4.4
1996,ITA,4.5
1997,ITA,4.5
1998,ITA,4.5
1999,ITA,4.5
2000,ITA,4.4
2001,ITA,4.4
2002,ITA,4.5
2003,ITA,4.6
2004,ITA,4.4
2005,ITA,4.5
2006,ITA,4.4
2007,ITA,4.5
2008,ITA,4.3
2009,ITA,4.6
2010,ITA,4.4
2011,ITA,4.1
2012,ITA,4.1
2013,ITA,4.1
2014,ITA,4.1
2015,ITA,4
2016,ITA,3.9
2017,ITA,4
2018,ITA,4
2019,ITA,4
2020,ITA,4.3
2021,ITA,4.2
2022,ITA,4
2023,ITA,3.9
2024,ITA,4
