period,series,value
2012,DEU-college,12178
2013,DEU-college,12371
2014,DEU-college,12724
2015,DEU-college,12820
2016,DEU-college,13046
2017,DEU-college,13267
2018,DEU-college,13589
2019,DEU-college,14160
2020,DEU-college,14562
2021,DEU-college,14808
2022,DEU-college,14463
2023,DEU-college,13994
2012,DEU-lycee,13213
2013,DEU-lycee,13470
2014,DEU-lycee,13731
2015,DEU-lycee,13710
2016,DEU-lycee,13902
2017,DEU-lycee,14361
2018,DEU-lycee,14859
2019,DEU-lycee,15638
2020,DEU-lycee,16084
2021,DEU-lycee,16144
2022,DEU-lycee,16151
2023,DEU-lycee,16364
2005,DEU-primaire,2258
2008,DEU-primaire,2340
2010,DEU-primaire,2604
2011,DEU-primaire,2623
2012,DEU-primaire,9917
2013,DEU-primaire,10062
2014,DEU-primaire,10319
2015,DEU-primaire,10349
2016,DEU-primaire,10478
2017,DEU-primaire,10605
2018,DEU-primaire,10922
2019,DEU-primaire,11485
2020,DEU-primaire,11885
2021,DEU-primaire,12407
2022,DEU-primaire,11755
2023,DEU-primaire,11197
2005,DEU-superieur,20167
2008,DEU-superieur,23205
2010,DEU-superieur,23237
2011,DEU-superieur,22961
2012,DEU-superieur,21938
2013,DEU-superieur,20928
2014,DEU-superieur,20618
2015,DEU-superieur,20409
2016,DEU-superieur,20338
2017,DEU-superieur,20481
2018,DEU-superieur,20906
2019,DEU-superieur,21202
2020,DEU-superieur,21293
2021,DEU-superieur,21240
2022,DEU-superieur,21029
2023,DEU-superieur,21043
2008,ESP-college,11268
2009,ESP-college,11652
2010,ESP-college,11502
2011,ESP-college,11191
2012,ESP-college,10770
2013,ESP-college,9780
2014,ESP-college,9727
2015,ESP-college,10187
2016,ESP-college,10291
2017,ESP-college,10321
2018,ESP-college,10336
2019,ESP-college,10660
2012,ESP-lycee,9486
2013,ESP-lycee,9704
2014,ESP-lycee,9315
2015,ESP-lycee,10128
2016,ESP-lycee,10350
2017,ESP-lycee,10499
2018,ESP-lycee,10465
2019,ESP-lycee,10697
2020,ESP-lycee,10742
2021,ESP-lycee,11043
2022,ESP-lycee,10832
2023,ESP-lycee,11393
2005,ESP-primaire,8082
2008,ESP-primaire,8949
2009,ESP-primaire,9181
2010,ESP-primaire,9120
2011,ESP-primaire,8949
2012,ESP-primaire,8543
2013,ESP-primaire,8208
2014,ESP-primaire,8173
2015,ESP-primaire,8507
2016,ESP-primaire,8696
2017,ESP-primaire,8803
2018,ESP-primaire,8905
2019,ESP-primaire,9063
2020,ESP-primaire,9303
2021,ESP-primaire,9677
2022,ESP-primaire,9585
2023,ESP-primaire,10273
2005,ESP-superieur,14812
2008,ESP-superieur,16671
2009,ESP-superieur,16694
2010,ESP-superieur,16756
2011,ESP-superieur,16276
2012,ESP-superieur,14724
2013,ESP-superieur,14960
2014,ESP-superieur,14514
2015,ESP-superieur,14648
2016,ESP-superieur,14334
2017,ESP-superieur,14505
2018,ESP-superieur,14756
2019,ESP-superieur,15038
2020,ESP-superieur,14718
2021,ESP-superieur,14878
2022,ESP-superieur,14983
2023,ESP-superieur,15877
2005,FRA-college,12505
2008,FRA-college,12542
2009,FRA-college,12706
2010,FRA-college,12896
2011,FRA-college,12735
2012,FRA-college,12899
2013,FRA-college,12817
2014,FRA-college,12923
2015,FRA-college,12848
2016,FRA-college,12883
2017,FRA-college,13114
2018,FRA-college,12995
2019,FRA-college,12979
2020,FRA-college,12442
2021,FRA-college,12933
2022,FRA-college,13089
2008,FRA-lycee,17189
