period,series,value
2000,DEU,11.2
2001,DEU,10.8
2002,DEU,12.2
2003,DEU,13.8
2004,DEU,14.6
2005,DEU,15.6
2006,DEU,13.8
2007,DEU,12.6
2008,DEU,11.8
2009,DEU,12.1
2010,DEU,11.4
2011,DEU,10.2
2012,DEU,9.8
2013,DEU,8.7
2014,DEU,8.9
2015,DEU,8.7
2016,DEU,9.2
2017,DEU,8.6
2018,DEU,8.1
2019,DEU,7.7
2020,DEU,8.9
2021,DEU,9.6
2022,DEU,8.6
2023,DEU,9.4
2024,DEU,9.7
2025,DEU,10.1
2000,ESP,14.4
2001,ESP,14.2
2002,ESP,14.9
2003,ESP,14.8
2004,ESP,14.9
2005,ESP,14.6
2006,ESP,13.3
2007,ESP,13.6
2008,ESP,16.7
2009,ESP,22.3
2010,ESP,22.1
2011,ESP,22.8
2012,ESP,23.6
2013,ESP,24
2014,ESP,22.1
2015,ESP,20.1
2016,ESP,19.1
2017,ESP,17.1
2018,ESP,16.1
2019,ESP,15.7
2020,ESP,18.1
2021,ESP,14.2
2022,ESP,13.5
2023,ESP,13
2024,ESP,12.9
2025,ESP,12
2002,EU27,17.1
2003,EU27,17.1
2004,EU27,16.8
2005,EU27,16.5
2006,EU27,15.2
2007,EU27,14
2008,EU27,13.8
2009,EU27,16
2010,EU27,16.5
2011,EU27,16.5
2012,EU27,17
2013,EU27,17.1
2014,EU27,16.6
2015,EU27,16.1
2016,EU27,15.4
2017,EU27,14.5
2018,EU27,13.7
2019,EU27,13.1
2020,EU27,14.4
2021,EU27,13.8
2022,EU27,12.4
2023,EU27,12.2
2024,EU27,12.1
2025,EU27,11.8
2000,FRA,13.7
2001,FRA,13.2
2002,FRA,13.8
2003,FRA,14
2004,FRA,14.6
2005,FRA,14.9
2006,FRA,15.1
2007,FRA,14.1
2008,FRA,13.9
2009,FRA,16.8
2010,FRA,16.6
2011,FRA,16.3
2012,FRA,16.6
2013,FRA,14.7
2014,FRA,14.9
2015,FRA,16.3
2016,FRA,16.1
2017,FRA,15.5
2018,FRA,15.1
2019,FRA,14.4
2020,FRA,15.4
2021,FRA,14.4
2022,FRA,13.6
2023,FRA,14.1
2024,FRA,14.4
2025,FRA,14.6
2000,ITA,23.1
2001,ITA,22
2002,ITA,20.4
2003,ITA,20.2
2004,ITA,20.5
2005,ITA,21.2
2006,ITA,20.6
2007,ITA,20.1
2008,ITA,20.6
2009,ITA,22.3
2010,ITA,24.1
2011,ITA,25
2012,ITA,26.9
2013,ITA,29.1
2014,ITA,29
2015,ITA,27.9
2016,ITA,26
2017,ITA,25.7
2018,ITA,24.8
2019,ITA,23
2020,ITA,25
2021,ITA,24.5
2022,ITA,19.9
2023,ITA,17.1
2024,ITA,16.2
2025,ITA,13.5
