period,series,value
2000,FRA-ecrit-difficulte,15.2
2003,FRA-ecrit-difficulte,17.5
2006,FRA-ecrit-difficulte,21.7
2009,FRA-ecrit-difficulte,19.8
2012,FRA-ecrit-difficulte,18.9
2015,FRA-ecrit-difficulte,21.5
2018,FRA-ecrit-difficulte,20.9
2022,FRA-ecrit-difficulte,26.9
2025,FRA-ecrit-difficulte,32.7
2000,FRA-ecrit-performants,8.5
2003,FRA-ecrit-performants,7.4
2006,FRA-ecrit-performants,7.3
2009,FRA-ecrit-performants,9.6
2012,FRA-ecrit-performants,12.9
2015,FRA-ecrit-performants,12.5
2018,FRA-ecrit-performants,9.2
2022,FRA-ecrit-performants,7.1
2025,FRA-ecrit-performants,4.5
2003,FRA-maths-difficulte,16.6
2006,FRA-maths-difficulte,22.3
2009,FRA-maths-difficulte,22.5
2012,FRA-maths-difficulte,22.4
2015,FRA-maths-difficulte,23.5
2018,FRA-maths-difficulte,21.3
2022,FRA-maths-difficulte,28.8
2025,FRA-maths-difficulte,35.7
2003,FRA-maths-performants,15.1
2006,FRA-maths-performants,12.5
2009,FRA-maths-performants,13.7
2012,FRA-maths-performants,12.9
2015,FRA-maths-performants,11.4
2018,FRA-maths-performants,11
2022,FRA-maths-performants,7.4
2025,FRA-maths-performants,5.2
2000,OCDE-ecrit-difficulte,18.2
2003,OCDE-ecrit-difficulte,18.2
2006,OCDE-ecrit-difficulte,19.3
2009,OCDE-ecrit-difficulte,17.1
2012,OCDE-ecrit-difficulte,16.8
2015,OCDE-ecrit-difficulte,18.9
2018,OCDE-ecrit-difficulte,20.9
2022,OCDE-ecrit-difficulte,24.2
2025,OCDE-ecrit-difficulte,29.4
2000,OCDE-ecrit-performants,9.4
2003,OCDE-ecrit-performants,8.7
2006,OCDE-ecrit-performants,9.2
2009,OCDE-ecrit-performants,8.4
2012,OCDE-ecrit-performants,9.1
2015,OCDE-ecrit-performants,8.9
2018,OCDE-ecrit-performants,9.3
2022,OCDE-ecrit-performants,7.9
2025,OCDE-ecrit-performants,6.1
2003,OCDE-maths-difficulte,20.6
2006,OCDE-maths-difficulte,20
2009,OCDE-maths-difficulte,19.8
2012,OCDE-maths-difficulte,21.1
2015,OCDE-maths-difficulte,21.4
2018,OCDE-maths-difficulte,21.2
2022,OCDE-maths-difficulte,27.6
2025,OCDE-maths-difficulte,32
2003,OCDE-maths-performants,15
2006,OCDE-maths-performants,14
2009,OCDE-maths-performants,13.7
2012,OCDE-maths-performants,13.4
2015,OCDE-maths-performants,11.6
2018,OCDE-maths-performants,11.8
2022,OCDE-maths-performants,9.6
2025,OCDE-maths-performants,8.5
