period,series,value
2006,DEU-ecrit,495
2009,DEU-ecrit,497
2012,DEU-ecrit,508
2015,DEU-ecrit,509
2018,DEU-ecrit,498
2022,DEU-ecrit,480
2025,DEU-ecrit,465
2006,DEU-maths,504
2009,DEU-maths,513
2012,DEU-maths,514
2015,DEU-maths,506
2018,DEU-maths,500
2022,DEU-maths,475
2025,DEU-maths,464
2006,DEU-sciences,516
2009,DEU-sciences,520
2012,DEU-sciences,524
2015,DEU-sciences,509
2018,DEU-sciences,503
2022,DEU-sciences,492
2025,DEU-sciences,486
2006,ESP-ecrit,461
2009,ESP-ecrit,481
2012,ESP-ecrit,488
2015,ESP-ecrit,496
2022,ESP-ecrit,474
2025,ESP-ecrit,451
2006,ESP-maths,480
2009,ESP-maths,483
2012,ESP-maths,484
2015,ESP-maths,486
2022,ESP-maths,473
2025,ESP-maths,457
2006,ESP-sciences,488
2009,ESP-sciences,488
2012,ESP-sciences,496
2015,ESP-sciences,493
2022,ESP-sciences,485
2025,ESP-sciences,477
2006,FRA-ecrit,488
2009,FRA-ecrit,496
2012,FRA-ecrit,505
2015,FRA-ecrit,499
2018,FRA-ecrit,493
2022,FRA-ecrit,474
2025,FRA-ecrit,456
2006,FRA-maths,496
2009,FRA-maths,497
2012,FRA-maths,495
2015,FRA-maths,493
2018,FRA-maths,495
2022,FRA-maths,474
2025,FRA-maths,458
2006,FRA-sciences,495
2009,FRA-sciences,498
2012,FRA-sciences,499
2015,FRA-sciences,495
2018,FRA-sciences,493
2022,FRA-sciences,487
2025,FRA-sciences,483
2006,GBR-ecrit,495
2009,GBR-ecrit,494
2012,GBR-ecrit,499
2015,GBR-ecrit,498
2018,GBR-ecrit,504
2022,GBR-ecrit,494
2025,GBR-ecrit,494
2006,GBR-maths,495
2009,GBR-maths,492
2012,GBR-maths,494
2015,GBR-maths,492
2018,GBR-maths,502
2022,GBR-maths,489
2025,GBR-maths,488
2006,GBR-sciences,515
2009,GBR-sciences,514
2012,GBR-sciences,514
2015,GBR-sciences,509
2018,GBR-sciences,505
2022,GBR-sciences,500
2025,GBR-sciences,511
2006,ITA-ecrit,469
2009,ITA-ecrit,486
2012,ITA-ecrit,490
2015,ITA-ecrit,485
2018,ITA-ecrit,476
2022,ITA-ecrit,482
2025,ITA-ecrit,474
2006,ITA-maths,462
2009,ITA-maths,483
2012,ITA-maths,485
2015,ITA-maths,490
2018,ITA-maths,487
2022,ITA-maths,471
2025,ITA-maths,468
2006,ITA-sciences,475
2009,ITA-sciences,489
2012,ITA-sciences,494
2015,ITA-sciences,481
2018,ITA-sciences,468
2022,ITA-sciences,477
2025,ITA-sciences,483
2006,JPN-ecrit,498
2009,JPN-ecrit,520
2012,JPN-ecrit,538
2015,JPN-ecrit,516
2018,JPN-ecrit,504
2022,JPN-ecrit,516
2025,JPN-ecrit,503
2006,JPN-maths,523
2009,JPN-maths,529
2012,JPN-maths,536
2015,JPN-maths,532
2018,JPN-maths,527
2022,JPN-maths,536
2025,JPN-maths,525
2006,JPN-sciences,531
2009,JPN-sciences,539
2012,JPN-sciences,547
2015,JPN-sciences,538
2018,JPN-sciences,529
2022,JPN-sciences,547
2025,JPN-sciences,538
2006,OCDE-ecrit,495
2009,OCDE-ecrit,499
2012,OCDE-ecrit,501
2015,OCDE-ecrit,497
2018,OCDE-ecrit,493
2022,OCDE-ecrit,482
2025,OCDE-ecrit,466
2006,OCDE-maths,501
2009,OCDE-maths,502
2012,OCDE-maths,499
2015,OCDE-maths,496
2018,OCDE-maths,496
2022,OCDE-maths,480
2025,OCDE-maths,469
2006,OCDE-sciences,503
2009,OCDE-sciences,506
2012,OCDE-sciences,505
2015,OCDE-sciences,497
2018,OCDE-sciences,493
2022,OCDE-sciences,491
2025,OCDE-sciences,486
2009,USA-ecrit,500
2012,USA-ecrit,498
2015,USA-ecrit,497
2018,USA-ecrit,505
2022,USA-ecrit,504
2025,USA-ecrit,490
2006,USA-maths,474
2009,USA-maths,487
2012,USA-maths,481
2015,USA-maths,470
2018,USA-maths,478
2022,USA-maths,465
2025,USA-maths,463
2006,USA-sciences,489
2009,USA-sciences,502
2012,USA-sciences,497
2015,USA-sciences,496
2018,USA-sciences,502
2022,USA-sciences,499
2025,USA-sciences,502
