period,series,value
2005,DEU-college,87.5
2006,DEU-college,86.3
2007,DEU-college,89.9
2008,DEU-college,90.2
2009,DEU-college,90.2
2010,DEU-college,91.8
2011,DEU-college,93.2
2012,DEU-college,93.5
2013,DEU-college,93.9
2014,DEU-college,95.6
2015,DEU-college,100
2016,DEU-college,101.1
2017,DEU-college,101.6
2018,DEU-college,102.2
2019,DEU-college,103.7
2020,DEU-college,105.8
2021,DEU-college,104.4
2022,DEU-college,99.8
2023,DEU-college,96.8
2024,DEU-college,97
2025,DEU-college,99.2
2005,DEU-primaire,87.8
2006,DEU-primaire,86.6
2007,DEU-primaire,89.7
2008,DEU-primaire,89.7
2009,DEU-primaire,88.7
2010,DEU-primaire,89.9
2011,DEU-primaire,92
2012,DEU-primaire,93.1
2013,DEU-primaire,93.8
2014,DEU-primaire,95.6
2015,DEU-primaire,100
2016,DEU-primaire,101
2017,DEU-primaire,101.5
2018,DEU-primaire,101.9
2019,DEU-primaire,103.4
2020,DEU-primaire,104.9
2021,DEU-primaire,104
2022,DEU-primaire,99.7
2023,DEU-primaire,96.4
2024,DEU-primaire,96.9
2025,DEU-primaire,98.6
2005,ESP-college,103.7
2006,ESP-college,104.5
2007,ESP-college,103
2008,ESP-college,109.1
2009,ESP-college,113.4
2010,ESP-college,111.4
2011,ESP-college,105.6
2012,ESP-college,100.8
2013,ESP-college,99.3
2014,ESP-college,99
2015,ESP-college,100
2016,ESP-college,100.2
2017,ESP-college,99.9
2018,ESP-college,100.3
2019,ESP-college,102.4
2020,ESP-college,103.5
2021,ESP-college,100.6
2022,ESP-college,97.8
2023,ESP-college,97.4
2024,ESP-college,97.7
2025,ESP-college,100.4
2005,ESP-primaire,100.8
2006,ESP-primaire,101.7
2007,ESP-primaire,100.2
2008,ESP-primaire,106.5
2009,ESP-primaire,111.1
2010,ESP-primaire,109.2
2011,ESP-primaire,104.3
2012,ESP-primaire,101.4
2013,ESP-primaire,99.6
2014,ESP-primaire,98.9
2015,ESP-primaire,100
2016,ESP-primaire,100.5
2017,ESP-primaire,100.1
2018,ESP-primaire,100.4
2019,ESP-primaire,102.4
2020,ESP-primaire,103.6
2021,ESP-primaire,100.6
2022,ESP-primaire,97.8
2023,ESP-primaire,97.2
2024,ESP-primaire,97.3
2025,ESP-primaire,100
2000,FRA-college,104.6
2005,FRA-college,100.4
2006,FRA-college,99.8
2007,FRA-college,98.6
2008,FRA-college,98.6
2009,FRA-college,99.5
2010,FRA-college,98.8
2011,FRA-college,97.7
2012,FRA-college,96.8
2013,FRA-college,96.4
2014,FRA-college,96.2
2015,FRA-college,100
2016,FRA-college,99.6
2017,FRA-college,100.4
2018,FRA-college,100.1
2019,FRA-college,99.8
2020,FRA-college,103.5
2021,FRA-college,101.4
2022,FRA-college,96.9
2023,FRA-college,96.2
2024,FRA-college,99.8
2025,FRA-college,99.7
2000,FRA-primaire,107.5
2005,FRA-primaire,103.2
2006,FRA-primaire,102.5
2007,FRA-primaire,101.4
2008,FRA-primaire,101.4
2009,FRA-primaire,102.3
2010,FRA-primaire,101.6
2011,FRA-primaire,100.5
2012,FRA-primaire,99.5
2013,FRA-primaire,99.1
2014,FRA-primaire,100.2
2015,FRA-primaire,100
2016,FRA-primaire,99.6
2017,FRA-primaire,103.1
2018,FRA-primaire,102.6
2019,FRA-primaire,102.3
2020,FRA-primaire,102.7
2021,FRA-primaire,100.7
2022,FRA-primaire,96.3
2023,FRA-primaire,95.4
2024,FRA-primaire,99.5
2025,FRA-primaire,99.3
2000,ITA-college,99.8
2005,ITA-college,105.4
2006,ITA-college,104
2007,ITA-college,102.3
2008,ITA-college,103.6
2009,ITA-college,106.6
2010,ITA-college,105.3
2011,ITA-college,103.1
2012,ITA-college,101.2
2013,ITA-college,100.5
2014,ITA-college,100.3
2015,ITA-college,100
2016,ITA-college,99.1
2017,ITA-college,97.8
2018,ITA-college,99.1
2019,ITA-college,99.8
2020,ITA-college,99.6
2021,ITA-college,95.6
2022,ITA-college,90.3
2023,ITA-college,90.8
2024,ITA-college,89.1
2025,ITA-college,88.9
2000,ITA-primaire,99.3
2005,ITA-primaire,105.4
2006,ITA-primaire,104
2007,ITA-primaire,102.3
2008,ITA-primaire,103.6
2009,ITA-primaire,106.6
2010,ITA-primaire,105.3
2011,ITA-primaire,103.1
2012,ITA-primaire,101.2
2013,ITA-primaire,100.5
2014,ITA-primaire,100.3
2015,ITA-primaire,100
2016,ITA-primaire,99.1
2017,ITA-primaire,97.8
2018,ITA-primaire,99.2
2019,ITA-primaire,99.8
2020,ITA-primaire,99.8
2021,ITA-primaire,95.8
2022,ITA-primaire,90.5
2023,ITA-primaire,91
2024,ITA-primaire,89.4
2025,ITA-primaire,89.1
2015,OCDE-college,100
2016,OCDE-college,101.3
2017,OCDE-college,101.8
2018,OCDE-college,102.6
2019,OCDE-college,106.4
2020,OCDE-college,107.6
2021,OCDE-college,104.3
2022,OCDE-college,99.4
2023,OCDE-college,99.8
2024,OCDE-college,102.5
2015,OCDE-primaire,100
2016,OCDE-primaire,101.6
2017,OCDE-primaire,102.2
2018,OCDE-primaire,103.2
2019,OCDE-primaire,107.1
2020,OCDE-primaire,108.3
2021,OCDE-primaire,104.9
2022,OCDE-primaire,100.5
2023,OCDE-primaire,100.9
2024,OCDE-primaire,103.6
2000,USA-college,92.2
2005,USA-college,88.9
2006,USA-college,89.9
2007,USA-college,89.7
2008,USA-college,96.2
2009,USA-college,96.8
2010,USA-college,95.7
2011,USA-college,95.5
2012,USA-college,98.8
2013,USA-college,99.1
2014,USA-college,99.9
2015,USA-college,100
2016,USA-college,97.9
2017,USA-college,97.9
2018,USA-college,97.3
2019,USA-college,98
2020,USA-college,97
2021,USA-college,94.2
2022,USA-college,92
2023,USA-college,94.8
2024,USA-college,95.4
2025,USA-college,97.5
2000,USA-primaire,82.2
2005,USA-primaire,99.4
2006,USA-primaire,100.5
2007,USA-primaire,100.4
2008,USA-primaire,93.2
2009,USA-primaire,93.8
2010,USA-primaire,92.7
2011,USA-primaire,92.5
2012,USA-primaire,98.8
2013,USA-primaire,99.1
2014,USA-primaire,99.9
2015,USA-primaire,100
2016,USA-primaire,97.4
2017,USA-primaire,97.3
2018,USA-primaire,93.9
2019,USA-primaire,94.6
2020,USA-primaire,93.7
2021,USA-primaire,90.9
2022,USA-primaire,90.2
2023,USA-primaire,92.9
2024,USA-primaire,93.5
2025,USA-primaire,95.5
