period,series,value
2000,DEU,14.6
2001,DEU,12.3
2002,DEU,12.5
2003,DEU,12.8
2004,DEU,12.1
2005,DEU,13.5
2006,DEU,13.7
2007,DEU,12.5
2008,DEU,11.8
2009,DEU,11.1
2010,DEU,11.8
2011,DEU,11.6
2012,DEU,10.5
2013,DEU,9.8
2014,DEU,9.5
2015,DEU,10.1
2016,DEU,10.3
2017,DEU,10.1
2018,DEU,10.3
2019,DEU,10.3
2020,DEU,10.1
2021,DEU,12.3
2022,DEU,12.5
2023,DEU,13
2024,DEU,13.5
2025,DEU,13.1
2000,ESP,29.1
2001,ESP,29.7
2002,ESP,30.9
2003,ESP,31.7
2004,ESP,32.2
2005,ESP,31
2006,ESP,30.3
2007,ESP,30.8
2008,ESP,31.7
2009,ESP,30.9
2010,ESP,28.2
2011,ESP,26.3
2012,ESP,24.7
2013,ESP,23.6
2014,ESP,21.9
2015,ESP,20
2016,ESP,19
2017,ESP,18.3
2018,ESP,17.9
2019,ESP,17.3
2020,ESP,16
2021,ESP,13.3
2022,ESP,13.9
2023,ESP,13.7
2024,ESP,13
2025,ESP,12.8
2002,EU27,16.9
2003,EU27,16.4
2004,EU27,16
2005,EU27,15.6
2006,EU27,15.2
2007,EU27,14.7
2008,EU27,14.3
2009,EU27,14
2010,EU27,13.8
2011,EU27,13.2
2012,EU27,12.6
2013,EU27,11.8
2014,EU27,11.1
2015,EU27,11
2016,EU27,10.6
2017,EU27,10.5
2018,EU27,10.5
2019,EU27,10.1
2020,EU27,10
2021,EU27,9.7
2022,EU27,9.6
2023,EU27,9.6
2024,EU27,9.6
2025,EU27,9.1
2000,FRA,13.3
2001,FRA,13.5
2002,FRA,13.4
2003,FRA,12.7
2004,FRA,12.3
2005,FRA,12.5
2006,FRA,12.7
2007,FRA,12.8
2008,FRA,11.8
2009,FRA,12.4
2010,FRA,12.7
2011,FRA,12.3
2012,FRA,11.8
2013,FRA,9.7
2014,FRA,8.8
2015,FRA,9.2
2016,FRA,8.8
2017,FRA,8.8
2018,FRA,8.7
2019,FRA,8.2
2020,FRA,8
2021,FRA,7.8
2022,FRA,7.6
2023,FRA,7.6
2024,FRA,7.9
2025,FRA,7.2
2000,ITA,25.1
2001,ITA,25.9
2002,ITA,24.2
2003,ITA,23
2004,ITA,23.1
2005,ITA,22.1
2006,ITA,20.4
2007,ITA,19.5
2008,ITA,19.6
2009,ITA,19.1
2010,ITA,18.6
2011,ITA,17.8
2012,ITA,17.3
2013,ITA,16.8
2014,ITA,15
2015,ITA,14.7
2016,ITA,13.8
2017,ITA,14
2018,ITA,14.3
2019,ITA,13.3
2020,ITA,14.2
2021,ITA,12.7
2022,ITA,11.5
2023,ITA,10.5
2024,ITA,9.8
2025,ITA,8.2
