period,series,value
2000,commerce,57.2
2001,commerce,55.9
2002,commerce,57.4
2003,commerce,66.1
2004,commerce,73.5
2005,commerce,70.8
2006,commerce,72.1
2007,commerce,83.3
2008,commerce,82.6
2009,commerce,133.3
2010,commerce,133.9
2011,commerce,118.9
2012,commerce,115.3
2013,commerce,121.4
2014,commerce,120.1
2015,commerce,116.4
2016,commerce,126.1
2017,commerce,136.7
2018,commerce,145.6
2019,commerce,153.6
2020,commerce,175.2
2021,commerce,173.5
2022,commerce,147.8
2023,commerce,146.6
2024,commerce,155.3
2025,commerce,172.6
2000,construction,38.1
2001,construction,37.4
2002,construction,36.2
2003,construction,40.6
2004,construction,48.5
2005,construction,49.8
2006,construction,53.8
2007,construction,60.2
2008,construction,58.4
2009,construction,81.7
2010,construction,93.5
2011,construction,83.1
2012,construction,85.4
2013,construction,79.9
2014,construction,77.5
2015,construction,66.1
2016,construction,64.5
2017,construction,65.6
2018,construction,70.7
2019,construction,82.7
2020,construction,83.5
2021,construction,92.6
2022,construction,95.9
2023,construction,88.3
2024,construction,89
2025,construction,85.6
2000,enseignement-sante,20.7
2001,enseignement-sante,21.3
2002,enseignement-sante,22.6
2003,enseignement-sante,24.1
2004,enseignement-sante,24.4
2005,enseignement-sante,24.8
2006,enseignement-sante,26.7
2007,enseignement-sante,31
2008,enseignement-sante,34.6
2009,enseignement-sante,54
2010,enseignement-sante,59.1
2011,enseignement-sante,57.8
2012,enseignement-sante,61.3
2013,enseignement-sante,65.3
2014,enseignement-sante,68.5
2015,enseignement-sante,70.3
2016,enseignement-sante,73.3
2017,enseignement-sante,76.3
2018,enseignement-sante,80.3
2019,enseignement-sante,88.2
2020,enseignement-sante,82.4
2021,enseignement-sante,101
2022,enseignement-sante,107.4
2023,enseignement-sante,100.9
2024,enseignement-sante,103.8
2025,enseignement-sante,107.4
2000,ensemble,236.2
2001,ensemble,233.4
2002,ensemble,235.3
2003,ensemble,261.2
2004,ensemble,293.6
2005,ensemble,296.5
2006,ensemble,312.6
2007,ensemble,357.2
2008,ensemble,363.4
2009,ensemble,599.6
2010,ensemble,640.4
2011,ensemble,568.5
2012,ensemble,567.3
2013,ensemble,566.8
2014,ensemble,582.7
2015,ensemble,564.7
2016,ensemble,603.5
2017,ensemble,657.6
2018,ensemble,749.3
2019,ensemble,864.6
2020,ensemble,900.2
2021,ensemble,1050.5
2022,ensemble,1062
2023,ensemble,1051.5
2024,ensemble,1111.2
2025,ensemble,1165.8
2000,hebergement-restauration,13.1
2001,hebergement-restauration,13.1
2002,hebergement-restauration,14
2003,hebergement-restauration,14.9
2004,hebergement-restauration,16.1
2005,hebergement-restauration,15.3
2006,hebergement-restauration,16.1
2007,hebergement-restauration,18.4
2008,hebergement-restauration,20.4
2009,hebergement-restauration,26.1
2010,hebergement-restauration,27.2
2011,hebergement-restauration,25.7
2012,hebergement-restauration,26.1
2013,hebergement-restauration,27.4
2014,hebergement-restauration,30.3
2015,hebergement-restauration,28.9
2016,hebergement-restauration,31.3
2017,hebergement-restauration,32.7
2018,hebergement-restauration,32.5
2019,hebergement-restauration,37.6
2020,hebergement-restauration,38.9
2021,hebergement-restauration,39.7
2022,hebergement-restauration,37.3
2023,hebergement-restauration,39.5
2024,hebergement-restauration,44.4
2025,hebergement-restauration,47.3
2000,hors-micro,236.2
2001,hors-micro,233.4
2002,hors-micro,235.3
2003,hors-micro,261.2
2004,hors-micro,293.6
2005,hors-micro,296.5
2006,hors-micro,312.6
2007,hors-micro,357.2
2008,hors-micro,363.4
2009,hors-micro,284.1
2010,hors-micro,285.7
2011,hors-micro,280.9
2012,hors-micro,264
2013,hors-micro,295
2014,hors-micro,301.3
2015,hors-micro,288.3
2016,hors-micro,318.3
2017,hors-micro,340.1
2018,hors-micro,350.1
2019,hors-micro,365.8
2020,hors-micro,351.9
2021,hors-micro,411.7
2022,hors-micro,414.9
2023,hors-micro,384
2024,hors-micro,395
2025,hors-micro,407.3
2000,industrie,13.9
2001,industrie,13.7
2002,industrie,13.2
2003,industrie,14
2004,industrie,15
2005,industrie,14.8
2006,industrie,15
2007,industrie,17.9
2008,industrie,15.9
2009,industrie,30.6
2010,industrie,33
2011,industrie,27.9
2012,industrie,28
2013,industrie,28.7
2014,industrie,31.2
2015,industrie,26.5
2016,industrie,26
2017,industrie,26.7
2018,industrie,28.8
2019,industrie,38.3
2020,industrie,40.9
2021,industrie,51.5
2022,industrie,60
2023,industrie,63.1
2024,industrie,70.7
2025,industrie,71.1
