period,series,value
1990,ensemble,46.1
1991,ensemble,52.9
1992,ensemble,59.6
1993,ensemble,63.7
1994,ensemble,61
1995,ensemble,58.9
1996,ensemble,59.8
1997,ensemble,59
1998,ensemble,52
1999,ensemble,48.3
2000,ensemble,44
2001,ensemble,43.3
2002,ensemble,45
2003,ensemble,47.2
2004,ensemble,48.4
2005,ensemble,49.4
2006,ensemble,47.9
2007,ensemble,51.4
2008,ensemble,55.6
2009,ensemble,63.3
2010,ensemble,60.4
2011,ensemble,59.6
2012,ensemble,61.2
2013,ensemble,62.7
2014,ensemble,62.6
2015,ensemble,63.1
2016,ensemble,58.2
2017,ensemble,54.6
2018,ensemble,54
2019,ensemble,51.1
2020,ensemble,31.2
2021,ensemble,27.6
2022,ensemble,41.2
2023,ensemble,56.3
2024,ensemble,66.1
2025,ensemble,68.5
