period,series,value
1958,legislative,22.82
1962,legislative,31.31
1967,legislative,18.88
1968,legislative,20.04
1973,legislative,18.69
1978,legislative,17.08
1981,legislative,29.14
1986,legislative,21.51
1988,legislative,34.28
1993,legislative,31.09
1997,legislative,32
2002,legislative,35.59
2007,legislative,39.57
2012,legislative,42.78
2017,legislative,51.3
2022,legislative,52.49
2024,legislative,33.29
1965,presidentielle,14.98
1969,presidentielle,21.77
1974,presidentielle,15.1
1981,presidentielle,18.52
1988,presidentielle,17.98
1995,presidentielle,20.52
2002,presidentielle,28.07
2007,presidentielle,16.23
2012,presidentielle,20.52
2017,presidentielle,22.23
2022,presidentielle,26.31
