period,series,value
1995,DEU,851
1996,DEU,835
1997,DEU,811
1998,DEU,820
1999,DEU,783
2000,DEU,822
2001,DEU,804
2002,DEU,802
2003,DEU,788
2004,DEU,773
2005,DEU,770
2006,DEU,792
2007,DEU,823
2008,DEU,842
2009,DEU,796
2010,DEU,781
2011,DEU,847
2012,DEU,798
2013,DEU,644
2014,DEU,587
2015,DEU,525
2016,DEU,460
2017,DEU,417
2018,DEU,383
2019,DEU,338
2020,DEU,269
2021,DEU,262
2022,DEU,337
2023,DEU,442
2024,DEU,549
2025,DEU,593
1995,ESP,584
1996,ESP,638
1997,ESP,590
1998,ESP,559
1999,ESP,503
2000,ESP,505
2001,ESP,510
2002,ESP,476
2003,ESP,438
2004,ESP,398
2005,ESP,371
2006,ESP,364
2007,ESP,376
2008,ESP,382
2009,ESP,396
2010,ESP,439
2011,ESP,568
2012,ESP,670
2013,ESP,784
2014,ESP,790
2015,ESP,719
2016,ESP,672
2017,ESP,636
2018,ESP,633
2019,ESP,599
2020,ESP,531
2021,ESP,552
2022,ESP,665
2023,ESP,735
2024,ESP,794
2025,ESP,817
1995,EU27,789
1996,EU27,834
1997,EU27,782
1998,EU27,742
1999,EU27,684
2000,EU27,694
2001,EU27,699
2002,EU27,675
2003,EU27,641
2004,EU27,628
2005,EU27,624
2006,EU27,632
2007,EU27,675
2008,EU27,708
2009,EU27,658
2010,EU27,667
2011,EU27,741
2012,EU27,750
2013,EU27,697
2014,EU27,663
2015,EU27,611
2016,EU27,571
2017,EU27,541
2018,EU27,528
2019,EU27,487
2020,EU27,431
2021,EU27,449
2022,EU27,576
2023,EU27,658
2024,EU27,747
2025,EU27,792
1995,FRA,710
1996,FRA,764
1997,FRA,759
1998,FRA,754
1999,FRA,712
2000,FRA,718
2001,FRA,763
2002,FRA,775
2003,FRA,752
2004,FRA,760
2005,FRA,759
2006,FRA,758
2007,FRA,816
2008,FRA,891
2009,FRA,764
2010,FRA,782
2011,FRA,860
2012,FRA,840
2013,FRA,751
2014,FRA,714
2015,FRA,672
2016,FRA,636
2017,FRA,613
2018,FRA,620
2019,FRA,547
2020,FRA,440
2021,FRA,512
2022,FRA,746
2023,FRA,779
2024,FRA,874
2025,FRA,966
1995,ITA,1755
1996,ITA,2009
1997,ITA,1762
1998,ITA,1565
1999,ITA,1318
2000,ITA,1334
2001,ITA,1388
2002,ITA,1287
2003,ITA,1205
2004,ITA,1154
2005,ITA,1156
2006,ITA,1179
2007,ITA,1305
2008,ITA,1363
2009,ITA,1167
2010,ITA,1151
2011,ITA,1276
2012,ITA,1389
2013,ITA,1288
2014,ITA,1234
2015,ITA,1131
2016,ITA,1102
2017,ITA,1089
2018,ITA,1075
2019,ITA,1008
2020,ITA,961
2021,ITA,1065
2022,ITA,1383
2023,ITA,1319
2024,ITA,1450
2025,ITA,1478
