period,series,value
1995,DEU,69.5
1996,DEU,68.4
1997,DEU,66.5
1998,DEU,67.3
1999,DEU,64.3
2000,DEU,67.5
2001,DEU,66.2
2002,DEU,66.1
2003,DEU,65.1
2004,DEU,63.8
2005,DEU,63.5
2006,DEU,65.2
2007,DEU,67.7
2008,DEU,69.1
2009,DEU,65.2
2010,DEU,63.9
2011,DEU,68
2012,DEU,64.2
2013,DEU,51.9
2014,DEU,47.5
2015,DEU,42.9
2016,DEU,37.9
2017,DEU,34.5
2018,DEU,31.8
2019,DEU,28.1
2020,DEU,22.4
2021,DEU,21.8
2022,DEU,28
2023,DEU,36.8
2024,DEU,45.8
2025,DEU,49.5
1995,ESP,23.2
1996,ESP,25.5
1997,ESP,23.6
1998,ESP,22.5
1999,ESP,20.3
2000,ESP,20.5
2001,ESP,20.8
2002,ESP,19.7
2003,ESP,18.5
2004,ESP,17.1
2005,ESP,16.2
2006,ESP,16.2
2007,ESP,17
2008,ESP,17.5
2009,ESP,18.4
2010,ESP,20.4
2011,ESP,26.6
2012,ESP,31.4
2013,ESP,36.6
2014,ESP,36.7
2015,ESP,33.4
2016,ESP,31.2
2017,ESP,29.6
2018,ESP,29.6
2019,ESP,28.2
2020,ESP,25.1
2021,ESP,26.2
2022,ESP,31.8
2023,ESP,35.6
2024,ESP,38.8
2025,ESP,40.3
1995,EU27,334.9
1996,EU27,354.3
1997,EU27,332.6
1998,EU27,317.2
1999,EU27,292.9
2000,EU27,297.6
2001,EU27,300.3
2002,EU27,290.7
2003,EU27,276.9
2004,EU27,272.2
2005,EU27,271.7
2006,EU27,276.1
2007,EU27,295.9
2008,EU27,311.2
2009,EU27,290.2
2010,EU27,294.5
2011,EU27,326.9
2012,EU27,331.2
2013,EU27,307.8
2014,EU27,293.3
2015,EU27,270.9
2016,EU27,253.8
2017,EU27,240.8
2018,EU27,235.3
2019,EU27,217.5
2020,EU27,192.6
2021,EU27,200.1
2022,EU27,257.6
2023,EU27,295.4
2024,EU27,336.1
2025,EU27,357.5
1995,FRA,42.2
1996,FRA,45.5
1997,FRA,45.4
1998,FRA,45.3
1999,FRA,42.9
2000,FRA,43.6
2001,FRA,46.7
2002,FRA,47.8
2003,FRA,46.7
2004,FRA,47.5
2005,FRA,47.8
2006,FRA,48.1
2007,FRA,52.1
2008,FRA,57.2
2009,FRA,49.3
2010,FRA,50.7
2011,FRA,56
2012,FRA,54.9
2013,FRA,49.4
2014,FRA,47.3
2015,FRA,44.7
2016,FRA,42.4
2017,FRA,41
2018,FRA,41.7
2019,FRA,36.9
2020,FRA,29.7
2021,FRA,34.8
2022,FRA,50.9
2023,FRA,53.4
2024,FRA,60.1
2025,FRA,66.6
1995,ITA,99.8
1996,ITA,114.2
1997,ITA,100.2
1998,ITA,89
1999,ITA,75
2000,ITA,76
2001,ITA,79.1
2002,ITA,73.5
2003,ITA,69.1
2004,ITA,66.7
2005,ITA,67.2
2006,ITA,68.9
2007,ITA,76.7
2008,ITA,80.7
2009,ITA,69.5
2010,ITA,68.9
2011,ITA,76.6
2012,ITA,83.6
2013,ITA,77.7
2014,ITA,74.4
2015,ITA,68.1
2016,ITA,66.3
2017,ITA,65.3
2018,ITA,64.4
2019,ITA,60.2
2020,ITA,57.1
2021,ITA,63
2022,ITA,81.6
2023,ITA,77.8
2024,ITA,85.5
2025,ITA,87.1
