period,series,value
1990,CHN,0.23
1991,CHN,0.35
1992,CHN,0.52
1993,CHN,0.27
1994,CHN,0.34
1995,CHN,0.51
1996,CHN,0.54
1997,CHN,0.74
1998,CHN,0.85
1999,CHN,0.65
2000,CHN,0.72
2001,CHN,0.71
2002,CHN,0.55
2003,CHN,0.69
2004,CHN,0.46
2005,CHN,0.43
2006,CHN,0.44
2007,CHN,0.38
2008,CHN,0.4
2009,CHN,0.42
2010,CHN,0.44
2011,CHN,0.48
2012,CHN,0.48
2013,CHN,0.5
2014,CHN,0.55
2015,CHN,0.5
2016,CHN,0.67
2017,CHN,0.74
2018,CHN,0.79
2019,CHN,0.84
2020,CHN,0.94
2021,CHN,0.89
2022,CHN,0.92
2023,CHN,0.91
2024,CHN,0.95
1990,FRA,2.65
1991,FRA,2.78
1992,FRA,2.97
1993,FRA,3.24
1994,FRA,3.32
1995,FRA,3.44
1996,FRA,3.57
1997,FRA,3.45
1998,FRA,3.31
1999,FRA,2.99
2000,FRA,2.88
2001,FRA,3.02
2002,FRA,2.95
2003,FRA,2.82
2004,FRA,2.77
2005,FRA,2.7
2006,FRA,2.6
2007,FRA,2.7
2008,FRA,2.93
2009,FRA,2.44
2010,FRA,2.44
2011,FRA,2.72
2012,FRA,2.63
2013,FRA,2.33
2014,FRA,2.2
2015,FRA,2.03
2016,FRA,1.9
2017,FRA,1.79
2018,FRA,1.77
2019,FRA,1.52
2020,FRA,1.28
2021,FRA,1.39
2022,FRA,1.92
2023,FRA,1.87
2024,FRA,2.06
1990,GBR,3.67
1991,GBR,3.12
1992,GBR,3.01
1993,GBR,3.04
1994,GBR,3.29
1995,GBR,3.57
1996,GBR,3.57
1997,GBR,3.56
1998,GBR,3.47
1999,GBR,2.83
2000,GBR,2.72
2001,GBR,2.33
2002,GBR,2
2003,GBR,1.98
2004,GBR,1.96
2005,GBR,2.1
2006,GBR,2.06
2007,GBR,2.22
2008,GBR,2.27
2009,GBR,1.88
2010,GBR,2.89
2011,GBR,3.25
2012,GBR,2.93
2013,GBR,2.88
2014,GBR,2.7
2015,GBR,2.35
2016,GBR,2.48
2017,GBR,2.72
2018,GBR,2.5
2019,GBR,2.21
2020,GBR,2.02
2021,GBR,2.75
2022,GBR,4.31
2023,GBR,3.21
2024,GBR,2.84
1990,JPN,3.47
1991,JPN,3.36
1992,JPN,3.32
1993,JPN,3.29
1994,JPN,3.24
1995,JPN,3.3
1996,JPN,3.28
1997,JPN,3.26
1998,JPN,3.3
1999,JPN,3.29
2000,JPN,3.14
2001,JPN,2.99
2002,JPN,2.82
2003,JPN,2.56
2004,JPN,2.37
2005,JPN,2.23
2006,JPN,2.21
2007,JPN,2.26
2008,JPN,2.32
2009,JPN,2.36
2010,JPN,2.27
2011,JPN,2.31
2012,JPN,2.27
2013,JPN,2.2
2014,JPN,2.15
2015,JPN,2.04
2016,JPN,1.96
2017,JPN,1.83
2018,JPN,1.74
2019,JPN,1.67
2020,JPN,1.65
2021,JPN,1.55
2022,JPN,1.49
2023,JPN,1.43
2024,JPN,1.49
1990,USA,3.39
1991,USA,3.59
1992,USA,3.52
1993,USA,3.4
1994,USA,3.35
1995,USA,3.55
1996,USA,3.39
1997,USA,3.22
1998,USA,3.08
1999,USA,2.7
2000,USA,2.46
2001,USA,3.26
2002,USA,2.89
2003,USA,2.66
2004,USA,2.56
2005,USA,2.7
2006,USA,2.78
2007,USA,2.93
2008,USA,2.78
2009,USA,2.57
2010,USA,2.68
2011,USA,2.88
2012,USA,2.73
2013,USA,2.48
2014,USA,2.47
2015,USA,2.34
2016,USA,2.49
2017,USA,2.52
2018,USA,2.77
2019,USA,2.82
2020,USA,2.53
2021,USA,2.66
2022,USA,3.13
2023,USA,3.59
2024,USA,3.95
