period,series,value
1995,DEU,3.5
1996,DEU,3.5
1997,DEU,3.4
1998,DEU,3.4
1999,DEU,3.1
2000,DEU,3.2
2001,DEU,3
2002,DEU,3
2003,DEU,2.9
2004,DEU,2.8
2005,DEU,2.7
2006,DEU,2.7
2007,DEU,2.7
2008,DEU,2.7
2009,DEU,2.6
2010,DEU,2.4
2011,DEU,2.5
2012,DEU,2.3
2013,DEU,1.8
2014,DEU,1.6
2015,DEU,1.4
2016,DEU,1.2
2017,DEU,1
2018,DEU,0.9
2019,DEU,0.8
2020,DEU,0.6
2021,DEU,0.6
2022,DEU,0.7
2023,DEU,0.9
2024,DEU,1.1
2025,DEU,1.1
1995,ESP,4.9
1996,ESP,5
1997,ESP,4.5
1998,ESP,4.1
1999,ESP,3.4
2000,ESP,3.2
2001,ESP,3
2002,ESP,2.6
2003,ESP,2.3
2004,ESP,2
2005,ESP,1.7
2006,ESP,1.6
2007,ESP,1.6
2008,ESP,1.6
2009,ESP,1.7
2010,ESP,1.9
2011,ESP,2.5
2012,ESP,3
2013,ESP,3.6
2014,ESP,3.5
2015,ESP,3.1
2016,ESP,2.8
2017,ESP,2.5
2018,ESP,2.4
2019,ESP,2.3
2020,ESP,2.2
2021,ESP,2.1
2022,ESP,2.3
2023,ESP,2.4
2024,ESP,2.4
2025,ESP,2.4
1995,EU27,5.3
1996,EU27,5.3
1997,EU27,4.9
1998,EU27,4.5
1999,EU27,3.9
2000,EU27,3.8
2001,EU27,3.6
2002,EU27,3.4
2003,EU27,3.1
2004,EU27,3
2005,EU27,2.8
2006,EU27,2.7
2007,EU27,2.7
2008,EU27,2.8
2009,EU27,2.7
2010,EU27,2.7
2011,EU27,2.9
2012,EU27,2.9
2013,EU27,2.7
2014,EU27,2.5
2015,EU27,2.2
2016,EU27,2
2017,EU27,1.8
2018,EU27,1.7
2019,EU27,1.5
2020,EU27,1.4
2021,EU27,1.4
2022,EU27,1.6
2023,EU27,1.7
2024,EU27,1.9
2025,EU27,1.9
1995,FRA,3.5
1996,FRA,3.6
1997,FRA,3.6
1998,FRA,3.4
1999,FRA,3.1
2000,FRA,3
2001,FRA,3.1
2002,FRA,3
2003,FRA,2.9
2004,FRA,2.8
2005,FRA,2.7
2006,FRA,2.6
2007,FRA,2.7
2008,FRA,2.9
2009,FRA,2.5
2010,FRA,2.5
2011,FRA,2.7
2012,FRA,2.6
2013,FRA,2.3
2014,FRA,2.2
2015,FRA,2
2016,FRA,1.9
2017,FRA,1.8
2018,FRA,1.8
2019,FRA,1.5
2020,FRA,1.3
2021,FRA,1.4
2022,FRA,1.9
2023,FRA,1.9
2024,FRA,2
2025,FRA,2.2
1995,ITA,11.1
1996,ITA,11
1997,ITA,9.1
1998,ITA,7.8
1999,ITA,6.4
2000,ITA,6.1
2001,ITA,6
2002,ITA,5.4
2003,ITA,4.9
2004,ITA,4.6
2005,ITA,4.5
2006,ITA,4.4
2007,ITA,4.7
2008,ITA,4.9
2009,ITA,4.4
2010,ITA,4.3
2011,ITA,4.6
2012,ITA,5.1
2013,ITA,4.8
2014,ITA,4.6
2015,ITA,4.1
2016,ITA,3.9
2017,ITA,3.7
2018,ITA,3.6
2019,ITA,3.3
2020,ITA,3.4
2021,ITA,3.4
2022,ITA,4.1
2023,ITA,3.6
2024,ITA,3.9
2025,ITA,3.9
