period,series,value
1995,DEU,-9.4
1996,DEU,-3.6
1997,DEU,-3
1998,DEU,-2.6
1999,DEU,-1.9
2000,DEU,-1.7
2001,DEU,-3.1
2002,DEU,-4.1
2003,DEU,-3.8
2004,DEU,-3.4
2005,DEU,-3.4
2006,DEU,-1.8
2007,DEU,0.2
2008,DEU,-0.3
2009,DEU,-3.2
2010,DEU,-4.4
2011,DEU,-0.8
2012,DEU,-0.1
2013,DEU,0.1
2014,DEU,0.7
2015,DEU,0.9
2016,DEU,1.1
2017,DEU,1.3
2018,DEU,1.9
2019,DEU,1.3
2020,DEU,-4.4
2021,DEU,-3.2
2022,DEU,-1.9
2023,DEU,-2.5
2024,DEU,-2.7
2025,DEU,-2.7
1995,ESP,-6.8
1996,ESP,-5.9
1997,ESP,-3.9
1998,ESP,-2.6
1999,ESP,-1.2
2000,ESP,-1.2
2001,ESP,-0.5
2002,ESP,-0.3
2003,ESP,-0.4
2004,ESP,-0.1
2005,ESP,1.2
2006,ESP,2.1
2007,ESP,1.9
2008,ESP,-4.6
2009,ESP,-11.2
2010,ESP,-9.5
2011,ESP,-9.7
2012,ESP,-11.5
2013,ESP,-7.5
2014,ESP,-6
2015,ESP,-5.3
2016,ESP,-4.2
2017,ESP,-3.1
2018,ESP,-2.6
2019,ESP,-3.1
2020,ESP,-9.9
2021,ESP,-6.7
2022,ESP,-4.6
2023,ESP,-3.3
2024,ESP,-3.2
2025,ESP,-2.4
1997,EU27,-3
1998,EU27,-2.4
1999,EU27,-1.5
2000,EU27,-1.2
2001,EU27,-2
2002,EU27,-2.8
2003,EU27,-3.1
2004,EU27,-2.7
2005,EU27,-2.4
2006,EU27,-1.4
2007,EU27,-0.6
2008,EU27,-2.1
2009,EU27,-6.1
2010,EU27,-6
2011,EU27,-4.1
2012,EU27,-3.7
2013,EU27,-3.1
2014,EU27,-2.4
2015,EU27,-1.9
2016,EU27,-1.4
2017,EU27,-0.9
2018,EU27,-0.4
2019,EU27,-0.5
2020,EU27,-6.7
2021,EU27,-4.6
2022,EU27,-3.2
2023,EU27,-3.4
2024,EU27,-3.1
2025,EU27,-3.1
1995,FRA,-5.1
1996,FRA,-3.9
1997,FRA,-3.7
1998,FRA,-2.4
1999,FRA,-1.5
2000,FRA,-1.3
2001,FRA,-1.4
2002,FRA,-3.2
2003,FRA,-4.1
2004,FRA,-3.6
2005,FRA,-3.5
2006,FRA,-2.7
2007,FRA,-3
2008,FRA,-3.5
2009,FRA,-7.4
2010,FRA,-7.2
2011,FRA,-5.3
2012,FRA,-5.2
2013,FRA,-4.9
2014,FRA,-4.6
2015,FRA,-3.9
2016,FRA,-3.8
2017,FRA,-3.4
2018,FRA,-2.3
2019,FRA,-2.4
2020,FRA,-8.9
2021,FRA,-6.6
2022,FRA,-4.7
2023,FRA,-5.4
2024,FRA,-5.8
2025,FRA,-5.1
1995,ITA,-7.2
1996,ITA,-6.6
1997,ITA,-3
1998,ITA,-3
1999,ITA,-1.8
2000,ITA,-2.4
2001,ITA,-3.2
2002,ITA,-2.9
2003,ITA,-3.2
2004,ITA,-3.5
2005,ITA,-4.1
2006,ITA,-3.6
2007,ITA,-1.3
2008,ITA,-2.6
2009,ITA,-5.1
2010,ITA,-4.2
2011,ITA,-3.5
2012,ITA,-3
2013,ITA,-2.9
2014,ITA,-2.8
2015,ITA,-2.5
2016,ITA,-2.4
2017,ITA,-2.5
2018,ITA,-2.2
2019,ITA,-1.5
2020,ITA,-9.4
2021,ITA,-8.9
2022,ITA,-8.1
2023,ITA,-7.1
2024,ITA,-3.4
2025,ITA,-3.1
