period,series,value
2000,DEU-depenses,48.1
2001,DEU-depenses,47.7
2002,DEU-depenses,48.2
2003,DEU-depenses,48.5
2004,DEU-depenses,47
2005,DEU-depenses,46.9
2006,DEU-depenses,45.3
2007,DEU-depenses,43.5
2008,DEU-depenses,44.4
2009,DEU-depenses,48.3
2010,DEU-depenses,48.1
2011,DEU-depenses,45.3
2012,DEU-depenses,45.1
2013,DEU-depenses,45.2
2014,DEU-depenses,44.5
2015,DEU-depenses,44.5
2016,DEU-depenses,44.7
2017,DEU-depenses,44.5
2018,DEU-depenses,44.7
2019,DEU-depenses,45.5
2020,DEU-depenses,51.1
2021,DEU-depenses,50.7
2022,DEU-depenses,48.6
2023,DEU-depenses,48.1
2024,DEU-depenses,49.4
2025,DEU-depenses,50.5
2000,DEU-recettes,46.3
2001,DEU-recettes,44.5
2002,DEU-recettes,44.2
2003,DEU-recettes,44.7
2004,DEU-recettes,43.6
2005,DEU-recettes,43.5
2006,DEU-recettes,43.6
2007,DEU-recettes,43.7
2008,DEU-recettes,44.2
2009,DEU-recettes,45.1
2010,DEU-recettes,43.7
2011,DEU-recettes,44.4
2012,DEU-recettes,45
2013,DEU-recettes,45.3
2014,DEU-recettes,45.2
2015,DEU-recettes,45.4
2016,DEU-recettes,45.9
2017,DEU-recettes,45.9
2018,DEU-recettes,46.5
2019,DEU-recettes,46.9
2020,DEU-recettes,46.7
2021,DEU-recettes,47.5
2022,DEU-recettes,46.7
2023,DEU-recettes,45.7
2024,DEU-recettes,46.8
2025,DEU-recettes,47.9
2000,ESP-depenses,39.1
2001,ESP-depenses,38.4
2002,ESP-depenses,38.6
2003,ESP-depenses,38.3
2004,ESP-depenses,38.8
2005,ESP-depenses,38.4
2006,ESP-depenses,38.4
2007,ESP-depenses,39.2
2008,ESP-depenses,41.3
2009,ESP-depenses,46.1
2010,ESP-depenses,45.8
2011,ESP-depenses,45.9
2012,ESP-depenses,49.2
2013,ESP-depenses,46.2
2014,ESP-depenses,45
2015,ESP-depenses,43.7
2016,ESP-depenses,42.1
2017,ESP-depenses,41
2018,ESP-depenses,41.5
2019,ESP-depenses,42
2020,ESP-depenses,51.4
2021,ESP-depenses,49.5
2022,ESP-depenses,46.3
2023,ESP-depenses,45.4
2024,ESP-depenses,45.5
2025,ESP-depenses,45.3
2000,ESP-recettes,37.9
2001,ESP-recettes,37.9
2002,ESP-recettes,38.3
2003,ESP-recettes,38
2004,ESP-recettes,38.7
2005,ESP-recettes,39.7
2006,ESP-recettes,40.5
2007,ESP-recettes,41.1
2008,ESP-recettes,36.8
2009,ESP-recettes,34.8
2010,ESP-recettes,36.4
2011,ESP-recettes,36.2
2012,ESP-recettes,37.7
2013,ESP-recettes,38.7
2014,ESP-recettes,39
2015,ESP-recettes,38.4
2016,ESP-recettes,37.9
2017,ESP-recettes,37.9
2018,ESP-recettes,39
2019,ESP-recettes,39
2020,ESP-recettes,41.5
2021,ESP-recettes,42.8
2022,ESP-recettes,41.7
2023,ESP-recettes,42.1
2024,ESP-recettes,42.3
2025,ESP-recettes,42.9
2000,EU27-depenses,47.4
2001,EU27-depenses,47.4
2002,EU27-depenses,47.8
2003,EU27-depenses,48.1
2004,EU27-depenses,47.4
2005,EU27-depenses,47.2
2006,EU27-depenses,46.6
2007,EU27-depenses,45.8
2008,EU27-depenses,47
2009,EU27-depenses,50.9
2010,EU27-depenses,50.7
2011,EU27-depenses,49.3
2012,EU27-depenses,50
2013,EU27-depenses,50
2014,EU27-depenses,49.3
2015,EU27-depenses,48.3
2016,EU27-depenses,47.5
2017,EU27-depenses,47
