period,series,value
1995,DEU,54.9
1996,DEU,57.7
1997,DEU,58.8
1998,DEU,59.4
1999,DEU,60.3
2000,DEU,59.2
2001,DEU,58.1
2002,DEU,59.8
2003,DEU,63.3
2004,DEU,65
2005,DEU,67.1
2006,DEU,66.4
2007,DEU,63.7
2008,DEU,65.2
2009,DEU,72.4
2010,DEU,81
2011,DEU,78.5
2012,DEU,79.8
2013,DEU,77.5
2014,DEU,74.5
2015,DEU,71.2
2016,DEU,68.3
2017,DEU,64
2018,DEU,60.8
2019,DEU,58.7
2020,DEU,68
2021,DEU,67.9
2022,DEU,64.4
2023,DEU,62.3
2024,DEU,62.2
2025,DEU,63.5
1995,ESP,61.6
1996,ESP,65.4
1997,ESP,64.3
1998,ESP,62.4
1999,ESP,60.9
2000,ESP,57.8
2001,ESP,54.1
2002,ESP,51.2
2003,ESP,47.7
2004,ESP,45.3
2005,ESP,42.4
2006,ESP,39
2007,ESP,35.7
2008,ESP,39.6
2009,ESP,53.1
2010,ESP,60.3
2011,ESP,69.5
2012,ESP,89.6
2013,ESP,100
2014,ESP,104.4
2015,ESP,102.5
2016,ESP,102
2017,ESP,101.2
2018,ESP,99.8
2019,ESP,97.7
2020,ESP,119.3
2021,ESP,115.7
2022,ESP,109.3
2023,ESP,105.2
2024,ESP,101.6
2025,ESP,100.7
2000,EU27,66.6
2001,EU27,65.8
2002,EU27,65.6
2003,EU27,66.8
2004,EU27,67.1
2005,EU27,67.2
2006,EU27,65
2007,EU27,62.4
2008,EU27,65.1
2009,EU27,75.7
2010,EU27,80.4
2011,EU27,81.7
2012,EU27,85
2013,EU27,86.8
2014,EU27,86.9
2015,EU27,85.1
2016,EU27,84.1
2017,EU27,81.5
2018,EU27,79.5
2019,EU27,77.5
2020,EU27,89.5
2021,EU27,86.7
2022,EU27,82.4
2023,EU27,80.5
2024,EU27,80.7
2025,EU27,81.7
1995,FRA,57.8
1996,FRA,60.6
1997,FRA,62
1998,FRA,62.1
1999,FRA,61.4
2000,FRA,59.7
2001,FRA,59.3
2002,FRA,61.3
2003,FRA,65.4
2004,FRA,66.9
2005,FRA,68.2
2006,FRA,65.4
2007,FRA,65.5
2008,FRA,69.8
2009,FRA,84.1
2010,FRA,86.3
2011,FRA,88.7
2012,FRA,91.7
2013,FRA,94.6
2014,FRA,96.2
2015,FRA,97
2016,FRA,98.1
2017,FRA,98.8
2018,FRA,98.5
2019,FRA,98.2
2020,FRA,114.9
2021,FRA,112.8
2022,FRA,111.4
2023,FRA,109.5
2024,FRA,112.6
2025,FRA,115.6
1995,ITA,119.1
1996,ITA,118.9
1997,ITA,116.5
1998,ITA,113.9
1999,ITA,113.1
2000,ITA,108.7
2001,ITA,108.5
2002,ITA,105.9
2003,ITA,105.1
2004,ITA,104.7
2005,ITA,106.2
2006,ITA,106.3
2007,ITA,103.5
2008,ITA,105.8
2009,ITA,116.1
2010,ITA,118.8
2011,ITA,119.1
2012,ITA,125.9
2013,ITA,131.9
2014,ITA,134.8
2015,ITA,134.8
2016,ITA,134.2
2017,ITA,133.7
2018,ITA,134.2
2019,ITA,133.9
2020,ITA,154.4
2021,ITA,145.8
2022,ITA,138.4
2023,ITA,133.9
2024,ITA,134.7
2025,ITA,137.1
