period,series,value
1995,CHN,21.4
1996,CHN,21.2
1997,CHN,20.4
1998,CHN,20.4
1999,CHN,21.6
2000,CHN,22.7
2001,CHN,24.3
2002,CHN,25.6
2003,CHN,26.4
2004,CHN,26
2005,CHN,25.9
2006,CHN,25.2
2007,CHN,28.7
2008,CHN,26.7
2009,CHN,34
2010,CHN,33.3
2011,CHN,33.2
2012,CHN,33.8
2013,CHN,36.4
2014,CHN,39.3
2015,CHN,40.8
2016,CHN,50
2017,CHN,53.9
2018,CHN,55.9
2019,CHN,59.8
2020,CHN,70.1
2021,CHN,72.1
2022,CHN,77.3
2023,CHN,84.1
2024,CHN,90.4
1990,FRA,36.8
1991,FRA,37.8
1992,FRA,41.7
1993,FRA,48.2
1994,FRA,51.6
1995,FRA,57.8
1996,FRA,60.6
1997,FRA,62
1998,FRA,62.1
1999,FRA,61.4
2000,FRA,59.7
2001,FRA,59.3
2002,FRA,61.3
2003,FRA,65.4
2004,FRA,66.9
2005,FRA,68.2
2006,FRA,65.4
2007,FRA,65.5
2008,FRA,69.8
2009,FRA,84.1
2010,FRA,86.3
2011,FRA,88.7
2012,FRA,91.7
2013,FRA,94.6
2014,FRA,96.2
2015,FRA,97
2016,FRA,98.1
2017,FRA,98.8
2018,FRA,98.5
2019,FRA,98.2
2020,FRA,114.9
2021,FRA,112.8
2022,FRA,111.4
2023,FRA,109.6
2024,FRA,113.2
1990,GBR,28.4
1991,GBR,28.4
1992,GBR,33.1
1993,GBR,37.8
1994,GBR,40.6
1995,GBR,43.5
1996,GBR,43.5
1997,GBR,43.9
1998,GBR,41.8
1999,GBR,40.3
2000,GBR,37.5
2001,GBR,34.8
2002,GBR,35.3
2003,GBR,36.6
2004,GBR,39.7
2005,GBR,40.9
2006,GBR,41.9
2007,GBR,43
2008,GBR,50.6
2009,GBR,64.5
2010,GBR,75.5
2011,GBR,81.1
2012,GBR,84.1
2013,GBR,84.9
2014,GBR,86.5
2015,GBR,87.3
2016,GBR,87.3
2017,GBR,86.1
2018,GBR,85.6
2019,GBR,84.9
2020,GBR,104.8
2021,GBR,103.4
2022,GBR,97.5
2023,GBR,98.9
2024,GBR,99.9
1990,JPN,54.8
1991,JPN,54.1
1992,JPN,57.9
1993,JPN,63.2
1994,JPN,73.3
1995,JPN,80.7
1996,JPN,85.3
1997,JPN,91.3
1998,JPN,101.6
1999,JPN,113.5
2000,JPN,118.5
2001,JPN,126.8
2002,JPN,134.6
2003,JPN,140.2
2004,JPN,148.8
2005,JPN,153.4
2006,JPN,152.1
2007,JPN,150.4
2008,JPN,153.6
2009,JPN,172.9
2010,JPN,178.6
2011,JPN,190.6
2012,JPN,197.1
2013,JPN,201.2
2014,JPN,203.6
2015,JPN,200.1
2016,JPN,202.1
2017,JPN,203.1
2018,JPN,203.7
2019,JPN,206.3
2020,JPN,228.8
2021,JPN,222.7
2022,JPN,227.8
2023,JPN,220.3
2024,JPN,214.5
2001,USA,53.5
2002,USA,55.9
2003,USA,59
2004,USA,66.4
2005,USA,65.8
2006,USA,64.5
2007,USA,64.9
2008,USA,73.8
2009,USA,87.1
2010,USA,95.7
2011,USA,100
2012,USA,103.7
2013,USA,105
2014,USA,104.9
2015,USA,105.4
2016,USA,107.4
2017,USA,106.4
2018,USA,107.7
2019,USA,108.8
2020,USA,132.6
2021,USA,125
2022,USA,119.1
2023,USA,120
2024,USA,122.3
