period,series,value
2024,deficit,-169.1
2024,dep-GF01,181.1
2024,dep-GF0101,42.8
2024,dep-GF0102,4.9
2024,dep-GF0103,53.8
2024,dep-GF0104,19.9
2024,dep-GF0105,0
2024,dep-GF0106,0.9
2024,dep-GF0107,58.9
2024,dep-GF0108,0
2024,dep-GF02,54.2
2024,dep-GF0201,47.7
2024,dep-GF0202,0.2
2024,dep-GF0203,2
2024,dep-GF0204,1.7
2024,dep-GF0205,2.6
2024,dep-GF03,52.1
2024,dep-GF0301,28.9
2024,dep-GF0302,7.9
2024,dep-GF0303,8.3
2024,dep-GF0304,5.1
2024,dep-GF0305,0
2024,dep-GF0306,1.9
2024,dep-GF04,166.1
2024,dep-GF0401,45.3
2024,dep-GF0402,6.2
2024,dep-GF0403,15.5
2024,dep-GF0404,1.6
2024,dep-GF0405,60.7
2024,dep-GF0406,1.6
2024,dep-GF0407,11.2
2024,dep-GF0408,21.4
2024,dep-GF0409,2.6
2024,dep-GF05,30.3
2024,dep-GF0501,15.9
2024,dep-GF0502,5.2
2024,dep-GF0503,4.3
2024,dep-GF0504,1.7
2024,dep-GF0505,1.8
2024,dep-GF0506,1.5
2024,dep-GF06,42.1
2024,dep-GF0601,8.4
2024,dep-GF0602,27.2
2024,dep-GF0603,2.8
2024,dep-GF0604,1.8
2024,dep-GF0605,0
2024,dep-GF0606,1.8
2024,dep-GF07,261.2
2024,dep-GF0701,43.7
2024,dep-GF0702,91.8
2024,dep-GF0703,109.3
2024,dep-GF0704,8
2024,dep-GF0705,6.7
2024,dep-GF0706,1.6
2024,dep-GF08,43.1
2024,dep-GF0801,15.6
2024,dep-GF0802,19
2024,dep-GF0803,7.6
2024,dep-GF0804,0.7
2024,dep-GF0805,0
2024,dep-GF0806,0.2
2024,dep-GF09,148.6
2024,dep-GF0901,42.2
2024,dep-GF0902,63.8
2024,dep-GF0903,1.2
2024,dep-GF0904,12.3
2024,dep-GF0905,8.6
2024,dep-GF0906,20
2024,dep-GF0907,0
2024,dep-GF0908,0.6
2024,dep-GF10,693
2024,dep-GF1001,83.9
2024,dep-GF1002,392
2024,dep-GF1003,40.6
2024,dep-GF1004,66.7
2024,dep-GF1005,48.5
2024,dep-GF1006,21.1
2024,dep-GF1007,36.5
2024,dep-GF1008,0
2024,dep-GF1009,3.7
2024,depenses-total,1672.7
2024,interets,60.1
2024,rec-autres,176.7
2024,rec-D2,456.1
2024,rec-D5,365.7
2024,rec-D61,483.6
2024,rec-D91,21.5
2024,rec2-D2-D211,207.8
2024,rec2-D2-D29,129.9
2024,rec2-D2-reste,118.4
2024,rec2-D5-D51A,275
2024,rec2-D5-D51B,83.7
2024,rec2-D5-reste,7
2024,rec2-D61-D611,294.1
2024,rec2-D61-D613,138.3
2024,rec2-D61-reste,51.2
2024,recettes-total,1503.6
