period,series,value
2000-12,autorises,391
2001-01,autorises,390.9
2001-02,autorises,391.9
2001-03,autorises,391.8
2001-04,autorises,387.5
2001-05,autorises,381
2001-06,autorises,379.9
2001-07,autorises,381.8
2001-08,autorises,381.5
2001-09,autorises,379.8
2001-10,autorises,383.3
2001-11,autorises,381.6
2001-12,autorises,379.6
2002-01,autorises,379
2002-02,autorises,376.1
2002-03,autorises,372.8
2002-04,autorises,378.7
2002-05,autorises,377.9
2002-06,autorises,376.7
2002-07,autorises,374.9
2002-08,autorises,371.6
2002-09,autorises,375.3
2002-10,autorises,374
2002-11,autorises,373.3
2002-12,autorises,376.8
2003-01,autorises,377.9
2003-02,autorises,380.7
2003-03,autorises,382.5
2003-04,autorises,382.2
2003-05,autorises,384.9
2003-06,autorises,387.7
2003-07,autorises,392.6
2003-08,autorises,396.8
2003-09,autorises,401.9
2003-10,autorises,404.4
2003-11,autorises,407.8
2003-12,autorises,413.9
2004-01,autorises,419.7
2004-02,autorises,426.1
2004-03,autorises,433.4
2004-04,autorises,439.7
2004-05,autorises,446.4
2004-06,autorises,458
2004-07,autorises,462
2004-08,autorises,470.2
2004-09,autorises,475.9
2004-10,autorises,483.7
2004-11,autorises,491.6
2004-12,autorises,500.4
2005-01,autorises,507.2
2005-02,autorises,509.4
2005-03,autorises,514.2
2005-04,autorises,517.7
2005-05,autorises,520.5
2005-06,autorises,528
2005-07,autorises,532.2
2005-08,autorises,535
2005-09,autorises,539.3
2005-10,autorises,540.1
2005-11,autorises,543.1
2005-12,autorises,551.7
2006-01,autorises,556.3
2006-02,autorises,563.3
2006-03,autorises,572.5
2006-04,autorises,577.8
2006-05,autorises,584.9
2006-06,autorises,588.2
2006-07,autorises,592.2
2006-08,autorises,595.6
2006-09,autorises,593
2006-10,autorises,600.4
2006-11,autorises,605.5
2006-12,autorises,602.4
2007-01,autorises,600.1
2007-02,autorises,600.4
2007-03,autorises,602.3
2007-04,autorises,599.2
2007-05,autorises,597.7
2007-06,autorises,593.6
2007-07,autorises,595.3
2007-08,autorises,594.8
2007-09,autorises,593
