period,series,value
1986-Q4,FRA,47.3
1987-Q1,FRA,47.9
1987-Q2,FRA,48.6
1987-Q3,FRA,49.5
1987-Q4,FRA,50.2
1988-Q1,FRA,50.8
1988-Q2,FRA,51.5
1988-Q3,FRA,52.1
1988-Q4,FRA,53
1989-Q1,FRA,53.5
1989-Q2,FRA,54.2
1989-Q3,FRA,54.7
1989-Q4,FRA,55.4
1990-Q1,FRA,55.8
1990-Q2,FRA,56.3
1990-Q3,FRA,56.8
1990-Q4,FRA,57.8
1991-Q1,FRA,58.2
1991-Q2,FRA,58.9
1991-Q3,FRA,59.5
1991-Q4,FRA,60.3
1992-Q1,FRA,60.9
1992-Q2,FRA,61.9
1992-Q3,FRA,62.5
1992-Q4,FRA,63.3
1993-Q1,FRA,63.7
1993-Q2,FRA,64.2
1993-Q3,FRA,64.6
1993-Q4,FRA,65.2
1994-Q1,FRA,65.5
1994-Q2,FRA,66
1994-Q3,FRA,66.3
1994-Q4,FRA,66.8
1995-Q1,FRA,67.1
1995-Q2,FRA,67.5
1995-Q3,FRA,67.9
1995-Q4,FRA,68.4
1996-Q1,FRA,68.6
1996-Q2,FRA,68.9
1996-Q3,FRA,69
1996-Q4,FRA,69.4
1997-Q1,FRA,69.5
1997-Q2,FRA,69.8
1997-Q3,FRA,70.1
1997-Q4,FRA,70.5
1998-Q1,FRA,70.8
1998-Q2,FRA,71.2
1998-Q3,FRA,71.6
1998-Q4,FRA,72
1999-Q1,FRA,72.2
1999-Q2,FRA,72.3
1999-Q3,FRA,72.5
1999-Q4,FRA,72.7
2000-Q1,FRA,72.9
2000-Q2,FRA,73.1
2000-Q3,FRA,73.3
2000-Q4,FRA,73.5
2001-Q1,FRA,73.7
2001-Q2,FRA,74
2001-Q3,FRA,74.4
2001-Q4,FRA,75.1
2002-Q1,FRA,75.6
2002-Q2,FRA,76.1
2002-Q3,FRA,76.6
2002-Q4,FRA,77.4
2003-Q1,FRA,77.7
2003-Q2,FRA,78.2
2003-Q3,FRA,78.6
2003-Q4,FRA,79.3
2004-Q1,FRA,79.7
2004-Q2,FRA,80.4
2004-Q3,FRA,81
2004-Q4,FRA,82
2005-Q1,FRA,82.5
2005-Q2,FRA,83.2
2005-Q3,FRA,84
2005-Q4,FRA,85
2006-Q1,FRA,85.5
2006-Q2,FRA,86.1
2006-Q3,FRA,86.7
2006-Q4,FRA,87.6
2007-Q1,FRA,88.3
2007-Q2,FRA,88.9
2007-Q3,FRA,89.4
2007-Q4,FRA,90.1
2008-Q1,FRA,90.4
2008-Q2,FRA,90.9
2008-Q3,FRA,91.2
2008-Q4,FRA,92
2009-Q1,FRA,92.4
2009-Q2,FRA,92.9
2009-Q3,FRA,93.1
2009-Q4,FRA,93.7
2010-Q1,FRA,94
2010-Q2,FRA,94.2
2010-Q3,FRA,94.4
2010-Q4,FRA,94.7
2011-Q1,FRA,94.9
2011-Q2,FRA,94.9
2011-Q3,FRA,95.2
2011-Q4,FRA,96
2012-Q1,FRA,96.3
2012-Q2,FRA,96.5
2012-Q3,FRA,96.8
2012-Q4,FRA,97.6
2013-Q1,FRA,97.8
2013-Q2,FRA,98.1
2013-Q3,FRA,98.2
2013-Q4,FRA,98.7
2014-Q1,FRA,98.9
2014-Q2,FRA,99
2014-Q3,FRA,99.2
2014-Q4,FRA,99.4
2015-Q1,FRA,99.6
2015-Q2,FRA,99.7
2015-Q3,FRA,99.6
2015-Q4,FRA,99.7
2016-Q1,FRA,99.8
2016-Q2,FRA,99.9
2016-Q3,FRA,99.9
2016-Q4,FRA,99.9
2017-Q1,FRA,100
2017-Q2,FRA,100
2017-Q3,FRA,100.1
2017-Q4,FRA,100.3
2018-Q1,FRA,100.5
2018-Q2,FRA,99.2
2018-Q3,FRA,99.4
2018-Q4,FRA,100
2019-Q1,FRA,100.2
2019-Q2,FRA,100.3
2019-Q3,FRA,100.4
2019-Q4,FRA,100.5
2020-Q1,FRA,100.5
2020-Q2,FRA,100.6
2020-Q3,FRA,100.7
2020-Q4,FRA,101.5
2021-Q1,FRA,101.5
2021-Q2,FRA,101.7
2021-Q3,FRA,101.4
2021-Q4,FRA,101.8
2022-Q1,FRA,102
2022-Q2,FRA,102.2
2022-Q3,FRA,102.5
2022-Q4,FRA,103.9
2023-Q1,FRA,104.2
2023-Q2,FRA,104.5
2023-Q3,FRA,104.7
2023-Q4,FRA,106.3
2024-Q1,FRA,106.7
2024-Q2,FRA,107
2024-Q3,FRA,107.4
2024-Q4,FRA,108.9
2025-Q1,FRA,109.2
2025-Q2,FRA,109.4
2025-Q3,FRA,110.2
2025-Q4,FRA,110.7
2026-Q1,FRA,110.9
2026-Q2,FRA,111.1
2002-Q4,irl,81.63
2003-Q1,irl,82.06
2003-Q2,irl,82.4
2003-Q3,irl,82.75
2003-Q4,irl,83.08
2004-Q1,irl,83.32
2004-Q2,irl,83.69
2004-Q3,irl,84.03
2004-Q4,irl,84.4
2005-Q1,irl,84.74
2005-Q2,irl,85.08
2005-Q3,irl,85.46
2005-Q4,irl,85.8
2006-Q1,irl,86.16
2006-Q2,irl,86.55
2006-Q3,irl,86.9
2006-Q4,irl,87.16
2007-Q1,irl,87.39
2007-Q2,irl,87.63
2007-Q3,irl,87.87
2007-Q4,irl,88.34
2008-Q1,irl,88.98
2008-Q2,irl,89.71
2008-Q3,irl,90.45
2008-Q4,irl,90.85
2009-Q1,irl,90.97
2009-Q2,irl,90.89
2009-Q3,irl,90.75
2009-Q4,irl,90.79
2010-Q1,irl,91.06
2010-Q2,irl,91.41
2010-Q3,irl,91.75
2010-Q4,irl,92.11
2011-Q1,irl,92.51
2011-Q2,irl,92.99
2011-Q3,irl,93.48
2011-Q4,irl,94.05
2012-Q1,irl,94.58
2012-Q2,irl,95.04
2012-Q3,irl,95.49
2012-Q4,irl,95.82
2013-Q1,irl,96.03
2013-Q2,irl,96.18
2013-Q3,irl,96.35
2013-Q4,irl,96.48
2014-Q1,irl,96.61
2014-Q2,irl,96.73
2014-Q3,irl,96.8
2014-Q4,irl,96.84
2015-Q1,irl,96.76
2015-Q2,irl,96.81
2015-Q3,irl,96.82
2015-Q4,irl,96.83
2016-Q1,irl,96.82
2016-Q2,irl,96.81
2016-Q3,irl,96.87
2016-Q4,irl,97
2017-Q1,irl,97.31
2017-Q2,irl,97.53
2017-Q3,irl,97.74
2017-Q4,irl,98.02
2018-Q1,irl,98.33
2018-Q2,irl,98.76
2018-Q3,irl,99.28
2018-Q4,irl,99.73
2019-Q1,irl,100
2019-Q2,irl,100.26
2019-Q3,irl,100.47
2019-Q4,irl,100.68
2020-Q1,irl,100.92
2020-Q2,irl,100.92
2020-Q3,irl,100.94
2020-Q4,irl,100.88
2021-Q1,irl,101.01
2021-Q2,irl,101.34
2021-Q3,irl,101.77
2021-Q4,irl,102.5
2022-Q1,irl,103.52
2022-Q2,irl,104.99
2022-Q3,irl,105.33
2022-Q4,irl,106.09
2023-Q1,irl,107.13
2023-Q2,irl,108.66
2023-Q3,irl,109
2023-Q4,irl,109.8
2024-Q1,irl,110.88
2024-Q2,irl,112.2
2024-Q3,irl,111.69
2024-Q4,irl,111.79
2025-Q1,irl,112.44
2025-Q2,irl,113.37
2025-Q3,irl,112.67
2025-Q4,irl,112.68
2026-Q1,irl,113.31
2026-Q2,irl,114.68
