period,series,value
1996-Q1,appartements,39.2
1996-Q2,appartements,38.9
1996-Q3,appartements,38.6
1996-Q4,appartements,38.6
1997-Q1,appartements,37.8
1997-Q2,appartements,37.8
1997-Q3,appartements,36.9
1997-Q4,appartements,37.1
1998-Q1,appartements,37
1998-Q2,appartements,37.3
1998-Q3,appartements,37.5
1998-Q4,appartements,37.9
1999-Q1,appartements,38.7
1999-Q2,appartements,39.1
1999-Q3,appartements,40
1999-Q4,appartements,40.9
2000-Q1,appartements,41.9
2000-Q2,appartements,42.8
2000-Q3,appartements,43.6
2000-Q4,appartements,44.2
2001-Q1,appartements,45.3
2001-Q2,appartements,46.1
2001-Q3,appartements,46.9
2001-Q4,appartements,47.9
2002-Q1,appartements,48.7
2002-Q2,appartements,50
2002-Q3,appartements,51.6
2002-Q4,appartements,53.2
2003-Q1,appartements,54.8
2003-Q2,appartements,56.8
2003-Q3,appartements,58.6
2003-Q4,appartements,60.6
2004-Q1,appartements,63.5
2004-Q2,appartements,65.9
2004-Q3,appartements,68.5
2004-Q4,appartements,71.3
2005-Q1,appartements,74.1
2005-Q2,appartements,77
2005-Q3,appartements,80
2005-Q4,appartements,82.4
2006-Q1,appartements,85.2
2006-Q2,appartements,87.4
2006-Q3,appartements,89.4
2006-Q4,appartements,91.1
2007-Q1,appartements,92.3
2007-Q2,appartements,93.4
2007-Q3,appartements,94.8
2007-Q4,appartements,96.6
2008-Q1,appartements,97.3
2008-Q2,appartements,97.5
2008-Q3,appartements,96.7
2008-Q4,appartements,94.8
2009-Q1,appartements,91.9
2009-Q2,appartements,89.9
2009-Q3,appartements,90.3
2009-Q4,appartements,91.5
2010-Q1,appartements,93.7
2010-Q2,appartements,95.8
2010-Q3,appartements,97.9
2010-Q4,appartements,100.4
2011-Q1,appartements,102.7
2011-Q2,appartements,105.3
2011-Q3,appartements,106.5
2011-Q4,appartements,106.8
2012-Q1,appartements,106.5
2012-Q2,appartements,106.3
2012-Q3,appartements,105.7
2012-Q4,appartements,105.3
2013-Q1,appartements,104.8
2013-Q2,appartements,104.3
2013-Q3,appartements,103.8
2013-Q4,appartements,103.5
2014-Q1,appartements,103.3
2014-Q2,appartements,102.9
2014-Q3,appartements,101.9
2014-Q4,appartements,101
2015-Q1,appartements,100.4
2015-Q2,appartements,99.9
2015-Q3,appartements,99.9
2015-Q4,appartements,99.9
2016-Q1,appartements,100
2016-Q2,appartements,100.4
2016-Q3,appartements,100.9
2016-Q4,appartements,101.5
2017-Q1,appartements,103
2017-Q2,appartements,104.1
2017-Q3,appartements,105.4
2017-Q4,appartements,105.9
2018-Q1,appartements,106.7
2018-Q2,appartements,107.5
2018-Q3,appartements,109
2018-Q4,appartements,109.6
2019-Q1,appartements,110.8
2019-Q2,appartements,112.2
2019-Q3,appartements,113.5
2019-Q4,appartements,115.5
2020-Q1,appartements,117.9
2020-Q2,appartements,119.9
2020-Q3,appartements,120.8
2020-Q4,appartements,122.8
2021-Q1,appartements,123.9
2021-Q2,appartements,125.6
2021-Q3,appartements,127.1
2021-Q4,appartements,128.3
2022-Q1,appartements,129.8
2022-Q2,appartements,131.2
2022-Q3,appartements,132.3
2022-Q4,appartements,132.7
2023-Q1,appartements,132.5
2023-Q2,appartements,131.4
2023-Q3,appartements,129.7
2023-Q4,appartements,127.3
2024-Q1,appartements,125.2
2024-Q2,appartements,124.8
2024-Q3,appartements,124.6
2024-Q4,appartements,124.9
2025-Q1,appartements,125.9
2025-Q2,appartements,125.6
2025-Q3,appartements,126.2
2025-Q4,appartements,126.6
2026-Q1,appartements,126.4
2026-Q2,appartements,125.5
1996-Q1,FRA,41.4
1996-Q2,FRA,41.4
1996-Q3,FRA,41.5
1996-Q4,FRA,41.9
1997-Q1,FRA,40.9
1997-Q2,FRA,41.6
1997-Q3,FRA,41.3
1997-Q4,FRA,41.8
1998-Q1,FRA,41.6
1998-Q2,FRA,42
1998-Q3,FRA,42.4
1998-Q4,FRA,42.9
1999-Q1,FRA,44
1999-Q2,FRA,44.5
1999-Q3,FRA,45.6
1999-Q4,FRA,46.5
2000-Q1,FRA,47.8
2000-Q2,FRA,48.6
2000-Q3,FRA,49.6
2000-Q4,FRA,50.4
2001-Q1,FRA,51.5
2001-Q2,FRA,52.6
2001-Q3,FRA,53.4
2001-Q4,FRA,54.4
2002-Q1,FRA,55.3
2002-Q2,FRA,56.7
2002-Q3,FRA,58.3
2002-Q4,FRA,59.9
2003-Q1,FRA,61.5
2003-Q2,FRA,63.4
2003-Q3,FRA,65.2
2003-Q4,FRA,67.5
2004-Q1,FRA,70.2
2004-Q2,FRA,72.6
2004-Q3,FRA,75.3
2004-Q4,FRA,78.2
2005-Q1,FRA,81.1
2005-Q2,FRA,84.1
2005-Q3,FRA,87.1
2005-Q4,FRA,89.8
2006-Q1,FRA,92.6
2006-Q2,FRA,95
2006-Q3,FRA,97
2006-Q4,FRA,98.7
2007-Q1,FRA,100.2
2007-Q2,FRA,101.4
2007-Q3,FRA,102.6
2007-Q4,FRA,104.1
2008-Q1,FRA,104.6
2008-Q2,FRA,104.2
2008-Q3,FRA,103.1
2008-Q4,FRA,100.2
2009-Q1,FRA,96.9
2009-Q2,FRA,94.8
2009-Q3,FRA,95
2009-Q4,FRA,96.1
2010-Q1,FRA,98
2010-Q2,FRA,99.7
2010-Q3,FRA,101.2
2010-Q4,FRA,103.4
2011-Q1,FRA,104.9
2011-Q2,FRA,106.7
2011-Q3,FRA,107.4
2011-Q4,FRA,107.2
2012-Q1,FRA,106.8
2012-Q2,FRA,106.3
2012-Q3,FRA,105.7
2012-Q4,FRA,105.1
2013-Q1,FRA,104.7
2013-Q2,FRA,104
2013-Q3,FRA,103.3
2013-Q4,FRA,103.2
2014-Q1,FRA,102.7
2014-Q2,FRA,102.6
2014-Q3,FRA,101.8
2014-Q4,FRA,100.6
2015-Q1,FRA,100.2
2015-Q2,FRA,99.8
2015-Q3,FRA,99.9
2015-Q4,FRA,100.1
2016-Q1,FRA,100.4
2016-Q2,FRA,100.5
2016-Q3,FRA,101.2
2016-Q4,FRA,101.6
2017-Q1,FRA,102.9
2017-Q2,FRA,103.6
2017-Q3,FRA,104.5
