period,series,value
1995,DEU,132.7
1996,DEU,128.4
1997,DEU,124.4
1998,DEU,121.4
1999,DEU,117.9
2000,DEU,116.5
2001,DEU,111.6
2002,DEU,109.3
2003,DEU,106.5
2004,DEU,102.9
2005,DEU,101.9
2006,DEU,99
2007,DEU,95
2008,DEU,94.1
2009,DEU,95.1
2010,DEU,93.8
2011,DEU,94.2
2012,DEU,95.4
2013,DEU,97.2
2014,DEU,97.8
2015,DEU,100
2016,DEU,104.7
2017,DEU,107.4
2018,DEU,109.9
2019,DEU,113.3
2020,DEU,121.4
2021,DEU,130.9
2022,DEU,128.6
2023,DEU,111.5
2024,DEU,105
2025,DEU,105.4
1995,ESP,85.5
1996,ESP,82.8
1997,ESP,81.1
1998,ESP,80.3
1999,ESP,81.4
2000,ESP,80.6
2001,ESP,82.3
2002,ESP,92.5
2003,ESP,105.5
2004,ESP,120.1
2005,ESP,131.4
2006,ESP,143.3
2007,ESP,152.5
2008,ESP,145
2009,ESP,137.3
2010,ESP,134.7
2011,ESP,123.8
2012,ESP,111.3
2013,ESP,100.8
2014,ESP,100.6
2015,ESP,100
2016,ESP,102.1
2017,ESP,105.3
2018,ESP,109.7
2019,ESP,110.8
2020,ESP,116.7
2021,ESP,115.3
2022,ESP,119.1
2023,ESP,113.6
2024,ESP,115.7
2025,ESP,124.9
1995,FRA,67.3
1996,FRA,65
1997,FRA,63.3
1998,FRA,62.6
1999,FRA,65.5
2000,FRA,67.5
2001,FRA,69.7
2002,FRA,73.1
2003,FRA,80.4
2004,FRA,89.4
2005,FRA,100.8
2006,FRA,108
2007,FRA,110.2
2008,FRA,108.5
2009,FRA,100.9
2010,FRA,103.7
2011,FRA,108.1
2012,FRA,106.9
2013,FRA,105.5
2014,FRA,102.7
2015,FRA,100
2016,FRA,99.6
2017,FRA,100.6
2018,FRA,101.3
2019,FRA,101.8
2020,FRA,107.1
2021,FRA,109.5
2022,FRA,111.2
2023,FRA,102.2
2024,FRA,93.6
2025,FRA,94.1
1995,GBR,55.3
1996,GBR,54
1997,GBR,56.3
1998,GBR,61.6
1999,GBR,65.3
2000,GBR,71.1
2001,GBR,74
2002,GBR,83.8
2003,GBR,94.2
2004,GBR,101.2
2005,GBR,104.7
2006,GBR,108.5
2007,GBR,114
2008,GBR,106.4
2009,GBR,95.3
2010,GBR,99.7
2011,GBR,97.8
2012,GBR,95
2013,GBR,94.3
2014,GBR,99.1
2015,GBR,100
2016,GBR,105.8
2017,GBR,108.4
2018,GBR,108.2
2019,GBR,105.8
2020,GBR,109.4
2021,GBR,113.7
2022,GBR,118.5
2023,GBR,111.6
2024,GBR,105.9
2025,GBR,104.3
1995,ITA,91.8
1996,ITA,84.2
1997,ITA,78.5
1998,ITA,79.4
1999,ITA,80.9
2000,ITA,84.5
2001,ITA,87.5
2002,ITA,92.3
2003,ITA,98.8
2004,ITA,105.5
2005,ITA,111.5
2006,ITA,114.9
2007,ITA,117.6
2008,ITA,119
2009,ITA,118.5
2010,ITA,119
2011,ITA,118.1
2012,ITA,119.4
2013,ITA,111.5
2014,ITA,105.5
2015,ITA,100
2016,ITA,98.7
2017,ITA,95.4
2018,ITA,93.2
2019,ITA,92.3
2020,ITA,96
2021,ITA,93.3
2022,ITA,90.9
2023,ITA,86.9
2024,ITA,87
2025,ITA,88.5
1995,USA,106.1
1996,USA,105.1
1997,USA,103.9
1998,USA,103.3
1999,USA,105.8
2000,USA,106.3
2001,USA,109.4
2002,USA,112.6
2003,USA,116.7
2004,USA,121.8
2005,USA,130.8
2006,USA,131.4
2007,USA,126.5
2008,USA,111.7
2009,USA,105.8
2010,USA,99.6
2011,USA,91.5
2012,USA,90.3
2013,USA,97.4
2014,USA,98.2
2015,USA,100
2016,USA,103.3
2017,USA,105.2
2018,USA,106.3
2019,USA,107.2
2020,USA,107.4
2021,USA,115.8
2022,USA,131.6
2023,USA,127
2024,USA,127.9
2025,USA,126.9
