period,series,value
2005,ensemble,5.3
2006,ensemble,6
2007,ensemble,5.7
2008,ensemble,4.2
2009,ensemble,4
2010,ensemble,5.1
2011,ensemble,5.2
2012,ensemble,5.2
2013,ensemble,5.2
2014,ensemble,5.1
2015,ensemble,5.7
2016,ensemble,5.2
2017,ensemble,5
2018,ensemble,4.7
2019,ensemble,5.5
2020,ensemble,5.6
2022,ensemble,6.5
2023,ensemble,6.5
2024,ensemble,7
2025,ensemble,6.4
2005,locataire-prive,14.5
2006,locataire-prive,15.6
2007,locataire-prive,15.6
2008,locataire-prive,16.5
2009,locataire-prive,15.1
2010,locataire-prive,19
2011,locataire-prive,19.4
2012,locataire-prive,16.2
2013,locataire-prive,16.2
2014,locataire-prive,15.8
2015,locataire-prive,14.9
2016,locataire-prive,16.5
2017,locataire-prive,14.7
2018,locataire-prive,14.9
2019,locataire-prive,17.7
2020,locataire-prive,18.2
2022,locataire-prive,21.9
2023,locataire-prive,19.3
2024,locataire-prive,20.2
2025,locataire-prive,18.7
2005,locataire-social,7.8
2006,locataire-social,9.8
2007,locataire-social,8.8
2008,locataire-social,5.6
2009,locataire-social,5.1
2010,locataire-social,7.1
2011,locataire-social,7.9
2012,locataire-social,8.6
2013,locataire-social,8.6
2014,locataire-social,9.3
2015,locataire-social,9.7
2016,locataire-social,8.9
2017,locataire-social,10.9
2018,locataire-social,8.9
2019,locataire-social,10.4
2020,locataire-social,10.1
2022,locataire-social,11.3
2023,locataire-social,11.7
2024,locataire-social,12.2
2025,locataire-social,10.7
2005,proprietaire-emprunt,2.1
2006,proprietaire-emprunt,2.5
2007,proprietaire-emprunt,1.6
2008,proprietaire-emprunt,0.9
2009,proprietaire-emprunt,1.3
2010,proprietaire-emprunt,1.5
2011,proprietaire-emprunt,1.4
2012,proprietaire-emprunt,1.4
2013,proprietaire-emprunt,1.4
2014,proprietaire-emprunt,1.1
2015,proprietaire-emprunt,1.9
2016,proprietaire-emprunt,1.1
2017,proprietaire-emprunt,0.7
2018,proprietaire-emprunt,0.7
2019,proprietaire-emprunt,0.5
2020,proprietaire-emprunt,1.1
2022,proprietaire-emprunt,0.6
2023,proprietaire-emprunt,0.9
2024,proprietaire-emprunt,1.1
2025,proprietaire-emprunt,1.1
2005,proprietaire-sans-emprunt,1.1
2006,proprietaire-sans-emprunt,1.4
2007,proprietaire-sans-emprunt,1.3
2008,proprietaire-sans-emprunt,0.6
2009,proprietaire-sans-emprunt,0.6
2010,proprietaire-sans-emprunt,0.5
2011,proprietaire-sans-emprunt,0.6
2012,proprietaire-sans-emprunt,0.5
2013,proprietaire-sans-emprunt,0.7
2014,proprietaire-sans-emprunt,0.7
2015,proprietaire-sans-emprunt,1.7
2016,proprietaire-sans-emprunt,0.9
2017,proprietaire-sans-emprunt,0.6
2018,proprietaire-sans-emprunt,0.6
2019,proprietaire-sans-emprunt,0.5
2020,proprietaire-sans-emprunt,1.3
2022,proprietaire-sans-emprunt,1.3
2023,proprietaire-sans-emprunt,1.7
2024,proprietaire-sans-emprunt,1.4
2025,proprietaire-sans-emprunt,1.6
