period,series,value
2005,DEU,24.1
2006,DEU,33.4
2007,DEU,32.6
2008,DEU,31.8
2009,DEU,30.9
2010,DEU,27.5
2011,DEU,28.3
2012,DEU,27.9
2013,DEU,28.2
2014,DEU,27.3
2015,DEU,27.3
2016,DEU,27.4
2017,DEU,26.3
2018,DEU,26.1
2019,DEU,25.9
2020,DEU,21.5
2021,DEU,23.4
2022,DEU,24.5
2023,DEU,25.2
2024,DEU,24.5
2025,DEU,24.1
2004,ESP,13.8
2005,ESP,14.1
2006,ESP,16.3
2007,ESP,16.8
2008,ESP,16.7
2009,ESP,17.8
2010,ESP,17.7
2011,ESP,18.4
2012,ESP,19.1
2013,ESP,19.5
2014,ESP,19.1
2015,ESP,19
2016,ESP,18.5
2017,ESP,18.2
2018,ESP,17.3
2019,ESP,17.1
2020,ESP,16.9
2021,ESP,18.2
2022,ESP,17.8
2023,ESP,17.2
2024,ESP,16.7
2025,ESP,16
2010,EU27,21.5
2011,EU27,21.6
2012,EU27,22.3
2013,EU27,22.6
2014,EU27,22.4
2015,EU27,22.2
2016,EU27,21.6
2017,EU27,20.9
2018,EU27,20.4
2019,EU27,20
2020,EU27,18.5
2021,EU27,19.3
2022,EU27,19.5
2023,EU27,19.7
2024,EU27,19.2
2025,EU27,18.9
2004,FRA,18.4
2005,FRA,18.3
2006,FRA,19.1
2007,FRA,19.1
2008,FRA,17
2009,FRA,17.7
2010,FRA,17.8
2011,FRA,18.1
2012,FRA,17.9
2013,FRA,18.2
2014,FRA,18.3
2015,FRA,18.8
2016,FRA,18
2017,FRA,17.7
2018,FRA,17.5
2019,FRA,17.6
2020,FRA,17.4
2022,FRA,18.1
2023,FRA,17.9
2024,FRA,18.5
2025,FRA,18.5
2004,FRA-autres,16.2
2005,FRA-autres,16
2006,FRA-autres,16.7
2007,FRA-autres,17
2008,FRA-autres,15
2009,FRA-autres,15.6
2010,FRA-autres,15.1
2011,FRA-autres,15.3
2012,FRA-autres,15.2
2013,FRA-autres,15.4
2014,FRA-autres,15.7
2015,FRA-autres,16.3
2016,FRA-autres,15.2
2017,FRA-autres,15.2
2018,FRA-autres,14.7
2019,FRA-autres,14.7
2020,FRA-autres,14.2
2022,FRA-autres,14.5
2023,FRA-autres,14.5
2024,FRA-autres,14.7
2025,FRA-autres,14.7
2004,FRA-pauvres,33.1
2005,FRA-pauvres,33.6
2006,FRA-pauvres,35.7
2007,FRA-pauvres,33.6
2008,FRA-pauvres,31.1
2009,FRA-pauvres,32.4
2010,FRA-pauvres,36.2
2011,FRA-pauvres,36.1
2012,FRA-pauvres,34.5
2013,FRA-pauvres,35.5
2014,FRA-pauvres,35.3
2015,FRA-pauvres,34.9
2016,FRA-pauvres,36.2
2017,FRA-pauvres,34.3
2018,FRA-pauvres,35.6
2019,FRA-pauvres,36.3
2020,FRA-pauvres,37.5
2022,FRA-pauvres,37.9
2023,FRA-pauvres,37.6
2024,FRA-pauvres,38.6
2025,FRA-pauvres,38.3
2004,ITA,20.6
2005,ITA,21.1
2006,ITA,20.9
2007,ITA,17.1
2008,ITA,17.6
2009,ITA,17.1
2010,ITA,16.7
2011,ITA,17.2
2012,ITA,16.8
2013,ITA,17.4
2014,ITA,17.1
2015,ITA,17.2
2016,ITA,17.6
2017,ITA,16.3
2018,ITA,16.2
2019,ITA,16.6
2020,ITA,15.2
2021,ITA,15.8
2022,ITA,15.5
2023,ITA,14.5
2024,ITA,13.6
2025,ITA,14.1
